"Title","Data_Collection_Period","Study_Period","Country","City_Region","Study_Area_Size_km2","Elicit_Study_Area_km2","Total_Units_Region","Average_Unit_Size_km2","Area_Calculation_Method","Area_Source","Population_per_Unit_Numeric","Crime_Type","Sample_Size_Numeric","Number_of_Crimes_Numeric","Number_of_Offenders_Numeric","Rationale_Category","Study_Design","Discrete_Choice_Model","Estimation_Method","Model_Comparison_Status","Sample_Size_Effects_Status","Robustness_Checks_Status","Scale_Recommendations_Status","Scale_Limitations_Status","Cross_Scale_Comparisons_Status","Quoted_Rationale","Justification_Summary","Sampling_Approach","Choice_Set_Definition","Alternative_Selection","Significant_Predictors","Effect_Directions","Data_Sources","Data_Availability","Data_Quality_Issues","Missing_Data_Issues","Data_Source_Limitations","Measurement_Issues","Temporal_Limitations","Generalizability","Context_Specificity","Comparative_Limitations","Spatial_Scale_Recommendations","Data_Collection_Suggestions","Methodological_Improvements","Demographic_Variables","Demographic_Count","Economic_Variables","Economic_Count","Environmental_Variables","Environmental_Count","Distance_Variables","Distance_Count","Temporal_Variables","Temporal_Count","Total_Variables"
"Go where the money is: modeling street robbers' location choices","1996-1998","1996-1998","United States","Chicago",NA,NA,NA,NA,NA,NA,118,"Robbery",6000,12938,18114,"Theory-Method","Cross-sectional","Multinomial Logit","Maximum Likelihood","Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""To improve our understanding of the fine-grained spatial decisions of street robbers, we zoom in to the level of census blocks""","Census blocks were chosen for detailed analysis of robbery locations","Simple random sampling","Random sample of 6000 robberies with 6000 potential target blocks for each","Simple random sampling","Presence of legal businesses (e.g., pawn shops, grocery stores), illegal businesses (e.g., drug dealing), accessibility (e.g., main streets, El stations), racial/ethnic composition matching the robber's background.","These predictors increase the probability of a block being chosen for robbery.","Chicago Police Department records; detailed information on land use, population, and activities in census blocks","Limited by lack of arrest in most cases; no information on prior crimes or past residential addresses","Inability to identify offenders across multiple robberies.","Lack of information on prior crimes or past residential addresses of offenders.","No localized measures of deterrent factors.","Assumption that robbers have detailed knowledge of all census blocks.","Neglect of temporal variations and constraints.","The study's findings might not generalize to other cities or contexts.","The findings are specific to the context of Chicago.","The study does not provide direct comparisons across different contexts or time periods.","Use smaller spatial units like census blocks for detailed analysis.","Gather more detailed information on offenders' spatial awareness and prior experiences.","Incorporate spatial spillover effects and temporal considerations into models.","1. Total number of residents in the census block | Number; 2. Racial and ethnic composition of the population | Binary; 3. Age of offenders | Number; 4. Gender of offenders | Percentage; 5. Racial and ethnic background of offenders | Binary; 6. Racial and ethnic segregation | Binary; 7. Racial/Ethnic Composition | Number",7,NA,0,"1. Land use and activities | Number",1,"1. Accessibility of a block | Binary; 2. Euclidean Distance | Distance; 3. Accessibility Along Main Streets | Binary; 4. Proximity to El Stations | Binary; 5. Accessibility | Distance",5,NA,0,20
"Graffiti Writers Choose Locations That Optimize Exposure","November 2017",NA,"Belgium","Ghent",NA,NA,NA,NA,NA,NA,NA,"Graffiti/Vandalism",12655,12655,NA,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""We adopted street segments as our spatial unit of analysis, aligning with recent research advocating the use of street segments or similarly sized spatial units for analyzing crime and disorder.""","Street segments were chosen because they align with human observational limitations and are suitable for measuring exposure.","Systematic Social Observation (SSO)","Street segments as spatial units of analysis","Based on crowd-attracting facilities and exposure characteristics","Presence of bars, night shops, residential units, schools, and street network centrality.","Increased probability for bars, night shops, residential units, schools, and street network centrality; decreased probability for trees.","Systematic Social Observation (SSO)","Data and scripts available on https://github.com/KKural/SSO_graffiti","Focus primarily on exposure; exclusion of variables due to inter-rater reliability issues.","Graffiti along railway tracks and in inaccessible locations.","Specific urban context; limited to Ghent city center.","Factors examined may not cover all motivations for graffiti writers.",NA,"The findings are specific to the urban context of Ghent and may not generalize to other cities or contexts due to differences in graffiti culture and public perceptions.","The findings are highly context-specific, as they are derived from a specific urban environment and may not apply to other settings.","The study does not provide a basis for comparison across different contexts or time periods, as it is focused on a specific urban environment.","Not mentioned.","Not mentioned.","Use qualitative research methods.",NA,0,NA,0,"1. Residential Units | Number",1,"1. Bridges | Distance; 2. Intersections | Distance; 3. Betweenness | Distance",3,NA,0,22
"HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice","1996-2001","1996-2001","Netherlands","The Hague",57.85,NA,NA,NA,NA,NA,4952,"Burglary",548,548,290,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly quoted","Chosen based on administrative boundaries and data availability from the municipality of The Hague","Data on residential burglaries from police records in The Hague, 1996-2001.","Each burglary associated with all 89 neighbourhoods in The Hague.","All 89 neighbourhoods considered as potential alternatives for each burglary.","Ethnic heterogeneity, percentage of single-family dwellings, proximity to the offender's home, number of residential units.","Increased ethnic heterogeneity and percentage of single-family dwellings increase the likelihood of selection. Proximity to the offender's home increases the likelihood, while proximity to the city center decreases it.","Haaglanden police force; statistical publications of the municipality of The Hague","Limited by a low detection rate of 7%","Low detection rate could bias results if related to location choice criteria; no systematic relationship found between neighbourhood characteristics and clearance rates.","Burglaries outside The Hague excluded due to lack of data on neighbourhood characteristics.","Limited to The Hague due to unavailability of data on other areas.","Assumption that all choice criteria are equally important for all burglars.","Not mentioned.","Limited to the city of The Hague; findings may not be generalizable to other cities due to differences in urban social structures.","Findings specific to The Hague; results may be influenced by unique city characteristics.","No comparison across different contexts or time periods.","The study suggests using neighborhood-level data for analysis.","The study implies the need for detailed data on neighborhood characteristics and offender attributes.","The use of the conditional logit model is recommended for its ease of estimation and interpretation.","1. Age of Burglar | Number; 2. Ethnic Origin of Burglar | Number; 3. Ethnic Heterogeneity | Index; 4. Ethnic Origin of Burglar | Binary",4,"1. Average Residential Real Estate Value | Percentage; 2. Real Estate Value | Percentage",2,"1. Residential Mobility | Number; 2. Number of residential units | Number; 3. Residential Mobility | Rate; 4. Number of Residential Units | Number",4,"1. Proximity to Offender's Home | Distance; 2. Proximity to City Centre | Distance; 3. Distance Between Neighbourhoods | Distance; 4. Proximity to Burglar's Home | Distance",4,NA,0,15
"Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","2016-2019","2017-2018","China","Zg City, Southeast China",NA,NA,NA,NA,NA,NA,NA,"Theft",2519,1540,1540,"Not specified","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly stated","Communities are used as spatial units likely due to their relevance for socioeconomic analysis and residence-crime proximity.","Communities in ZG city serve as spatial units or alternatives.","Communities are potential locations for crimes, with a dichotomous dependent variable.","Alternatives are communities that can be chosen for committing a crime, with the number varying by offender.","Number of people on the street, fences, plants, grasses, sidewalks, and proximity to the offender's residence.","More people on the street, fences, and plants increase choice probability; more grasses and sidewalks decrease it.","Baidu Street View images; crime data from the police department of ZG city","Data is reasonably matched in time; no significant changes expected in the built environment","SVIs are static and cannot capture dynamic changes in on-street population.","Small objects like broken windows, litter, and graffiti are not accounted for.","SVIs are limited by their static nature.","Uniform alternative set for offenders may not reflect individual preferences.","SVIs cannot capture temporal changes in on-street population.","The findings are generally aligned with previous studies, but the study's focus on a specific city in China may limit generalizability to other contexts.","The study's findings are specific to the context of ZG city, and the use of Baidu Street View images may not be applicable in other regions where such data is not available or is less detailed.","The study does not compare across different cities or time periods, which could provide insights into how findings vary in different contexts.","Focus on community-level analysis.","Use SVIs and deep learning techniques for more accurate data.","Integrate image classification and object detection techniques.",NA,0,"1. Percent lowly-rent houses | Percentage",1,NA,0,"1. Offender Residence-Crime Proximity | Distance; 2. Residence-crime proximity | Distance",2,NA,0,27
"LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS","2007-2012","2007-2012","United Kingdom","West Midlands",NA,NA,NA,NA,NA,NA,1500,"Burglary",3337,3337,NA,"Prior Research","Longitudinal","Multinomial Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""","LSOAs were chosen for their balance in size and their alignment with social homogeneity measures, allowing for effective analysis of crime location choice and spillover effects.","Data from 3,337 detected burglaries in the West Midlands, UK, between 2007 and 2012.","UK Census Lower Level Super Output Area (LSOA) as the basic spatial unit of analysis.","Each burglary is a discrete choice among 1,687 LSOAs.","Recency of prior burglaries, spatial proximity to previous targets, distance from burglar's residence, number of households, house price, ethnic diversity, population turnover.","Recent prior burglaries and proximity increase choice probability; distance from residence decreases it.","Police-recorded burglary data from West Midlands police force; UK Land Registry; Department for Transport; 2001 UK census",NA,"Detected burglaries only; considered unsuccessful due to arrests.","Success of previous burglaries; prior home locations.","Police-recorded data; may not capture all burglaries.","Success/failure of previous burglaries not accounted for.","Fixed period for past burglaries; may not capture long-term patterns.","The study's findings might not generalize to other types of crimes or to different geographical contexts.","The findings are specific to the context of the West Midlands in the UK and may not apply to other regions or countries.","The study is limited to a specific time period (2007-2012) and does not allow for comparisons across different time periods or contexts.","Not explicitly mentioned.","Offender-based research to measure same-offender involvement.","Address potential unobserved heterogeneity.","1. Population Turnover | Percentage; 2. Ethnic Diversity | Index; 3. Population Turnover | Number; 4. Ethnic diversity | Number; 5. Population turnover | Number; 6. Population Turnover | Rate",6,NA,0,"1. Accessible residential properties | Number",1,"1. Distance to city center | Distance; 2. Distance to Offender's Residence | Distance; 3. Distance to City Center | Distance; 4. Distance to Residence | Distance",4,"1. Temporal Categories | Number",1,23
"Location Choice of Snatching Offenders in Chennai City",NA,"2010-2017","India","Chennai City",2.18,NA,NA,NA,NA,NA,33195,"Theft",1573,1573,1152,"Prior Research","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere""","Wards were used as they are comparable to units used in other crime location studies.","Police-recorded snatching offenses from the State Crime Records Bureau, Tamil Nadu, India.","201 wards of Chennai City.","Each ward is a potential location for a snatching offense.","Distance from home, prior offending locations.","Shorter distances and prior offending locations increase choice probability.","State Crime Records Bureau, Tamil Nadu, India","Limited due to underreporting; only about 6-8% of theft victims report to the police, and only about one-third of reported snatching offenses are detected","Police-recorded thefts grossly underestimate real numbers due to low reporting rates.","Data on snatching offenses only reflect a small fraction of actual offenses due to underreporting.","Police-recorded data may not accurately represent true crime situation.","Google Earth data do not differentiate facilities by size.","Study does not account for temporal variations in crime frequencies or location preferences.","High underreporting and potential selectivity jeopardize generalizations; findings may not be representative of all snatching incidents.","Findings are specific to Chennai City; need for replication in other contexts.","Need for replication in other contexts; operationalization of crime generators and attractors in non-western cultures is a challenge.","Analyze the impact of spatial units on findings systematically.","Collect detailed data on facilities and their sizes.","Use granular spatial units and analyze temporal variations.","1. Population size | Number; 2. Average population per ward | Number; 3. Age structure of offenders | Number; 4. Gender ratio of offenders | Percentage; 5. Ward Population | Number",5,NA,0,NA,0,"1. Home-to-crime distance | Distance; 2. Journey to crime | Distance; 3. Distance to ward centroids | Distance; 4. Transport hubs | Number; 5. Public transport usage | Percentage",5,NA,0,20
"Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places","2002-2007","2002-2007","Netherlands","The Hague (Greater Area)",400,NA,NA,NA,NA,NA,18,"Burglary",1871,1311,1023,"Theory-Method","Cross-sectional","Multinomial Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The main criterion for choosing a particular unit of analysis is the theory to be tested. The unit of analysis should match the theory.""","The spatial units were chosen to match the theory being tested and to follow recommendations for smaller units to better understand constituting elements and their relationships.","Random sampling","Constructed from 23,984 postal code areas","Random sample of 1,499 alternatives from the full choice set","Number of residential properties, proximity (negative log distance), ethnic composition.","Proximity increases choice probability; native Dutch burglars avoid ethnically mixed areas.","Police files from Haaglanden police force; public access data file from Statistics Netherlands","Limited to cleared cases, which may introduce bias","Selective sample of cleared cases may introduce bias.","Uncleared cases are not included in the analysis.","Limited data on postal code attributes.","Spatial competition model limitations in capturing environmental impacts.","Data from 2002-2007 may not reflect current trends.","Limited by geographic specificity to the Greater The Hague area.","Findings specific to the Greater The Hague area and its spatial dynamics.","Inability to compare across different contexts or time periods.","Use small spatial units like postal code areas for future research.","Implies need for detailed data at small spatial scales.","Suggests using models accounting for spatial competition and hierarchical decision-making.","1. Number of Residents | Number; 2. Age Composition | Percentage; 3. Ethnic Composition | Percentage; 4. Ethnic composition of population in postal code areas | Percentage",4,NA,0,"1. Number of Residential Properties | Number; 2. Residential Units | Number; 3. Physical Barriers | Number; 4. Number of residential units in postal code areas | Number",4,"1. Euclidean Distance | Distance; 2. Journey-to-Crime Distance | Distance; 3. Home-to-Target Distance | Distance; 4. Distance between burglar's home and target address | Distance",4,NA,0,16
"Modelling taste heterogeneity regarding offence location choices","2008-2012","2008-2012","United Kingdom","York",270,NA,NA,NA,NA,NA,NA,"Serious Acquisitive Crime (Sac)",1105,1105,498,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""","Chosen based on data availability and preference for finer spatial granularity","Revealed preference data collection for SAC in York, UK.","Restricted to output areas (neighbourhoods) within York.","Output areas as smallest units for analysis.","Distance from home, distance to city centre, socioeconomic heterogeneity, and previous offence locations.","Distance and distance to city centre generally have negative effects; socioeconomic heterogeneity and previous offence locations have positive effects.","Revealed preference data for SAC; 2011 UK Census; UK Land Registry","Limited to detected crimes within the study period; ignores undetected crimes or those before April 2008","The data analyzed are reported, recorded, and detected crimes, which may not represent all crimes.","The analysis assumes offenders with one offence in the time period are not repeat offenders.","The study relies on revealed preference data, which may not fully capture the decision-making process.","The study groups different types of offenders together, which may mask differences in behavior.","The study is limited to data from April 2008 to March 2012.","Grouping different offense types together may limit generalizability to specific types of offenders.","Findings may be specific to the study context (York, UK).","The study's context specificity and dataset may limit comparisons across different contexts or time periods.","Use smaller spatial units for more accurate insights into social organization.","Use stated preference analyses to support findings.","Consider alternative decision rules like regret minimization.","1. Ethnic heterogeneity | Index; 2. Gender | Binary; 3. Age group | Binary",3,NA,0,"1. Residential Churn | Index",1,"1. Distance from the offender's home | Distance; 2. Distance from the city centre | Distance; 3. Road network data | Distance",3,NA,0,9
"Modelling the spatial decision making of terrorists: the discrete choice approach","1970-1989","1969-1989","Northern Ireland","Belfast",NA,NA,NA,NA,NA,NA,NA,"Terrorist Attacks By The Provisional Irish Republican Army (Pira)",150,150,127,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""As no sociodemographic variables were included in the analysis, it was deemed that SAs would be appropriate to use""","SAs were chosen due to their suitability for statistical analysis and the lack of sociodemographic data, aligning with data availability and administrative convenience.","Retrospective sampling using existing datasets and newspaper archives.","Constructed using 4537 ""small areas"" (SAs) in Belfast.","Based on geographical boundary data from NISRA.","Distance from home, presence of major roads, presence of military bases or police stations.","Increased distance from home decreases choice probability; presence of major roads, military bases, or police stations increases choice probability.","Existing dataset from social network analysis of PIRA's active core members; The Irish Times newspaper archives; NISRA; Conflict and Politics in Northern Ireland web service (CAIN)","Limited by inability to attribute some attacks to specific individuals; smaller sample size compared to other studies","Difficulties due to historical nature of records.","Unavailability of data on affluence levels and residential segregation.","Historical nature of records; unavailability of certain data.","Arbitrary areal unit boundaries; potential inaccuracy in characteristic data.","Retrospective nature limited data availability at small area level.","Limited to Belfast and PIRA members; replication needed in other cities and with different groups.","Findings specific to Belfast and PIRA context.","Restricted to one city and one terrorist group; difficult to compare across contexts or time periods.","Use smaller areal units to capture more detailed social context factors.","Gather more comprehensive data on terrorist activities and use mixed logit or latent class models for analysis.","Use spatiotemporal models and consider repeat victimization patterns.",NA,0,NA,0,"1. Residential segregation | Percentage",1,"1. Home-to-crime distance | Distance; 2. Distance to city center | Distance; 3. Euclidean distance | Distance; 4. Ghosh distance | Distance",4,NA,0,13
"Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data",NA,"2009-2018","New Zealand","Not Specified (National Scope)",2,NA,NA,NA,NA,NA,2000,"Burglary",38120,38120,60000,"Practical Constraint","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""SA2s are comparable to the units used in other neighbourhood level DSCM studies (e.g., Clare et al. 2009;Townsley et al. 2015).""","SA2s were chosen for their comparability to units used in other studies and to balance theoretical relevance, spatial spill-over, spatial heterogeneity, and computational processing.","Stratified importance sampling","Included chosen SA2, SA2s with activity nodes within 5 km, and 10 randomly selected SA2s from those more than 5 km away","Stratified importance sampling","Proximity to activity nodes, frequency of visits, type of activity node (e.g., home vs. family homes).","Positive for proximity to activity nodes; offenders more likely to commit crimes closer to these locations.","New Zealand Police National Intelligence Application (NIA)","Not publicly available; obtained with approval from the New Zealand Police Research Panel","The data is a sample of each offender's true population of activity locations, indicating potential issues with data completeness and reliability.","Not all family members' addresses are recorded, and employment and education records are rare.","Crime and victimization locations depend on police reporting, which may not be comprehensive.","Lack of association between certain nodes and crimes suggests measurement issues or limitations in how these variables were defined or measured.","Not mentioned.","The results are likely to generalize to low population density jurisdictions but may not apply to other contexts.","The findings are specific to New Zealand's low population density context.","The study does not compare across different contexts or time periods, limiting its ability to generalize findings.","Use of SA2s as spatial units.","Supplement police data with other administrative datasets.","Use mixed logit models to examine individual differences.","1. Population Density | Distance; 2. Household Size/Composition | Number; 3. Demographic Characteristics of Offenders | Number",3,NA,0,NA,0,"1. Median Nearest Neighbor Distance | Distance",1,"1. Prior crimes | Number; 2. Temporal Filter | Number; 3. Recency of Prior Crimes | Number",3,15
"Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?","2000-2012","2000-2012","United States","Tampa, Florida",NA,NA,NA,NA,NA,NA,NA,"Burglary",5182,7124,6846,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""We rely on block groups in order to minimize within neighborhood heterogeneity while also ensuring that there is neighborhood contextual data available.""","Block groups were chosen to reduce internal variability and ensure data availability.","Comprehensive collection of all arrests for burglaries in Tampa, Florida, from January 2000 to September 2012.","Selecting a neighborhood out of 334 possible neighborhoods in Tampa.","Discrete choice model where each suspect selects a neighborhood from available options.","Percentage of Black residents, concentrated disadvantage, residential stability, ethnic heterogeneity, distance from home.","Neighborhoods with more Black residents, higher disadvantage, lower residential stability are more likely to be targeted.","Tampa Police Department; U.S. Census data","Limited to cleared burglaries; no information on 80% of burglaries not cleared","Lack of information on 80% of burglaries not cleared; potential bias in arrest data.","Age and criminal history of suspects; distinction between residential and commercial burglaries.","Arrest data only includes cleared burglaries.","No temporal variation or land use variations captured.","No temporal variation in neighborhood target attractiveness captured.","The study is limited to the City of Tampa, Florida, which may not be representative of other cities or contexts.","The study's focus on Tampa, Florida, makes findings context-specific and not easily applicable to other areas.","The study does not account for variations in land use or temporal variations, affecting comparability.","Use block groups as a spatial unit for analysis.","Include information on unreported burglaries and detailed offender characteristics.","Incorporate additional variables and use advanced statistical models.","1. Percentage of Black Residents | Percentage; 2. Percentage of Latino Residents | Percentage; 3. Percentage of Residents Below Poverty | Percentage; 4. Racial/Ethnic Heterogeneity | Number",4,"1. Median Income | Number",1,"1. Residential Stability | Percentage; 2. Residential Instability | Number",2,"1. Home-to-crime distance | Distance; 2. Euclidean distance | Distance; 3. Distance squared | Distance; 4. Distance Squared | Distance; 5. Centering of Distance Measures | Distance",5,NA,0,24
"Residential burglary target selection: An analysis at the property-level using Google Street View","2009","2009","Netherlands","The Hague",NA,NA,NA,NA,NA,NA,NA,"Burglary",300,221,NA,"Theory-Method","Cross-sectional","Conditional logistic regression","Maximum Likelihood","Not Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly quoted, but implied in the methodology","The study focuses on property-level attributes, using a case-control design to isolate property-level effects from neighborhood-level effects.","Case-control design","Paired burglarized and non-burglarized properties within the same neighborhood","Random sampling from BAG single houses dataset","Surveillability, accessibility, ease of escape.","Increased surveillability decreases burglary likelihood; increased accessibility and ease of escape increase burglary likelihood.","The Hague Police Force; Google Maps; Google Street View; Community survey by Bruinsma et al.","Limited by inability to capture isolated properties","The study acknowledges limitations in capturing isolated properties due to Google Street View's inability to access these areas, leading to a biased sample.","Isolated properties cannot be coded due to Google Car limitations.","Google Street View cannot capture isolated properties.","Measurements may not capture all nuances from one-on-one interviews; equal importance assumption for items within constructs may not hold.","Behavior may vary depending on the time of day, not explored in this study.","Limited generalizability due to non-representative sample and context-specific data collection methods.","Findings may be specific to The Hague, Netherlands, and single-family homes.","No direct comparisons across different contexts or time periods.","Focus on micro-spatial scales.","Use GSV and address the limitation of capturing isolated properties.","Refine data collection techniques to reduce bias.",NA,0,"1. Wealth | Distance",1,NA,0,"1. Surveillability | Distance; 2. Accessibility | Distance; 3. Ease of Escape | Distance; 4. Distance to nearest main road | Distance; 5. Distance to nearest street corner | Distance",5,NA,0,18
"Right place, right time? Making crime pattern theory time-specific","May to August 2019","2017","Netherlands","The Hague And North-Holland",3.37,NA,NA,NA,NA,NA,NA,"Multiple Types",71,71,30,"Theory-Method","Cross-sectional","Conditional Logit","Bootstrapped Standard Errors","Not Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly quoted, but implied by spatial accuracy and data availability","Neighbourhoods were chosen due to spatial accuracy and data availability, aligning with the study's theoretical framework","Online survey using police data on suspects from specific regions in the Netherlands.","13,305 neighbourhoods in the Netherlands.","Based on regular visitation at same or different time of day as crime event.","Neighborhoods routinely visited at the same time of day as the crime event.","Increased likelihood of committing crimes in neighborhoods visited at the same time of day.","Dutch police regions The Hague and North-Holland; online survey","Not shared due to privacy reasons","Uncertainty in recall accuracy from respondents' memory.","Small sample size of 71 offences.","Data sourced from police register data, potentially not representative of broader offender population.","Retrospective survey with potential memory recall issues.","Tentative conclusions due to small sample size and potential selection bias.","Findings may not generalize to broader offender population or other regions.","Findings specific to minor offences and offenders in western Netherlands.","Limited to specific context; no comparison across different contexts or time periods.","Use detailed spatial scales such as neighborhoods to analyze crime patterns.","Utilize online survey instruments and consider smartphone applications or GPS-tracking data for future studies.","Enhance data collection by using more detailed temporal granularity and spatial accuracy.",NA,0,NA,0,"1. Home occupancy in residential neighbourhoods | Number",1,"1. Spatial Lags | Distance; 2. Neighbourhood Proximity | Distance",2,"1. Neighbourhood routinely visited at same time of day as crime event | Binary; 2. Neighbourhood routinely visited at different time of day as crime event | Binary; 3. Time of day | Binary",3,18
"ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *","2011","2004-2014","United Kingdom","High Wycombe, Beaconsfield, Marlow",150,NA,NA,NA,NA,NA,NA,"Burglary",459,459,207,"Theory-Method","Cross-sectional","Mixed Logit","Hierarchical Bayes (Hb)","Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""For example, people do not navigate from one large area to another; they navigate along the road network. As such, a spatial resolution at this scale (e.g., street segment) should better capture the spatial logic of offender decision-making.""","The choice of street segments is based on the theoretical understanding that offenders navigate along road networks, and this scale captures their decision-making logic better.","Data from residential burglaries in specific UK towns, focusing on street segments.","Roads and paths accessible to residential properties, excluding certain types.","Street segments within the study area meeting specific criteria.","Idiosyncratic betweenness, idiosyncratic farness, nonlocal pedestrian traffic, local pedestrian traffic, vehicular traffic.","Increased travel time decreases choice probability; increased familiarity increases choice probability; nonlocal pedestrian traffic increases burglary risk; local pedestrian traffic decreases burglary risk; vehicular traffic decreases choice probability.","Thames Valley Police; Ordnance Survey (OS); U.K. Land Registry; 2011 U.K. census","Limited by police recording and clearance; may not apply to all offenders","Not all crimes are recorded or cleared by the police.","Estimates of social disorganization through systematic social observation were not collected.","Police data may only represent offenders who came to the attention of the police.","Simplified binary scale for local and nonlocal areas.","Data from a 10-year period may have temporal resolution issues.","Replication is needed to establish external validity.","The study's focus on a specific geographic area and time period may make the findings context-specific.","The study does not provide direct comparisons across different contexts or time periods.","Use finer spatial scales like street segments for more accurate analysis.","Use more diverse data sources to validate findings.","Use mixed logit models to capture individual variation.","1. Ethnic-heterogeneity | Index; 2. Population turnover | Number; 3. Ethnic heterogeneity | Index",3,NA,0,"1. Residential mobility | Index",1,"1. Estimated Travel Time | Number; 2. Euclidean Distance | Distance; 3. Network Distance | Distance; 4. Pedestrian Travel Time | Number; 5. Vehicular Travel Time | Number",5,NA,0,19
"Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces",NA,"2013-2016","United States","Baltimore City, Maryland",1.4e-05,NA,NA,NA,NA,NA,953,"Group Crime",68393,6249,14222,"Prior Research","Cross-sectional","Not applicable (uses spatially lagged negative binomial regression)","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Importantly, in a city context (as opposed to suburban or rural locales), a census block is generally a small area (typically a street-bounded block) and using this unit is consistent with prior work on the relationship between co-offending and neighbourhood context, which has relied on census tracts or blocks.""","The choice of census block groups is based on their appropriateness for studying neighborhood-level phenomena and consistency with prior research.","Publicly available arrest data from Baltimore City (2013-16)","Census block groups","All available arrest data within the specified time frame","Number of bars, pedestrian-oriented street density, poverty, racial/ethnic heterogeneity.","Number of bars and pedestrian-oriented street density increase group crime rates; poverty increases group crime rates; racial/ethnic heterogeneity decreases group crime rates.","Environmental Protection Agency; Baltimore City Police Department; Baltimore City Open Data Portal; U.S. Census Bureau; American Community Survey","Limitations include exclusion of crimes not reported to the police and potential incomplete geocoding of arrests","Undercounting of crime due to reliance on arrest data; potential for incorrect coding of solo crimes.","Incomplete geocoding due to missing or problematic location information.","Publicly available arrest data may not capture all criminal events.","Potential for incorrect coding of incidents as solo crimes.","Data limited to 2013-2016.","Findings are limited by focus on a single city and may not generalize to other contexts.","Findings may be specific to Baltimore City's unique design and connectivity.","No basis for comparison across different locales or time periods.","Use smaller microunits than census block groups.","Collect qualitative data on co-offending motivations and processes.","Use alternative data sources to overcome official records limitations.","1. Population Density | Number; 2. Ethnic Heterogeneity | Index; 3. Population Turnover | Percentage; 4. Population density | Number; 5. Ethnic heterogeneity | Index; 6. Racial/Ethnic Heterogeneity | Index",6,"1. Poverty | Percentage",1,NA,0,"1. Pedestrian-Oriented Street Density | Distance; 2. Auto-Oriented Street Density | Distance; 3. Auto-oriented street density | Distance; 4. Pedestrian-oriented street density | Distance",4,"1. Spatial Lag Operator | Number",1,17
