term,category,found,first_occurrence_only
"0.54 for juveniles per km.
- Connectivity via major roads: Odds ratio of about 2 for adult offenders.
- Population turnover: Odds ratio of 1.20 for every 10% increase.
- Social heterogeneity: Odds ratio of approximately 2 for every 10% increase.
- Number of registered vehicles: Small but significant effect (no specific odds ratio provided).",statistical,FALSE,FALSE
The authors discuss the Modifiable Areal Unit Problem (MAUP) by highlighting the importance of using smaller spatial units to capture heterogeneity in variables. They contrast their use of larger units (SA2s) with smaller units (census blocks) and note that simple random sampling may perform poorly with larger units due to feature concentration,other,FALSE,FALSE
"bespoke data to shed new light on crime phenomena.
- Use virtual GSV walk-throughs to mimic the journey-to-crime route.
- Explore ways to include isolated properties in the analysis.
- Investigate how behavior varies by time of day.
- Consider alternative neighborhood boundaries to explore optimal unit sizes or different scales of analysis.",other,FALSE,FALSE
The authors discuss the Modifiable Areal Unit Problem (MAUP) by acknowledging the dependency of micro-level predictors on macro-level environments and the potential for aggregation bias. They address these issues by using a case-control design grouped by neighborhood and conducting robustness checks with alternative neighborhood boundaries.,other,FALSE,FALSE
"co-offending groups) to improve robustness.
- Improve measurement of theoretical concepts like awareness space by using more direct methods.
- Collect data directly from offenders to enhance understanding of spatial knowledge.
- Verify the reliability of residential histories in official systems by comparing them with offender accounts.",other,FALSE,FALSE
"Density of road network: Odds ratio = 0.589
- Daily human mobility: Odds ratio = 0.915
- Surveillance cameras: Odds ratio = 0.961
- Malls and supermarkets: Odds ratio = 1.176 (17.6% increase)
- Bus stops: Odds ratio = 1.097 (9.7% increase)
- Logged distance of journey to crime: Strong negative effect (no specific odds ratio provided)",statistical,FALSE,FALSE
"leading to large datasets (up to 100 million rows) that exceed standard computing equipment capabilities.
- Memory constraints: High-performance computing environments may only offer temporary solutions due to the rapid growth of data.
- Processing challenges: Sampling from alternatives is used to reduce dataset size and processing time",other,FALSE,FALSE
"Consider using smaller spatial units or different scales of analysis to better capture social organization processes.
- Analyze different types of offenders separately to account for potential differences in behavior.
- Use complementary analyses like stated preference analyses to support findings and explore alternative decision rules.",other,FALSE,FALSE
"Memory constraints: Sample sizes were chosen to maximize computer memory resources.
- Processing time constraints: Two-hour blocks were chosen over one-hour blocks for efficiency in presenting results and statistical power.
- Computational feasibility concerns: Including lagged effects would have doubled the number of model estimates",other,FALSE,FALSE
"Area where one offender lives: 11.7 times higher odds
- Area where two or three offenders live: 44.05 times higher odds
- Previous home location: 3.01 times higher odds
- Previous crime location: 4.8 times higher odds
- Shared previous home location: 8.41 times higher odds
- Shared previous crime location: 15.08 times higher odds",statistical,FALSE,FALSE
which involves comparing neighborhood characteristics. This choice is consistent with previous research and allows for analysis using data from the Australian Bureau of Statistics. The use of SLAs is practical for capturing neighborhood characteristics and is grounded in theoretical models of offender behavior and spatial preferences.,other,FALSE,FALSE
"Data availability issues: The dataset did not include all activity nodes for all offenders.
- Administrative boundary constraints: The use of SA2s as spatial units was likely influenced by administrative boundaries defined by the New Zealand Census.
- Selection bias: The study's reliance on solved cases may introduce selection bias",other,FALSE,FALSE
"for more precise measurements.
- Consider spatial interaction and environmental influences on spatial unit choice.
- Incorporate multiple spatial effects and consider various characteristics of neighboring units in future models.
- Improve models like the spatial competition model by including more dimensions of spatial influence.",other,FALSE,FALSE
"no specific odds ratio provided
- Retail establishments: Odds ratio = 1.28 for every additional 250 m^2
- Thames River: Odds ratio = up to 5 times higher
- Deprivation: Odds ratio = 1.27 to 1.63 for every 10-unit increase
- Population churn: Odds ratio = 1.20 for every 10-unit increase
- Ethnic diversity: Significant on one day",statistical,FALSE,FALSE
"1. Distance_to_home_base
2. Time_of_burglary
3. Date_of_burglary
4. Offender_home_address
5. Population_turnover
6. Ethnic_diversity
7. House_price
8. Bus_station_location
9. Train_station_location
10. Distance_to_city_center
11. Number_of_households
12. Average_house_price
13. Ethnic_diversity
14. Population_turnover",statistical,FALSE,FALSE
"1. Binary indicator of neighborhood concentrated disadvantage
2. Normalized mobility flow between origin and destination neighborhoods
3. Level of physical disorder in destination neighborhood
4. Euclidean distance between origin and destination neighborhoods
5. Interaction terms between neighborhood concentrated disadvantage",statistical,FALSE,FALSE
"Apply the behavioral rule to more study regions to broaden criminological knowledge.
- Expand the behavioral rule to include more nuanced factors such as street network characteristics and public transport networks.
- Use more complex statistical models like the mixed logit to improve precision in spatial preference estimates.",other,FALSE,FALSE
"Data availability issues: Limited data on burglars living outside The Hague.
- Administrative boundary constraints: Analysis is spatially truncated at The Hague city boundaries.
- Aggregation requirements: Data aggregated at the neighborhood level.
- Statistical disclosure controls: Use of police records for offender data.",other,FALSE,FALSE
"The study uses four-digit postal code areas as spatial units due to their suitability for crime location choice research and minimal travel restrictions.
- The selection was influenced by data availability from the BRP and administrative boundaries around The Hague.
- The study area is limited to the greater The Hague area",other,FALSE,FALSE
"1. Concentrated Disadvantage Index
2. Residential Stability Index
3. Single-Parent Households
4. Racial/Ethnic Heterogeneity (Herfindahl Index)
5. Percent Occupied Units
6. Percentage of Black Residents
7. Percentage of Latino Residents
8. Distance to Target Neighborhood
9. Distance Squared to Target Neighborhood",statistical,FALSE,FALSE
"Odds ratio for areas where the offender lives or has lived: 22.52
- Odds ratio for current home area: 36.72
- Odds ratio for former home area: 8.63
- Odds ratio for recent former residence: 10.63
- Odds ratio for ancient former residence: 7.49
- Odds ratio for areas lived in for more than 2 years: 41.93 (current)",statistical,FALSE,FALSE
which allows for a detailed analysis of spatial patterns. The smaller size of LSOAs makes explanatory variables more representative of the population and characteristics of each area. The authors also considered potential issues with spillover effects and included a measure of population density as a control variable.,other,FALSE,FALSE
"on public space directly outside the unit
11. Whether the property had a garage
12. Size of the property in square metres
13. External condition of the property
14. Distance between the property and the nearest main road
15. Distance between the property and the nearest street corner
16. Number of escape routes",statistical,FALSE,FALSE
The authors discuss the Modifiable Areal Unit Problem (MAUP) by highlighting that using fine-grained spatial units such as individual houses addresses the issue and reduces aggregation bias. They emphasize the preference for smaller spatial units over larger ones to minimize aggregation bias and spatial heterogeneity,other,FALSE,FALSE
"Log likelihood: Mentioned as part of the model estimation process.
- Student's t test: Used to test for significance of feature coefficients.
- Mean selection site percentile score: Custom metric used to evaluate model performance.
- Paired t test: Used to compare the relative effectiveness of different models.",statistical,FALSE,FALSE
"The choice of census tracts as the spatial unit of analysis was influenced by the availability of the ""collective efficacy"" measure and computational constraints. Using smaller units like block groups or blocks could provide more detailed insights but was not feasible due to data and computational limitations.",other,FALSE,FALSE
"excluding non-arrested burglars.
- Exclusion of cases with unknown Hukou status.
- Exclusion of burglaries committed by offenders living outside of ZG city or where geocoding was not possible.
- Temporal mismatch between census data (2010) and burglary data (2012-2016).
- Lack of direct measures of wealth",other,FALSE,FALSE
acknowledging that the four-digit postal code area used could be considered large. They mention that smaller units could be used but note that this increases spatial interdependence issues. The discussion references Ouimet (2000) and highlights potential aggregation bias and spatial autocorrelation issues.,other,FALSE,FALSE
and total number of areas in a study region. They also selected regions with varying target densities to assess the consistency of relationships across different environmental settings. This was done to ensure comparability and to examine how differences in target density affect burglar target selection.,other,FALSE,FALSE
"to align with offenders' decision-making processes and reduce aggregation bias.
- Prefer smaller spatial units over larger ones for more accurate environmental measurement.
- Explore available house-level data to improve or challenge current findings.
- Consider multiple levels of spatial aggregation",other,FALSE,FALSE
"to increase detail.
- Address the modifiable areal unit problem by considering the impact of different spatial aggregations on study results.
- Study larger areas to increase the generalizability of findings.
- Conduct offender-based research to understand daily spatial routines and crime locations.",other,FALSE,FALSE
"1. Median income
2. Residential density
3. Proportion non-Belgian residents
4. Proportion rental units
5. Prior burglary in neighborhood
6. Building construction type
7. Number of occupants
8. Number of residences inside the building
9. Rental status
10. Distance from the offender's home",statistical,FALSE,FALSE
"Construction type (semi-detached vs. terraced): Odds ratio = 0.72 (28% decrease)
- Presence of a garage: Odds ratio = 0.80 (20% decrease)
- Central heating/air-conditioning system: Odds ratio = 0.68 (32% decrease)
- Distance from offender's home: Odds ratio = 0.79 (21% decrease per kilometer)",statistical,FALSE,FALSE
The authors chose block groups as their spatial unit because they are the smallest unit available where meaningful sociodemographic data are available. This decision is based on practical considerations related to data availability and the relevance of sociodemographic factors in their study.,other,FALSE,FALSE
"Log-distance effect: Odds ratios of 0.36 and 0.35
- Repeat offending hypothesis: Odds ratios of 12.72 and 10.72
- Presence of facilities:
  - Churches: Odds ratio of 1.18
  - Marriage halls: Odds ratio of 1.13
  - Parks: Odds ratio of 1.17
  - Educational institutions: Positive effect",statistical,FALSE,FALSE
"1. Betweenness network centrality
2. Presence of bars
3. Presence of night shops
4. Presence of nightclubs
5. Presence of restaurants
6. Presence of schools
7. Presence of residential units
8. Presence of trees
9. Street segment surface size
10. Type of street segment (intersection",statistical,FALSE,FALSE
"Odds ratio for previously chosen areas: 7.17
- Odds ratio for distance to prior crime location: 0.69
- Odds ratios for recency:
  - Within 2 days: 59.94
  - 3-7 days: Not specified
  - 8-30 days: Not specified
  - 31-183 days: Not specified
  - 184-730 days: Not specified
  - 731-1",statistical,FALSE,FALSE
The authors suggest adapting the SWEBER measure to use alternative distance functions and consider urban landscape features. They also note the limitation of spatial truncation at city boundaries and suggest considering broader spatial units to account for burglars living outside the city.,other,FALSE,FALSE
The authors chose communities as their spatial unit size because they have a relatively homogeneous population and their average size is similar to those used in other crime location choice studies. This choice allows for a detailed analysis of crime patterns and barriers at a local level,other,FALSE,FALSE
"305 unique neighbourhoods in the Netherlands and then analyzing the data at different spatial scales.
- The key findings were that the percentage of offences committed within activity spaces increased from 39.4% at the neighbourhood level to 84.5% when including third-order spatial lags.",other,FALSE,FALSE
"1. Auto-oriented street density
2. Pedestrian-oriented street density
3. Number of bars
4. Number of schools
5. Number of transit stations
6. Number of shopping centers
7. Racial/Ethnic Heterogeneity
8. Population Turnover
9. Poverty
10. Population density
11. Solo crime rate",statistical,FALSE,FALSE
The authors suggest future research should consider other neighborhood structural conditions like social cohesion and collective efficacy. They also imply that exploring different spatial units or scales could provide deeper insights into how spatial knowledge affects criminal behavior,other,FALSE,FALSE
to model preference variability more effectively. They highlight the limitations of using larger spatial units like neighborhoods due to internal heterogeneity and suggest that smaller study areas could provide more nuanced insights into offender preferences and social disorganization.,other,FALSE,FALSE
The authors chose output areas (neighbourhoods) as their spatial unit because they are the smallest units for which the necessary variables are available. This choice is justified by the need to capture local variations within larger areas and aligns with social disorganisation theory,other,FALSE,FALSE
"Future investigations should prioritize suspects familiar with the crime location and its environs.
- Consideration of criminal opportunity is crucial in predicting crime locations.
- Longer-term and more frequent data collection on activity spaces could improve predictive accuracy.",other,FALSE,FALSE
"Distance: OR = 0.79 (21% decrease in odds for every kilometer further away)
- Construction type: Semi-detached vs. Terraced: OR = 0.72 (28% decrease in odds)
- Presence of garage: OR = 0.80 (20% decrease in odds)
- Central heating/air-conditioning: OR = 0.68 (32% decrease in odds)",statistical,FALSE,FALSE
"Percentage of single-family dwellings: Odds ratio = 1.13 for every 10% increase
- Ethnic heterogeneity: Odds ratio = 1.15 for every 10% increase
- Proximity to burglar's home: Odds ratio = 1.67 for every kilometre closer
- Number of residential units: Odds ratio = 1.35 for every 1",statistical,FALSE,FALSE
"not statistically significant.
- Racial and ethnic preferences:
  - African-American offenders: Odds ratio of 1.38 for African-American majority tracts.
  - Hispanic offenders: Odds ratio of 1.24 for Hispanic majority tracts.
  - Non-Hispanic white offenders: Not all significant",statistical,FALSE,FALSE
"using the Moran's I statistic to test for spatial dependence.
- They address potential spatial dependence issues by showing that residuals do not display significant autocorrelation after controlling for spatial variables.
- The paper mentions spatial truncation at city boundaries",other,FALSE,FALSE
"Use smaller spatial units like census blocks or even smaller units for more detailed analysis.
- Incorporate more nuanced understanding of spatial awareness and knowledge in models.
- Conduct offender-based research to gather detailed spatial information from offenders themselves.",other,FALSE,FALSE
particularly for analyzing streetscape features and their influence on street theft crime. The stability of urban features and consistent vegetation in the sub-tropical region support this choice. The use of a discrete spatial choice model also aligns with community-level analysis.,other,FALSE,FALSE
they also acknowledge the computational and theoretical challenges associated with smaller units. The paper does not propose specific alternative spatial units or scales of analysis but emphasizes the need for more precise measures to map awareness spaces and criminal opportunity.,other,FALSE,FALSE
"Distance: 0.58
- Distance to city center: 1.10
- Prior burglary in same LSOA:
  - 0-2 days ago: 16.6
  - 3-6 days ago: 5.8
  - 7-30 days ago: 4.3
  - 1-6 months ago: 2.2
  - 6-24 months ago: 2.0
- Prior burglary in same MSOA:
  - 0-2 days ago: 3.6
  - 3-6 days ago: 2.3",statistical,FALSE,FALSE
"Adults (OR = 0.673)
- Concentrated disadvantage: Adults (OR = 1.24)
- Residential stability: Adults (OR = 0.772)
- Percentage of occupied units: Adults (OR = 1.01)
- Percentage of Black residents: Juveniles (OR = 1.008)
- Racial/ethnic heterogeneity: Juveniles (OR = 1.015)",statistical,FALSE,FALSE
which is an alternative to the street segment level they chose. They justify their choice of street segment level by arguing it better captures the spatial logic of offender decision-making and allows for the observation of local variations that would be lost at larger scales.,other,FALSE,FALSE
"1. Concentrated disadvantage
2. Residential stability
3. Racial/ethnic heterogeneity
4. Percent occupied housing units
5. Gini coefficient
6. Percent Black residents
7. Percent Latino residents
8. Euclidean distance from home to target neighborhood
9. Distance squared",statistical,FALSE,FALSE
"supported by previous research. The use of ""statistical districts"" as neighborhoods is based on administrative divisions and is consistent with previous studies. The neighborhood size is small enough to capture local variations but large enough to be meaningful for analysis.",other,FALSE,FALSE
"third-order) on the percentage of offences committed within offenders' activity spaces.
- The analysis involved comparing the results across these different spatial scales.
- The methodological approach involved geocoding the longitude-latitude information to one of the 13",other,FALSE,FALSE
minimizing assumptions about omitted variable bias and keeping neighborhood-level characteristics constant. A fixed effects analysis is used to control for invariant property-level characteristics. This design choice is practical for ensuring the validity of their findings,other,FALSE,FALSE
"Consider using smaller spatial units like six-digit postal code areas for more detailed analysis.
- Address the issue of spatial interdependence when using smaller units by employing models that account for it.
- Explore alternative definitions for shared awareness space",other,FALSE,FALSE
The authors justify the use of neighborhoods as the spatial unit by referencing the long-standing tradition in criminology of studying neighborhood features related to attractiveness and opportunity. They also explain that burglars follow a hierarchical decision process,other,FALSE,FALSE
they later suggest that even these units may be too coarse and propose using smaller units like 10 × 10 m grids or addresses in future research. The rationale is based on the need for detailed spatial resolution and practical considerations for observational analysis.,other,FALSE,FALSE
"which may not reflect all burglaries due to low clearance rates.
- Excludes incidents with unknown or incorrect addresses and those outside city boundaries.
- Removes incidents with mixed adult and juvenile co-offenders.
- Uses block groups due to data availability",other,FALSE,FALSE
with the LCL model taking a couple of hours and the ML model taking several days. The authors suggest that sampling from alternatives could help overcome the computational issues with the ML model. No specific memory constraints or processing challenges are mentioned.,other,FALSE,FALSE
The authors discuss the Modifiable Areal Unit Problem (MAUP) by acknowledging the risk of aggregation bias and choosing to use smaller spatial units like census blocks to minimize this issue. They also consider scale effects by zooming in to the level of census blocks,other,FALSE,FALSE
"Restaurants and fast-food outlets: Odds ratios ranging from 1.15 to 1.37
- Liquor stores: Odds ratios between 1.04 and 1.54
- High schools: Strong temporal variation in location preference
- Other variables: Detailed coefficients are in Appendix Tables A1 and A2",statistical,FALSE,FALSE
"Low detection rate of residential burglaries (7%) could bias results.
- Exclusion of burglaries committed outside the city of The Hague due to lack of data on neighborhood characteristics.
- Restriction to single-offender burglaries.
- Reliance on police records",other,FALSE,FALSE
The authors justify their choice of spatial unit size by explaining the need to isolate property-level effects from neighborhood-level effects. They use a case-control design to compare burglarized properties with non-burglarized ones within the same neighborhoods,other,FALSE,FALSE
"096 days: 3.43
- Odds ratios for frequency:
  - Two prior crimes: 1.62
  - Three or four prior crimes: 2.25
  - Five to eight prior crimes: 2.95
  - Nine or more prior crimes: 8.63
- Odds ratios for crime type:
  - Same type: 7.25
  - Different type: 3.07",statistical,FALSE,FALSE
likely due to practical considerations such as using existing administrative boundaries for data analysis and to examine local crime patterns. Theoretical justifications or references to previous research for this choice are not explicitly mentioned in the paper.,other,FALSE,FALSE
"which are a significant portion of potential targets.
- Data availability issues included the removal of plots due to multiple dwellings and coding errors.
- The study area was constrained to houses only due to the limitations of the Belgian Land Registry data.",other,FALSE,FALSE
"Future studies could measure other activity nodes visited by offenders and their usual visit times.
- Offender interviews could provide more detailed information on routines and spatiotemporal preferences.
- Direct measures of time-varying target attractiveness",other,FALSE,FALSE
The authors justify their choice of street segments as the spatial unit of analysis by referencing previous research that advocates for this scale in studying crime and disorder. They also highlight that street segments align with human observational limitations,other,FALSE,FALSE
"Distance from home location: e  = 0.61 (p<.001)
- Presence of a river: e  = 0.72 (p=.25)
- Presence of a major road: factor of 1.77 (p<.001)
- Presence of a military base or police station: e  = 13.78 (p<.001)
- Distance from city centre: not significant",statistical,FALSE,FALSE
"a practical advantage but also a limitation.
- Significant variation in census unit size and population could affect analysis.
- 275 census units were excluded due to limited mobile phone network coverage.
- Privacy concerns led to the use of aggregated data",other,FALSE,FALSE
The authors justify their choice of spatial unit size by emphasizing that burglars target individual residences rather than entire neighborhoods. They argue that the appropriate level of aggregation for studying burglary target choice is at the residence level,other,FALSE,FALSE
"Incorporate temporal variation in crime and population mobility to better test opportunity theories.
- Explore differences between co-offending and single offending.
- Study other types of crimes to see how population mobility affects their spatial behavior.",other,FALSE,FALSE
"1. Idiosyncratic farness
2. Idiosyncratic betweenness
3. Pedestrian (overall) betweenness
4. Local betweenness
5. Nonlocal betweenness
6. Residential mobility
7. Socioeconomic heterogeneity
8. Affluence
9. Number of dwellings
10. Ethnic heterogeneity",statistical,FALSE,FALSE
"1. Bars_and_clubs
2. Cybercafés
3. Schools
4. Transportation_hubs
5. Wholesale_markets
6. Distance_of_journey_to_crime
7. Proportion_of_migrants
8. Proportion_of_young_adults
9. Malls_and_supermarkets
10. Bus_stops
11. Subway_stations
12. Car_parks",statistical,FALSE,FALSE
"1. Number_of_residential_properties
2. Distance
3. Proximity_effect_for_juveniles
4. Proximity_effect_for_adults
5. Percentage_of_non_native_residents
6. Percentage_of_residents_aged_15_to_25
7. Average_value_of_properties
8. Spatial_competition_factor",statistical,FALSE,FALSE
"but they were too large (mean area 2.25km^2) and could lead to incorrect estimations of variable effects.
- Street blocks: The authors considered using street blocks as they are more appropriate for examining social disorganisation and other factors. However",other,FALSE,FALSE
"and physical disorder
6. Population size of destination community
7. Presence of post-2000 newer buildings
8. Presence of high-rise buildings
9. Number of subway stations
10. Number of bus stops
11. Presence of parks
12. Number of entertainment venues",statistical,FALSE,FALSE
"non-significant effect
- Racial and ethnic preferences:
  - African-American offenders: 1.38 times for African-American majority tracts
  - Hispanic offenders: 1.24 times for Hispanic majority tracts
  - Non-Hispanic white offenders: not all significant",statistical,FALSE,FALSE
"Limited sample size affecting statistical significance
- Homogeneous sample limiting generalizability
- Potential inaccuracies in official residential histories
- Reliance on government systems for data
- Conservative estimates due to data unreliability",other,FALSE,FALSE
The authors suggest future research should explore methodological improvements to handle small spatial units and assess spillover effects using hierarchical nesting structures. They also imply a need to understand conditions that violate spatial consistency,other,FALSE,FALSE
"Explore alternative thresholds for distinguishing recency and duration in residential history.
- Consider more nuanced or dynamic spatial units to reflect continuous growth and decline of spatial knowledge.
- Use larger samples and more diverse data (e.g.",other,FALSE,FALSE
The paper discusses the Modifiable Areal Unit Problem (MAUP) by highlighting the importance of using small spatial units to avoid aggregation bias and ecological fallacy. The authors mention that smaller units are more affected by their spatial environment,other,FALSE,FALSE
"Mixed logit model estimates higher coefficients for proximity variables compared to conditional logit.
- Affluence is statistically significant in mixed logit but not in conditional logit.
- Residential mobility shows different effects in the two models",statistical,FALSE,FALSE
allowing for practical data collection from police records and municipal statistics. The discrete spatial choice approach is theoretically justified by its ability to integrate previous findings and model individual differences in location choice criteria,other,FALSE,FALSE
"1.06 times increase for every 100 households.
- Presence of an activity node within 5 km: Over 20-fold increase in likelihood.
- Sex offenses: High odds (~ 1000x) in SA2s with an activity node.
- Distances 2-5 km from activity nodes: ORs 16.1 to 21.5.",statistical,FALSE,FALSE
The authors faced a computational barrier due to the large number of rows (almost 37 million) that would be generated if all SA2s were included for each offender. This led to the use of stratified importance sampling to reduce the number of alternatives,other,FALSE,FALSE
and are familiar to residents. This choice is justified by the theoretical premise that offenders are more likely to commit crimes in familiar areas and by the practical consideration of data availability. Although these areas might be considered large,other,FALSE,FALSE
"excluding specific objects where graffiti was written.
- Some street segments were not observed and were excluded from the analysis.
- Graffiti along railway tracks or on trains was not observed.
- The study was conducted in a specific urban context",other,FALSE,FALSE
"which could limit the spatial units to those within this administrative boundary.
- Data aggregation requirements: The use of neighborhood units as spatial units might be due to data aggregation requirements or the way data is collected and processed.",other,FALSE,FALSE
"Proximity to the home neighbourhood: 1.49 (significant)
- Physical accessibility: significant
- Home neighbourhood: significant
- Affluence: not significant
- Social disorganisation: not significant
- Proximity to the city centre: not significant",statistical,FALSE,FALSE
"Future research should explore whether the findings apply to non-arrested burglars to ensure generalizability.
- There is a need for more contemporaneous data collection to align census data with crime data.
- Incorporating direct measures of wealth",other,FALSE,FALSE
"1. Average_value_of_residential_properties
2. Percentage_of_owner-occupied_properties
3. Mean_income_per_resident
4. Percentage_of_single-family_properties
5. Ethnic_heterogeneity
6. Residential_mobility
7. Number_of_properties_in_neighbourhood",statistical,FALSE,FALSE
"1. Number of people on the street
2. Percent fence
3. Percent wall
4. Percent windows
5. Percent grass
6. Percent sidewalk
7. Percent plants
8. Proximity effect (distance from offender's residence to crime location)
9. Crime attractors (e.g.",statistical,FALSE,FALSE
"Odds Ratio (OR) for current residential areas of any family member: 1.88
- Odds Ratio (OR) for former residential areas of any family member: 1.37
- Statistically significant difference between current and former residential areas (χ 2 (1) = 30.8",statistical,FALSE,FALSE
"Limited to Perth metropolitan area
- Exclusion of suburbs outside Perth metropolitan area
- Dataset did not allow unique identification of offenders
- Predefined set of 291 residential suburbs
- Complexity in selecting appropriate spatial scale",other,FALSE,FALSE
Future research should use more artificially constructed and uniform areas to minimize limitations in spatial analysis. The selection of spatial scale is complex and may require smaller units than neighborhoods to capture variations in crime rates.,other,FALSE,FALSE
The authors justify the use of street segments as spatial units by referencing recent research advocating for small spatial units of analysis. They define street segments operationally as the two sides of a street between intersections or a square,other,FALSE,FALSE
and are well-known to regular visitors. This choice balances practical considerations of data availability and theoretical relevance to activity spaces and crime location choice with reduced concerns for spatial accuracy compared to smaller units.,other,FALSE,FALSE
"Increase in odds by 29.5% for every 1 km decrease in distance from home.
- Crime attractors and generators:
  - Schools: Increase in odds by 2.1% for each additional school.
  - Bus stops: Increase in odds by 1.6% for each additional bus stop.",statistical,FALSE,FALSE
"indicating reliance on administrative boundaries.
- The dataset was limited by the availability of accurate home locations and the need to exclude cases outside the study area.
- The study was constrained by the unavailability of certain data",other,FALSE,FALSE
The study was limited by the complexity of using small spatial units like micro-places due to estimation problems and the need for multiple-level spillover effects. The choice of UK Census Lower Level Super Output Areas (LSOAs) was a compromise,other,FALSE,FALSE
"which may not be direct measures.
- Method for filling in missing data introduced imprecision.
- Overestimation of frequency for certain activity locations.
- Emphasis on general patterns over specific effect sizes due to these limitations.",other,FALSE,FALSE
"1. Distance_to_home
2. Presence_of_schools
3. Distance_to_city_center
4. Presence_of_train_station
5. Connectivity_via_major_roads
6. Population_turnover
7. Social_heterogeneity
8. Number_of_car_parks
9. Number_of_registered_vehicles",statistical,FALSE,FALSE
"VA.
- Aggregation requirement: Alternatives were aggregated into 2517 regular grids due to difficulty in representing individual house locations.
- Data availability issues: Features derived from census data and calculated distance values",other,FALSE,FALSE
The inability of the Google Car to capture isolated properties leads to a biased sample because these properties cannot be coded. This is a limitation in data collection rather than a computational constraint like memory or processing time.,other,FALSE,FALSE
"which is a common administrative boundary in urban planning and research.
- Static nature of SVIs: SVIs are collected instantly and cannot capture dynamic changes in on-street populations or small objects like broken windows and graffiti.",other,FALSE,FALSE
"Root Likelihood (RLH) statistic for Mixed Logit (ML) models: 7.3 to 28.4 (× 10 -4 )
- Root Likelihood (RLH) statistic for Conditional Logit (CL) models: 4.0 to 7.4 (× 10 -4 )
- Root Likelihood (RLH) statistic for null model: 1.9 × 10 -4",statistical,FALSE,FALSE
"Time interval between robberies:
  - 0-2 days: Odds ratio = 18.10
  - 3-7 days: Odds ratio = 12.79
  - 8-30 days: Odds ratio = 6.05
  - 1-6 months: Odds ratio = 6.02
- Not being arrested in the act of prior robbery: Odds ratio = 8.35",statistical,FALSE,FALSE
indicating the multiplicative effect of a one-unit increase of the independent variable on the odds of choosing a target area. Specific numerical values for these odds ratios are not provided in the text but are referenced in tables (e.g.,statistical,FALSE,FALSE
"implying that smaller units were not computationally feasible for their study. The mention of ""intractability of the estimation problem"" suggests that computational limitations were a significant factor in choosing the spatial unit size.",other,FALSE,FALSE
and balances the risks of ignoring spatial spill-over and spatial heterogeneity. This choice allows for the examination of meso-level spatial choices and includes attributes from surrounding areas to address potential spill-over issues.,other,FALSE,FALSE
and the use of spatially contiguous bands up to the 6th order was influenced by theoretical justifications related to spatial exploration and preferential return. The radius of gyration was used to describe individual mobility patterns,other,FALSE,FALSE
given their design for minimal travel restrictions and relation to urbanization levels. This choice is also consistent with previous studies in the field and aligns with the focus on personal geographic experience of offenders. However,other,FALSE,FALSE
"Non-native burglars are indifferent.
- Model D: Percentage 15-25 years old and average property value positively affect attractiveness (coefficients not specified).
- Model E: Spatial competition factor = 0.99 (negative odds ratio).",statistical,FALSE,FALSE
noting that the four-digit postal code area could be considered large and that smaller units like six-digit postal code areas could introduce issues of spatial interdependence. They acknowledge the MAUP but do not discuss it in detail,other,FALSE,FALSE
"Larger spatial areas were considered but not used because they tend to be more heterogeneous and would not capture local variations between sub-areas.
- Smaller units (~0.03km^2) were used in other studies like Frith et al. (2017)",other,FALSE,FALSE
"Time Intervals Between Two Robberies: Odds ratios greater than 1 (specific values not provided)
- Not Being Arrested in the Act of Prior Robbery: Odds ratio = 8.35
- Distance of Journey to Subsequent Robbery: Odds ratio = 0.13",statistical,FALSE,FALSE
The authors chose four-digit postal code areas as their spatial unit because they are well-suited for crime location choice research due to minimal travel restrictions and familiarity. These areas have an average population of 7,other,FALSE,FALSE
"1. Distance from the offender's home
2. Distance from the city centre
3. Ethnic heterogeneity
4. Socioeconomic heterogeneity
5. Residential Churn
6. Affluence
7. Previous offence locations
8. Number of potential targets",statistical,FALSE,FALSE
The authors justify the use of the house as the spatial unit of analysis by arguing that it is the smallest and most relevant unit for studying burglary target selection. This choice addresses the modifiable areal unit problem,other,FALSE,FALSE
"OR = 78.7%-82.2% increase for Dis-residing burglars
- Newer buildings: OR > 2.4 for both groups
- High-rise buildings: OR = 0.177 for Dis-residing burglars
- Subway stations: OR = 20% increase for Non-Dis-residing burglars",statistical,FALSE,FALSE
"Restaurants and fast-food outlets: Odds ratios range from 1.15 to 1.37.
- Liquor stores: Odds ratios range from 1.04 to 1.54.
- High schools: Statistically significant positive effects during school hours (6 a.m. to 4 p.m.)",statistical,FALSE,FALSE
likely due to data availability and the need to analyze crime patterns at a local level. This choice is implied by the use of community-level data and the mixed logit model for estimating individual decision-making processes.,other,FALSE,FALSE
"as only areas with available community survey data were included.
- The use of larger spatial units like postal codes was a deliberate choice to avoid computational and theoretical challenges associated with smaller units.",other,FALSE,FALSE
The authors chose Lower Super Output Areas (LSOAs) as their unit of analysis because they are interested in offender decision making at the area level. The use of LSOAs is justified by the availability of data across all 4,other,FALSE,FALSE
"such as travel paths.
- Use continuous GPS-tracking to obtain detailed information on activity nodes and travel routes.
- Focus on improving the completeness and quality of data on awareness spaces and offense locations.",other,FALSE,FALSE
which are important for understanding graffiti placement. The use of polygons instead of lines to represent street segments is justified by the need to accurately capture the spatial complexities of older European cities.,other,FALSE,FALSE
