Study_ID,Title_of_the_study,Citation,Year,Size_of_the_unit,Unit,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_unit_size,DOI,ISSN,Journal,Volume,Issue,Data_Collection_Period,Study_Period,Country,City_Region,Crime_Type,Crime_Type_Standardized,Rationale_Category,Study_Design,Discrete_Choice_Model,Estimation_Method,Quoted_Rationale,Justification_Summary,Sampling_Approach,Choice_Set_Definition,Alternative_Selection,Significant_Predictors,Effect_Directions,Data_Sources,Data_Availability,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
24,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?,"(A. W. Chamberlain & Boggess, 2016)",2016,0.88,km2,Blocks,334,5182,"The paper does not report the spatial unit size. We estimated the average block group area by dividing Tampa’s total land area (293 km²) by the number of block groups (334), resulting in an average of approximately 0.88 km² per block group.",https://doi.org/10.1177/0022427816647993,0022-4278,Journal of Research in Crime and Delinquency,53,6,2000-2012,2000-2012,United States,"Tampa, Florida",Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""We rely on block groups in order to minimize within neighborhood heterogeneity while also ensuring that there is neighborhood contextual data available.""",Block groups were chosen to reduce internal variability and ensure data availability.,"Comprehensive collection of all arrests for burglaries in Tampa, Florida, from January 2000 to September 2012.",Selecting a neighborhood out of 334 possible neighborhoods in Tampa.,Discrete choice model where each suspect selects a neighborhood from available options.,"Percentage of Black residents, concentrated disadvantage, residential stability, ethnic heterogeneity, distance from home.","Neighborhoods with more Black residents, higher disadvantage, lower residential stability are more likely to be targeted.",Tampa Police Department; U.S. Census data,Limited to cleared burglaries; no information on 80% of burglaries not cleared,Lack of information on 80% of burglaries not cleared; potential bias in arrest data.,Age and criminal history of suspects; distinction between residential and commercial burglaries.,Arrest data only includes cleared burglaries.,No temporal variation or land use variations captured.,No temporal variation in neighborhood target attractiveness captured.,"The study is limited to the City of Tampa, Florida, which may not be representative of other cities or contexts.","The study's focus on Tampa, Florida, makes findings context-specific and not easily applicable to other areas.","The study does not account for variations in land use or temporal variations, affecting comparability.",Use block groups as a spatial unit for analysis.,Include information on unreported burglaries and detailed offender characteristics.,Incorporate additional variables and use advanced statistical models.,Residential Stability; Single-Parent Households; Racial/Ethnic Heterogeneity; Percentage of Black Residents; Percentage of Latino Residents; Social Disorganization; Social Cohesion,7,Concentrated Disadvantage Index; Median Income; Median Home Value; Percentage of Residents Below Poverty; Percentage of Unemployed; Percentage of Occupied Units,6,Routine Activities; Familiarity; Social Cohesion; Residential Instability; Racial/Ethnic Heterogeneity; Anonymity; Reduced Likelihood of Apprehension,7,Home-to-crime distance; Euclidean distance; Distance squared,3,Time Period; Normalization of Data; Euclidean Distance; Distance Squared; Centering of Distance Measures; Series of Models; Variance Inflation Factors,7,30
25,divergent decisionmaking in context neighborhood context shapes effects of physical disorder and spatial knowledge on burglars location choice,"(Cai et al., 2024)",2024,0.958,km2,Community,1652,1972,NA,https://doi.org/10.31235/osf.io/rcny3_v1,NA,preprint,NA,NA,October 2019 (for mobility flows),2017-2018,China,Zg (City In Southeast China),Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""These communities with relatively high resident homogeneity are comparable to prior studies in terms of geographic and population sizes.""",The communities were chosen due to their role as the smallest administrative units for data collection and their comparability to prior studies.,Focus on central urban area with available street view images,Conditional logit model evaluating utility of target neighborhoods based on attributes,Based on characteristics of residential and target neighborhoods,"Physical disorder, distance from home, population size, presence of newer buildings, transportation facilities like subway stations.","Physical disorder in non-disadvantaged neighborhoods increases likelihood for disadvantaged burglars, decreases it for non-disadvantaged burglars. Distance from home reduces likelihood more for non-disadvantaged burglars. Population size increases likelihood for both groups. Newer buildings and subway stations increase risk.",Police arrest records; Mobile phone mobility data; Point of interest data; Community-level socio-demographic data; Street view images from Baidu Map,NA,"Lack of consideration of other neighborhood structural conditions such as social cohesion, ecological networks, and collective efficacy.",Difficulty in obtaining the history of criminals' activity space locations.,NA,Use of log(mobility flow+1) and reliance on robust standard errors for confidence intervals.,Not explicitly mentioned.,"The study is conducted in a specific city in China, which may not be representative of other urban or rural areas. The findings might not generalize to different cultural or socioeconomic contexts.","The study is specific to the city of ZG in southeast China, and the findings may be influenced by local factors such as urban planning, policing strategies, and cultural norms.","The study does not provide a direct comparison with other cities or countries, which limits the ability to generalize findings across different contexts.",Not explicitly mentioned.,Not explicitly mentioned.,Not explicitly mentioned.,Population (log); Proportion of high-rise residential buildings; Proportion of buildings built after 2000; Low educational attainment,4,"Unemployment rate; Low educational attainment; Share of non-locals; Overcrowding; Share of renters; Average rent price; Access to tap water, bath, and kitchen; Proportion of high-rise residential buildings; Proportion of buildings built after 2000; Number of subway stations; Number of entertainment venues",11,Physical Disorder; Newer Buildings; Parks; Entertainment Venues,4,Distance from Burglar's Home; Subway Stations; Bus Stops,3,Time period; Mobility flows; Distance from home; Population size; Newer buildings; Subway stations; Bus stops; Parks; Entertainment venues,9,31
26,familiar locations and similar activities examining the contributions of reliable and relevant knowledge in offenders crime location choices,"(Curtis-Ham et al., 2025)",2025,1.2,km2,Statistical_Area,2153,38120,"The paper uses “Statistical Area 2” (SA2) census units as the spatial unit of analysis. SA2s typically contain 2,000–4,000 residents (1,000–3,000 in rural areas). In this study, the analyzed SA2s had a median land area of 1.2 km², with 50% of SA2s sized between 0.84 and 2.2 km².",https://doi.org/10.1177/10575677241244464,1057-5677,International Criminal Justice Review,35,1,2009-2018,2009-2018,New Zealand,Not Specified,Burglary,Burglary,Theory-Method,Cross-sectional,Conditional Logit,Maximum Likelihood,"""Consistent with previous studies (e.g., Clare et al., 2009; Townsley et al., 2015), we use SA2s as the spatial unit to examine meso-level spatial choices.""",SA2s were chosen for consistency with previous studies and to balance spatial spill-over and heterogeneity considerations.,Stratified importance sampling,Neighborhoods (SA2s) as alternatives,"Chosen SA2, SA2s with activity nodes within 5 km, and 10 randomly selected SA2s",Presence of H f H s nodes.,H f H s nodes increase choice probability.,New Zealand Police National Intelligence Application (NIA); NZ Statistics Census and Business Demography data,NA,Data does not capture all pre-offense activity locations; imprecision in filling missing data; overestimation of frequency for certain activity locations.,Not all pre-offense activity locations captured; missing data required imputation.,Police administrative data may not capture all relevant activity locations.,Reliability and relevance measures are proxies; frequency overestimation for certain activity locations.,Not mentioned.,"Findings likely generalize beyond included crimes, but further research is needed; the study supports generalizability across contexts.","Findings are based on New Zealand data, which may have unique characteristics; further testing is needed for other contexts.",The study does not compare across different contexts or time periods; future research should explore these aspects.,Not mentioned.,Future research should consider using time-use surveys and in-depth interviews for more detailed data.,The study suggests using complementary methods to improve data completeness and detail.,Gender; Age,2,Number of premises per SA2; Number of business units in commercial or public industries,2,Number of households; Number of business units in any industry; Number of business units in commercial industries; Number of business units in commercial or public industries,4,Distance to activity nodes; Distance decay,2,Opportunity Variables; Distance Bands,2,12
27,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"(A. Chamberlain et al., 2022)",2022,1.36,km2,Block_groups,304,4920,"The paper does not report the spatial unit size directly but uses census block groups as the spatial unit. The city of Tampa is divided into 334 block groups. The average area per block group was estimated by dividing the total area of Tampa (455 km²) by the total number of block groups (334), resulting in an average of approximately 1.36 km² per block group. Although the analysis in the study was conducted on 304 block groups due to data availability, the average size was calculated using all 334 block groups to reflect the full spatial division of the city.",https://doi.org/10.1177/00111287211067177,111287,Crime and Delinquency,69,11,2000-2012,2000-2012,United States,"Tampa, Florida",Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""because these are the smallest unit available where meaningful sociodemographic data are available""",Block groups were chosen as the spatial unit of analysis because they are the smallest units available for meaningful sociodemographic data.,Discrete choice modeling framework using cleared burglaries over a 13-year period.,334 neighborhoods available for targeting.,Geocoded incident and home addresses.,"Residence-to-crime distance, neighborhood characteristics related to social disorganization, racial/ethnic heterogeneity.",Adults target neighborhoods with higher concentrated disadvantage and racial/ethnic heterogeneity; juveniles target neighborhoods with higher Black population.,Cleared burglaries; demographic and economic data from the US Census; arrest data for burglaries from the city police department,Limited by a clearance rate of around 20% in Tampa; may underestimate burglars who target locations further away,Reliance on arrest data with low clearance rates may lead to underestimation of burglars targeting distant locations.,"Lack of individual characteristics (race, criminal history), land use data, and residential/commercial target distinction.",Arrest data limited by low clearance rates.,No accounting for temporal variation in target attractiveness.,No consideration of temporal variation in target attractiveness.,"Findings may not generalize to other contexts or populations due to the specific focus on Tampa, Florida, and reliance on arrest data.","Findings are specific to the context of Tampa, Florida, and may not apply to other cities or regions.",Inability to account for different land uses or temporal variations limits comparisons across contexts or time periods.,Focus on small-scale urban planning using block groups as neighborhoods.,Detailed neighborhood data is important.,Use advanced statistical techniques like discrete choice modeling.,Racial/Ethnic Heterogeneity; Percent Occupied Housing Units; Percent Black Residents; Percent Latino Residents; Residential Stability,5,Concentrated Disadvantage; Residential Stability; Percent Occupied Housing Units; Gini Coefficient,4,Disorganized neighborhoods; Familiarity with neighborhoods; Activity spaces; Structural elements; Socially organized areas; Social distance; Routine activities; Hangouts and loitering hotspots,8,Euclidean Distance; Average Distance Traveled; Distance Squared,3,Time Period; Concentrated Disadvantage; Residential Stability; Racial/Ethnic Heterogeneity; Percent Occupied Housing Units; Gini Coefficient; Racial Composition; Discrete Choice Modeling Framework; Seemingly Unrelated Estimation,9,29
28,Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data,"(Curtis-Ham et al., 2022a)",2022,1.41,km2,"Statistical_Area_
2",2153,38120,"the authors report that the median land area of the sampled Statistical Area Level 2 (SA2) units was 1.2 km², with the first quartile (Q1) at 0.84 km² and the third quartile (Q3) at 2.2 km². While the mean unit size was not directly reported, it can be approximated using a standard formula that averages the three quartile values:
Estimated Mean Area≈Q1+Median+Q33=0.84+1.2+2.23≈1.41 km²",https://doi.org/10.1007/s11896-022-09540-8,0882-0783,Journal of Police and Criminal Psychology,38,1,2009-2018,2009-2018,New Zealand,Not Specified (National Scope),Burglary,Burglary,Practical Constraint,Cross-sectional,Conditional Logit,Maximum Likelihood,"""SA2s are comparable to the units used in other neighbourhood level DSCM studies (e.g., Clare et al. 2009;Townsley et al. 2015).""","SA2s were chosen for their comparability to units used in other studies and to balance theoretical relevance, spatial spill-over, spatial heterogeneity, and computational processing.",Stratified importance sampling,"Included chosen SA2, SA2s with activity nodes within 5 km, and 10 randomly selected SA2s from those more than 5 km away",Stratified importance sampling,"Proximity to activity nodes, frequency of visits, type of activity node (e.g., home vs. family homes).",Positive for proximity to activity nodes; offenders more likely to commit crimes closer to these locations.,New Zealand Police National Intelligence Application (NIA),Not publicly available; obtained with approval from the New Zealand Police Research Panel,"The data is a sample of each offender's true population of activity locations, indicating potential issues with data completeness and reliability.","Not all family members' addresses are recorded, and employment and education records are rare.","Crime and victimization locations depend on police reporting, which may not be comprehensive.",Lack of association between certain nodes and crimes suggests measurement issues or limitations in how these variables were defined or measured.,Not mentioned.,The results are likely to generalize to low population density jurisdictions but may not apply to other contexts.,The findings are specific to New Zealand's low population density context.,"The study does not compare across different contexts or time periods, limiting its ability to generalize findings.",Use of SA2s as spatial units.,Supplement police data with other administrative datasets.,Use mixed logit models to examine individual differences.,Population Density; Household Size/Composition; Demographic Characteristics of Offenders,3,Number of dwellings; Total number of business units; Number of business units in industry categories; Number of business units in commercial or public industries,4,Number of dwellings; Total number of business units; Number of business units in industry categories; Number of business units in commercial or public industries; Schools; Prior crimes,6,Distance Bands; Median Nearest Neighbor Distance,2,Temporal Filter; Recency of Prior Crimes; Spatial Unit; Opportunity,4,19
29,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices,"(Song et al., 2019)",2019,1.62,km2,Census_unit,1616,3436,NA,https://doi.org/10.1007/s10940-019-09406-z,0748-4518,Journal of Quantitative Criminology,35,4,"Wednesday, December 28, 2016 (for mobile phone data)",2014-2016,China,Zg City,Theft,Theft,Theory-Method,Cross-sectional,Conditional Logit,Maximum Likelihood,"""because census units have a size similar to those in comparable studies, because census units are approximately equally sized, and because in the study area they are relatively homogenous in terms of population composition.""","Census units were chosen for their similarity in size to previous studies, equal size, and homogeneity in population composition, aligning with theoretical and methodological considerations.","Census units were used as spatial units; initially 1891 units, but 275 were excluded due to limited mobility data, leaving 1616 units.",1616 census units as alternatives.,Based on crime generators and mobility flows.,"Distance, mobility flows, subway stations, cinemas, hospitals, proportion of non-locals.",Stronger mobility flows increase targeting probability; distance remains significant despite reduced effect.,Crime data from police authorities of ZG City; Mobile phone location data from a major mobile phone service provider in China,Limited by exclusion of cases due to lack of geographic detail; Only 4G users' data from one mobile phone network provider,Exclusion of cases due to lack of geographic detail.,Exclusion of February data due to Chinese Spring Festival.,Use of data from only one mobile phone network provider.,Exclusion of co-offending groups.,Analysis only on weekdays; ignoring temporal variation.,"The findings might be applicable to other countries, but this is tentative and requires further research.","The study is conducted in a specific Chinese context, which might not be directly comparable to other settings.",The study is limited to theft from the person and does not explore other types of crimes.,Not explicitly mentioned.,Use cell phone data to measure population mobility and potentially incorporate time use data.,Incorporate temporal variation and additional data types to improve analytical approaches.,Population size; Proportion of non-locals; Hukou status,3,NA,0,Primary schools; Middle schools; Hospitals; Basic stores; Markets; Supermarkets; Restaurants; Cinemas; Bars; Banks; Subway stations; Bus stops,12,Median Distance; Average Crime Trip Distance; Euclidean Distance; Relative Mobility,4,Exclusion of February; Selection of weekdays; Clearance rate of theft from the person; Geographical location of study area; Size of census units; Mean population; Exclusion of census units due to limited mobility data; Euclidean distances between census units,8,27
30,Assessing the influence of prior on subsequent street robbery location choices: A case study in ZG City  China,"(Long et al., 2018)",2018,1.62,km2,Community,1973,1262,NA,https://doi.org/10.3390/su10061818,2071-1050,Sustainability,10,6,NA,2016,China,Zg City,Robbery,Robbery,Data Availability,Panel,Mixed Logit,NA,Not explicitly provided,Administrative convenience and data availability,Detected robberies from the ZG City Public Security Bureau.,Pairs of prior and subsequent robberies for each repeat offender.,Prior and subsequent robbery locations for each offender.,"Time interval between robberies, not being arrested in the act of a prior robbery.",Shorter time intervals and not being arrested increase the likelihood of returning to the same location.,ZG City Public Security Bureau; POI data from a navigation data company in China,Empirical crime research based on official police data is rare in China due to difficulty in accessing crime data,Difficulty in accessing crime data in China.,Omission of un-arrested robbers.,Reliance on official police data.,None explicitly mentioned.,None mentioned.,Findings may not be fully generalizable to other contexts due to unique Chinese social structure and spatial form.,"Findings are specific to ZG City, China, and may not apply universally due to differences in social cohesion and policing strategies.","The study's context is specific to China, limiting comparisons with Western countries due to differences in social structure and policing.",Not explicitly mentioned.,Incorporate data from un-arrested robbers to improve model accuracy.,Address the nesting issue and incorporate data from un-arrested robbers.,Gender; Age; Hukou Status; Community Size; Social Cohesion; Collective Efficacy,6,GDP; Socioeconomic Heterogeneity; Amount of Lost Property or Money,3,High schools; Shopping malls; Transportation hubs; Bars and clubs; Cybercafés; Grocery stores; Hotels; Restaurants; ATMs; Banks; Subway stations; Bus stations; Surveillance cameras; Daily human mobility,14,Distance of Journey to Prior Robbery; Distance of Journey to Subsequent Robbery,2,Time Interval Between Two Robberies; Distance of Journey to Prior Robbery; Not Arrested in the Act of Prior Robbery; Distance of Journey to Subsequent Robbery; Transportation Hubs; Subway Stations; Bus Stations; Bars and Clubs; Cybercafés; Malls and Supermarkets; High Schools; Surveillance Cameras; Daily Human Mobility; Socioeconomic Heterogeneity,14,39
31,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,"(Long et al., 2021)",2021,1.62,km2,Community,1971,4358,NA,https://doi.org/10.1016/j.cities.2021.103223,0264-2751,Cities,115,NA,12-18 May 2016 (for mobile phone data),2012-2016,China,Zg City,Robbery,Robbery,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,Not explicitly stated,Communities are used as spatial units likely due to administrative relevance and data availability.,"Arrested street robbers and their offenses from 2012 to 2016 in ZG City, China.",1971 communities in ZG City.,One community chosen out of 1971.,Ambient population and surveillance cameras.,Negative for both ambient population and surveillance cameras.,Crime data from ZG Municipal Public Security Bureau; mobile phone data; neighborhood characteristics data from ZG City; sixth census of China,"11,455 arrest records; only 7860 records have a home address in the city","Only 7860 out of 11,455 arrest records had a home address in the city.",Random selection of one robber to represent multiple robbers in some cases.,Relies on arrest records from the ZG Municipal Public Security Bureau.,Use of mobile phone data to measure ambient population.,Data from 2012 to 2016.,The study's findings are specific to ZG City and may not generalize to other urban areas.,The study is conducted in a specific urban context in China with unique characteristics such as rapid urbanization.,The study does not provide a direct comparison with other cities or regions.,"The study uses community-level data, suggesting that future research should consider similar spatial scales for analyzing crime location choice.","The use of mobile phone data for ambient population measurement is highlighted, suggesting its potential for future studies.",The study suggests integrating ambient population and surveillance cameras into discrete spatial choice models to improve explanatory power.,Hukou status; Proportion of migrants; Proportion of youngsters; Socioeconomic heterogeneity; Social cohesion; Collective efficacy; Types of housing,7,GDP; Annual Increase Rate; Socioeconomic Heterogeneity; Economic Inequality; Proportion of Youngsters,5,Malls and supermarkets; Grocers and terminal markets; Bars and clubs; Cybercafés and sports stadiums; High schools; ATMs and banks; Car parks; Surveillance cameras; Ambient population,9,Distance of Journey to Crime; Density of Road Network; Bus Stops; Transportation Hubs; Subway Stations,5,Crime generators and attractors; Density of road network; Distance of journey to crime; Social disorganization; Logged distance of journey to crime,5,31
32,Do Migrant and Native Robbers Target Different Places?,"(Long & Liu, 2021)",2021,1.62,km2,Neighborhood,1971,7860,NA,https://doi.org/10.3390/ijgi10110771,2220-9964,ISPRS International Journal of Geo-Information,10,11,2010-2016,2012-2016,China,Zg City,Robbery,Robbery,Not specified,Cross-sectional,Conditional Logit,Maximum Likelihood,NA,"The spatial units are neighborhoods, likely chosen due to data availability and administrative convenience.","Arrest data from 2012 to 2016, focusing on street robbers within ZG City.","Neighborhood characteristics data including POI, traffic road network, and mobile phone data.",Based on domicile attributes and household registration attributes.,"Wholesale markets, sports stadiums, transportation hubs, subway stations.",Wholesale markets increase choice probability for migrant robbers; sports stadiums decrease choice probability for migrant robbers; transportation hubs and subway stations increase choice probability for migrant robbers.,Arrest data from ZG City's Public Security Department; POI data from Daodaotong Map; Traffic road network vector map data from Daodaotong Map; Bus stop data from Baidu API; Mobile phone data (source not disclosed); Social and economic data from the National Bureau of Statistics of China,Limited due to agreement restrictions on crime data and mobile phone data,Exclusion of data due to residence outside the study area or unknown residence.,Unavailability of data on family disruption and poverty.,Use of 'pinyin' codes for place names due to confidentiality agreements.,Potential oversimplification in measuring journey to crime distances.,Data limited to 2012-2016.,The study is specific to ZG City and may not be representative of other cities or countries.,Findings are specific to the context of ZG City and the Hukou system.,The study does not provide comparisons across different cities or regions.,Not explicitly mentioned.,Improve data collection to address underreporting issues.,Not explicitly mentioned.,Gender; Ethnicity; Education level; Proportion of migrants; Proportion of youngsters; Socioeconomic heterogeneity; Daily human mobility; Migration status,8,Wholesale markets; Proportion of migrants; Socioeconomic heterogeneity,3,Labor-intensive industrial cluster; Old urban areas and urban villages; Wholesale markets; Sports stadiums; Malls and supermarkets; Grocers; Bars and clubs; High schools; ATMs and banks; Carparks; Bus stops; Density of road network,12,Distance of Journey to Crime,1,Arrest data; POI data; Traffic road network vector map data; Bus stop data; Mobile phone data; Distance of journey to crime; Ambient population; Crime prevention; Proportion of migrants,9,33
33,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","(Long & Liu, 2022)",2022,1.62,km2,Neighborhood,1971,7860,NA,https://doi.org/10.1016/j.cities.2022.103943,0264-2751,Cities,130,NA,2012-2016,2012-2016,China,Zg City,Robbery,Robbery,Not specified,Cross-sectional,Conditional Logit,NA,Not specified,"Neighborhood units used as spatial scale, but specific reasons not detailed.","Spatial sampling using neighborhood units in ZG city, China.",Each robbery geocoded into one of 1971 neighborhood units.,Neighborhoods where robberies occurred serve as alternatives.,"Cybercafés, transportation hubs, schools, distance of journey to crime.",Cybercafés increase choice probability for juvenile and young adult robbers; transportation hubs increase it for young adult and adult robbers; schools have a positive effect on all age groups with a marginal age decay effect; distance of journey to crime decreases choice probability.,ZG City Public Security Bureau,Confidential,Confidentiality of data may limit verification or sharing.,"Additional attributes of offenders (e.g., household registration, socioeconomic status) are not included.",Confidential data may restrict access or sharing.,Odds ratios in models are not as high as desired.,NA,Limited to a large Chinese city; may not generalize to other contexts or countries.,"Findings are specific to the Chinese context, particularly in terms of social disorganization and routine activity nodes.",Focus on street robbery in a specific Chinese context; not directly comparable to other crime types or contexts.,NA,NA,Include additional attributes of offenders in future studies.,"Proportion of migrants; Proportion of young adults; Age groups (juvenile, young adult, adult); Social cohesion",4,Proportion of migrants; Proportion of young adults,2,Cybercafés; Schools; Wholesale markets; Bars and clubs; Routine activity nodes,5,Distance of Journey to Crime; Bus Stops; Subway Stations,3,Bus stops; Subway stations; Malls and supermarkets; Car parks,4,18
34,Awareness×Opportunity: Testing Interactions Between Activity Nodes and Criminal Opportunity in Predicting Crime Location Choice,"(Menting, 2018)",2018,1.68,km2,Postal_code_area,76,13088,NA,https://doi.org/10.1093/bjc/azx049,0007-0955,The British Journal of Criminology,58,5,2009,2006-2009,Netherlands,"The Hague, Rijswijk, And Leidschendam-Voorburg",Any-Crime-Type Offences,Multiple/Mixed Crime Types,Theory-Method,Cross-sectional,Conditional Logit,Maximum Likelihood,"""These postal codes are therefore well suited for a crime location choice study, because most people will be familiar with these areas when living there or (frequently) visiting the area.""","Four-digit postal code areas were chosen because they are familiar to residents and visitors, making them suitable for analyzing crime location choice.",Random sampling of offenders with at least one registered crime incident in 2009.,76 postal code areas as alternatives for each crime incident.,Alternatives selected based on availability of community survey data.,"Residential areas of offenders and family, number of bars/restaurants/hotels, collective efficacy.",Residential areas increase targeting likelihood; high collective efficacy decreases it; bars/restaurants/hotels increase targeting in non-residential areas.,Police information system; Population registration data (BRP); LISA data; Community survey (SPAN project),3696 questionnaires returned; Postal codes with sufficient residents included,Not explicitly mentioned.,No data available to precisely map awareness spaces of individual offenders.,Use of four-digit postal codes may be too large for theoretical models.,Study did not include other types of criminal opportunity.,Not explicitly mentioned.,"Limited to three municipalities in the greater The Hague area in the Netherlands; may not be representative of other areas, especially rural ones.",Findings may not be applicable to rural areas.,"Mechanisms may differ between countries, indicating a potential limitation in comparative validity across different national contexts.",Smaller spatial units may better fit theoretical models.,More precise data collection is needed to map individual offenders' awareness spaces.,Use more complete and precise measures for awareness and opportunity.,Population size; Area size; Collective efficacy; Population density; Proportion of single-person households; Proportion of residents with a non-western background; Age of offenders; Gender of offenders,8,Number_of_Employees,1,Number of bars/restaurants/hotels; Collective efficacy,2,Euclidean Distance; Average Distance Replacement; Postal Code Areas; Travel Restrictions,4,"Former residential area of the offender; Distance between the offender's residential area and the crime location; Previous crime location; Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities; Number of employees; Neighbourhood disorder; Population density; Proportion of single-person households; Proportion of residents with a non-western background",9,24
35,The Importance of Importance Sampling: Exploring Methods of Sampling from Alternatives in Discrete Choice Models of Crime Location Choice,"(Curtis-Ham et al., 2022b)",2022,1.962,km2,Statistical_Area,2153,38120,"The paper does not report the spatial unit size directly but uses New Zealand Census Statistical Area 2 (SA2) units as the spatial unit. There are 2,153 SA2s in New Zealand, with land areas ranging from 0.063 km² to 12,042.36 km². The median area of an SA2 is 1.96 km²,",https://doi.org/10.1007/s10940-021-09526-5,0748-4518,Journal of Quantitative Criminology,38,4,2009-2018,2009-2018,New Zealand,National,Burglary,Burglary,Prior Research,Cross-sectional,Conditional Logit,Maximum Likelihood,"""SA2s are comparable to the units used in other crime location choice studies""","SA2s were chosen because they are comparable to units used in other crime location choice studies, indicating a basis in prior research and methodological consistency.","Distance importance sampling (DIS), simple importance sampling (SIS), and simple random sampling (SRS)",NZ Census Statistical Area 2 (SA2) as the set of locations from which an offense location could be chosen,DIS: all SA2s within 5 km of the offender's activity nodes and additional strata at increasing distances; SIS: all SA2s within 5 km and increased number of additional SA2s; SRS: random sampling based on smallest and largest sample sizes,"Presence of activity nodes near potential crime locations, number of households in an area for residential burglary.",Presence of activity nodes increases choice probability.,New Zealand Police; Statistics NZ Census and Business Demography data,Data may not generalize to all offenders due to selection bias; not all activity nodes are recorded,Results may only generalize to identified offenders; data from solved cases may not represent all offenders.,Not all activity nodes of all offenders are included.,Data only includes solved cases.,None explicitly mentioned.,None mentioned.,"The findings may only apply to offenders who have been identified and proceeded against, and are limited by a single data source and country.",The findings are specific to the New Zealand context.,The study does not provide direct comparisons across different contexts or time periods.,Use larger datasets with more variables and granular spatial units.,Collect data that includes a wide array of activity nodes and opportunity variables.,Use importance sampling and explore new sampling methods for other models.,NA,0,Number of households in the SA2; Number of business units in any industry; Number of business units for industries targeted in commercial robbery; Number of commercial or public business units,4,Number of households in SA2; Number of business units in any industry; Number of business units for targeted industries; Number of commercial or public business units; Presence of activity nodes in SA2,5,Distance to Activity Nodes,1,Day-of-week effects; Time-of-day effects; Year dummies; Opportunity measures,4,14
36,Burglar Target Selection: A Cross-national Comparison (Super Output Areas - UK),"(Townsley et al., 2015)",2015,2.04,km2,Super_Output_Areas,131,398,NA,https://doi.org/10.1177/0022427814541447,0022-4278,The Journal of Research in Crime and Delinquency,52,1,NA,NA,United Kingdom,Birmingham,Burglary,Burglary,Data Availability,Cross-sectional,Conditional Logit,Maximum Likelihood,"""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (UK context - Super Output Areas)""","Spatial units chosen based on equivalence in size of burglar population and number of targets for UK context, likely due to data availability and administrative convenience.",Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.,Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.,Based on geographical characteristics and presence of targets.,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,ONS (United Kingdom),Limited by inconsistency in measuring residential real estate value across regions,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to Birmingham, UK context due to differences in target densities and Super Output Area characteristics.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.,Use consolidated models for statistical comparisons across different environments.,Use administrative and census data to estimate the consolidated model.,Relax assumptions in the conditional logit model and use more complex models.,Residential Mobility; Social Cohesion,2,Residential Real Estate Value,1,Number of households; Proportion of single-family dwellings; Residential mobility; Availability of potential targets,4,Proximity; Proximity to City Center; Proportion of Single-Family Dwellings; Number of Households,4,Jurisdictional Dummies; Robust Standard Errors; Wald Tests,3,14
