Study_Title,Demographic_Variables,Economic_Variables,Environmental_Variables,Distance_Variables,Temporal_Variables,Uncategorized_Variables,All_Variables
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,1. Gender | Percentage; 2. Racial and Ethnic Background | Percentage; 3. Age | Number; 4. Total Population | Number; 5. Racial and Ethnic Composition | Percentage; 6. Ethnic Diversity | Binary; 7. Block population | Number; 8. Racial/ethnic composition | Binary,NA,1. Business density | Binary; 2. Non-residential census blocks | Number,1. Accessibility | Binary; 2. Distance between offender homes and robbery locations within census block | Distance; 3. Euclidean distances between offender homes and census block midpoints | Distance; 4. Accessibility: Block on main street | Binary; 5. Accessibility: Block with El station | Binary; 6. Home-crime distance distribution | Distance; 7. Negative log of distance | Distance; 8. Distance from Home | Distance,1. Time of Day | Number; 2. Day of Week | Number,"1. Presence of High Schools | Binary; 2. Presence of legal cash economies | Binary; 3. Presence of illegal cash economies | Binary; 4. Presence of legal cash economies | Number; 5. Presence of illegal cash economies | Number; 6. High schools | Number; 7. Bars and clubs | Number; 8. Restaurants, fast-food outlets, and food stands | Number; 9. Barber shops and beauty salons | Number; 10. Liquor stores | Number; 11. Grocery stores | Number; 12. General merchandise shops | Number; 13. Gas stations | Number; 14. Laundromats | Number; 15. Pawnshops, currency exchange, and check-cashing services | Number; 16. Random Sampling | Number","1. Gender | Percentage; 2. Racial and Ethnic Background | Percentage; 3. Age | Number; 4. Total Population | Number; 5. Racial and Ethnic Composition | Percentage; 6. Ethnic Diversity | Binary; 7. Presence of High Schools | Binary; 8. Presence of legal cash economies | Binary; 9. Presence of illegal cash economies | Binary; 10. Business density | Binary; 11. Accessibility | Binary; 12. Block population | Number; 13. Racial/ethnic composition | Binary; 14. Presence of legal cash economies | Number; 15. Presence of illegal cash economies | Number; 16. High schools | Number; 17. Bars and clubs | Number; 18. Restaurants, fast-food outlets, and food stands | Number; 19. Barber shops and beauty salons | Number; 20. Liquor stores | Number; 21. Grocery stores | Number; 22. General merchandise shops | Number; 23. Gas stations | Number; 24. Laundromats | Number; 25. Pawnshops, currency exchange, and check-cashing services | Number; 26. Non-residential census blocks | Number; 27. Distance between offender homes and robbery locations within census block | Distance; 28. Euclidean distances between offender homes and census block midpoints | Distance; 29. Accessibility: Block on main street | Binary; 30. Accessibility: Block with El station | Binary; 31. Home-crime distance distribution | Distance; 32. Negative log of distance | Distance; 33. Time of Day | Number; 34. Day of Week | Number; 35. Distance from Home | Distance; 36. Random Sampling | Number"
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",1. Ethnic Heterogeneity | Number,1. Average real estate value of residential units | Percentage; 2. Real Estate Value | Percentage,1. Residential units' visible cues | Number; 2. Residential Mobility | Rate,1. Journey-to-crime | Distance; 2. Distance decay pattern | Rate; 3. Proximity to CBD | Distance; 4. Concentric zone model | Distance; 5. Proximity to Central Business District | Distance,NA,1. Percentage of owner-occupied dwellings | Percentage; 2. Home ownership | Percentage; 3. Public facilities in the central business district | Percentage; 4. Likelihood of successful completion | Number; 5. Social cohesion and collective efficacy | Number; 6. Mobility of burglars | Number; 7. SWEBER (spatially weighted burglar exposition rate) | Rate; 8. Home Ownership | Percentage; 9. Moran's I Statistic | Number,1. Percentage of owner-occupied dwellings | Percentage; 2. Average real estate value of residential units | Percentage; 3. Home ownership | Percentage; 4. Residential units' visible cues | Number; 5. Public facilities in the central business district | Percentage; 6. Likelihood of successful completion | Number; 7. Social cohesion and collective efficacy | Number; 8. Mobility of burglars | Number; 9. Journey-to-crime | Distance; 10. Distance decay pattern | Rate; 11. SWEBER (spatially weighted burglar exposition rate) | Rate; 12. Proximity to CBD | Distance; 13. Concentric zone model | Distance; 14. Ethnic Heterogeneity | Number; 15. Residential Mobility | Rate; 16. Real Estate Value | Percentage; 17. Home Ownership | Percentage; 18. Proximity to Central Business District | Distance; 19. Moran's I Statistic | Number
Effects of residential history on commercial robbers' crime location choices,"1. Population density | Distance; 2. Population size | Number; 3. Population percentages of 15-25-year-old | Percentage; 4. Foreign-born residents | Percentage; 5. Single residents | Percentage; 6. Population percentages of 15-25-year-old, foreign-born, and single residents | Percentage",NA,1. Mean value of residential property | Number,1. Distance to the nearest highway ramp | Distance; 2. Distance between current residence and crime location | Distance; 3. Distance decay | Percentage,NA,1. Postal code area characteristics | Number; 2. Duration of residence | Percentage,"1. Population density | Distance; 2. Population size | Number; 3. Population percentages of 15-25-year-old | Percentage; 4. Foreign-born residents | Percentage; 5. Single residents | Percentage; 6. Mean value of residential property | Number; 7. Postal code area characteristics | Number; 8. Distance to the nearest highway ramp | Distance; 9. Distance between current residence and crime location | Distance; 10. Population percentages of 15-25-year-old, foreign-born, and single residents | Percentage; 11. Distance decay | Percentage; 12. Duration of residence | Percentage"
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,1. Gender | Percentage; 2. Age | Number,NA,NA,1. Distance decay | Percentage; 2. Distance Bands | Distance,NA,1. Number of premises per SA2 | Number; 2. Number of business units in commercial or public industries | Number; 3. Number of households | Number; 4. Number of business units in any industry | Number; 5. Number of business units in commercial industries | Number; 6. Opportunity Variables | Number,1. Gender | Percentage; 2. Age | Number; 3. Number of premises per SA2 | Number; 4. Number of business units in commercial or public industries | Number; 5. Number of households | Number; 6. Number of business units in any industry | Number; 7. Number of business units in commercial industries | Number; 8. Distance decay | Percentage; 9. Opportunity Variables | Number; 10. Distance Bands | Distance
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,1. Population density | Number; 2. Proportion of residents with a non-Western background | Percentage; 3. Average population size | Number; 4. Ethnic diversity | Number; 5. Population Density | Distance; 6. Proportion of Residents with a Non-Western Background | Percentage,NA,NA,1. Euclidean Distance | Distance; 2. Distance | Distance,1. Previous Crime Location | Binary,"1. Proportion of single-person households | Percentage; 2. Urban nature of the study area | Number; 3. Proportion of Single-Person Households | Percentage; 4. Number of Retail Stores | Number; 5. Number of Hotels Restaurants Bars | Number; 6. Number of Schools | Number; 7. Number of Culture, Health-Care, and Sports/Leisure Facilities | Number; 8. Number of People Working | Number; 9. Retail stores | Number; 10. Bars/nightlife | Number; 11. Schools | Number; 12. Culture, health-care, and sports/leisure facilities | Number; 13. Guardianship | Index; 14. Single-Person Households | Percentage; 15. Non-Western Background | Percentage; 16. Retail Stores | Number; 17. Hotels Restaurants Bars | Number; 18. Culture, Health-Care, and Sports/Leisure Facilities | Number; 19. People Working | Number","1. Population density | Number; 2. Proportion of single-person households | Percentage; 3. Proportion of residents with a non-Western background | Percentage; 4. Average population size | Number; 5. Urban nature of the study area | Number; 6. Ethnic diversity | Number; 7. Population Density | Distance; 8. Proportion of Single-Person Households | Percentage; 9. Proportion of Residents with a Non-Western Background | Percentage; 10. Number of Retail Stores | Number; 11. Number of Hotels Restaurants Bars | Number; 12. Number of Schools | Number; 13. Number of Culture, Health-Care, and Sports/Leisure Facilities | Number; 14. Number of People Working | Number; 15. Retail stores | Number; 16. Bars/nightlife | Number; 17. Schools | Number; 18. Culture, health-care, and sports/leisure facilities | Number; 19. Guardianship | Index; 20. Euclidean Distance | Distance; 21. Previous Crime Location | Binary; 22. Distance | Distance; 23. Single-Person Households | Percentage; 24. Non-Western Background | Percentage; 25. Retail Stores | Number; 26. Hotels Restaurants Bars | Number; 27. Culture, Health-Care, and Sports/Leisure Facilities | Number; 28. People Working | Number"
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,1. Age | Number; 2. Sex | Binary; 3. Population Size | Number; 4. Population Density | Distance; 5. Ethnic Heterogeneity | Percentage; 6. Land Use - Population Density | Number,1. Victim Suburb Weekly Income | Number; 2. Socio-Economic Index for Areas (SEIFA) | Index; 3. Median Weekly Income Bracket | Number,1. Residential Mobility Rates | Rate; 2. Physical Barriers - Swan River | Binary; 3. Physical Barriers - Major Roads | Binary,1. Total Residential Units | Distance; 2. Land Use - Suburb Size | Distance; 3. D ij | Distance,NA,1. Indigenous Status | Binary; 2. Connectors - Train Network | Binary; 3. W ij | Binary; 4. F ij | Binary; 5. T ij | Binary; 6. A i/J i | Binary; 7. pdf | Number; 8. 7% of identified cases were included in the final dataset | Percentage,1. Age | Number; 2. Indigenous Status | Binary; 3. Sex | Binary; 4. Population Size | Number; 5. Population Density | Distance; 6. Ethnic Heterogeneity | Percentage; 7. Residential Mobility Rates | Rate; 8. Total Residential Units | Distance; 9. Victim Suburb Weekly Income | Number; 10. Socio-Economic Index for Areas (SEIFA) | Index; 11. Median Weekly Income Bracket | Number; 12. Physical Barriers - Swan River | Binary; 13. Physical Barriers - Major Roads | Binary; 14. Connectors - Train Network | Binary; 15. Land Use - Suburb Size | Distance; 16. Land Use - Population Density | Number; 17. W ij | Binary; 18. F ij | Binary; 19. T ij | Binary; 20. D ij | Distance; 21. A i/J i | Binary; 22. pdf | Number; 23. 7% of identified cases were included in the final dataset | Percentage
Go where the money is: modeling street robbers' location choices,1. Total number of residents in the census block | Number; 2. Racial and ethnic composition of the population | Binary; 3. Age of offenders | Number; 4. Gender of offenders | Percentage; 5. Racial and ethnic background of offenders | Binary; 6. Racial and ethnic segregation | Binary; 7. Racial/Ethnic Composition | Number,NA,1. Land use and activities | Number,1. Accessibility of a block | Binary; 2. Euclidean Distance | Distance; 3. Accessibility Along Main Streets | Binary; 4. Proximity to El Stations | Binary; 5. Accessibility | Distance,NA,1. Presence of legal cash economies | Number; 2. Presence of illegal cash economies | Number; 3. Presence of high schools | Number; 4. Presence of El stations | Binary; 5. Social Barriers | Number; 6. Spatial Lags | Number; 7. pdf | Number,1. Total number of residents in the census block | Number; 2. Racial and ethnic composition of the population | Binary; 3. Age of offenders | Number; 4. Gender of offenders | Percentage; 5. Racial and ethnic background of offenders | Binary; 6. Presence of legal cash economies | Number; 7. Presence of illegal cash economies | Number; 8. Accessibility of a block | Binary; 9. Racial and ethnic segregation | Binary; 10. Presence of high schools | Number; 11. Presence of El stations | Binary; 12. Land use and activities | Number; 13. Euclidean Distance | Distance; 14. Accessibility Along Main Streets | Binary; 15. Proximity to El Stations | Binary; 16. Social Barriers | Number; 17. Accessibility | Distance; 18. Spatial Lags | Number; 19. Racial/Ethnic Composition | Number; 20. pdf | Number
Graffiti Writers Choose Locations That Optimize Exposure,NA,NA,1. Residential Units | Number,1. Bridges | Distance; 2. Intersections | Distance; 3. Betweenness | Distance,NA,1. Presence of Schools | Number; 2. Bars | Number; 3. Night Shops | Number; 4. Nightclubs | Number; 5. Restaurants | Number; 6. Schools | Number; 7. Trees | Number; 8. Broken Windows | Number; 9. Street Segment Type | Binary; 10. Street Segments | Number; 11. Trams and Buses | Number; 12. Type of Street Segment | Binary; 13. Presence of Bars | Binary; 14. Presence of Night Shops | Binary; 15. Presence of Nightclubs | Binary; 16. Presence of Restaurants | Binary; 17. Presence of Schools | Binary; 18. Presence of Trees | Binary,1. Presence of Schools | Number; 2. Residential Units | Number; 3. Bars | Number; 4. Night Shops | Number; 5. Nightclubs | Number; 6. Restaurants | Number; 7. Schools | Number; 8. Trees | Number; 9. Broken Windows | Number; 10. Street Segment Type | Binary; 11. Street Segments | Number; 12. Bridges | Distance; 13. Intersections | Distance; 14. Trams and Buses | Number; 15. Betweenness | Distance; 16. Type of Street Segment | Binary; 17. Presence of Bars | Binary; 18. Presence of Night Shops | Binary; 19. Presence of Nightclubs | Binary; 20. Presence of Restaurants | Binary; 21. Presence of Schools | Binary; 22. Presence of Trees | Binary
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,1. Age of Burglar | Number; 2. Ethnic Origin of Burglar | Number; 3. Ethnic Heterogeneity | Index; 4. Ethnic Origin of Burglar | Binary,1. Average Residential Real Estate Value | Percentage; 2. Real Estate Value | Percentage,1. Residential Mobility | Number; 2. Number of residential units | Number; 3. Residential Mobility | Rate; 4. Number of Residential Units | Number,1. Proximity to Offender's Home | Distance; 2. Proximity to City Centre | Distance; 3. Distance Between Neighbourhoods | Distance; 4. Proximity to Burglar's Home | Distance,NA,1. Percentage of single-family dwellings | Percentage,1. Residential Mobility | Number; 2. Age of Burglar | Number; 3. Ethnic Origin of Burglar | Number; 4. Average Residential Real Estate Value | Percentage; 5. Percentage of single-family dwellings | Percentage; 6. Number of residential units | Number; 7. Proximity to Offender's Home | Distance; 8. Proximity to City Centre | Distance; 9. Distance Between Neighbourhoods | Distance; 10. Proximity to Burglar's Home | Distance; 11. Ethnic Heterogeneity | Index; 12. Residential Mobility | Rate; 13. Real Estate Value | Percentage; 14. Number of Residential Units | Number; 15. Ethnic Origin of Burglar | Binary
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,NA,1. Percent lowly-rent houses | Percentage,NA,1. Offender Residence-Crime Proximity | Distance; 2. Residence-crime proximity | Distance,NA,1. Percent migrants | Percentage; 2. Number of people on the street | Number; 3. Fences | Percentage; 4. Walls | Percentage; 5. Windows | Percentage; 6. Grass | Percentage; 7. Sidewalks | Percentage; 8. Plants | Percentage; 9. Commercial interfaces | Percentage; 10. Shops facing the street | Number; 11. Buildings along the street | Number; 12. Streetlights | Number; 13. Surveillance cameras | Number; 14. Trees | Number; 15. Lawns | Number; 16. ATMs | Number; 17. Banks | Number; 18. Subway stations | Number; 19. Bus stops | Number; 20. Schools | Number; 21. Hospitals | Number; 22. Crime attractors | Number; 23. Crime generators | Rate; 24. Crime detractors | Number,1. Percent migrants | Percentage; 2. Number of people on the street | Number; 3. Percent lowly-rent houses | Percentage; 4. Fences | Percentage; 5. Walls | Percentage; 6. Windows | Percentage; 7. Grass | Percentage; 8. Sidewalks | Percentage; 9. Plants | Percentage; 10. Commercial interfaces | Percentage; 11. Shops facing the street | Number; 12. Buildings along the street | Number; 13. Streetlights | Number; 14. Surveillance cameras | Number; 15. Trees | Number; 16. Lawns | Number; 17. ATMs | Number; 18. Banks | Number; 19. Subway stations | Number; 20. Bus stops | Number; 21. Schools | Number; 22. Hospitals | Number; 23. Offender Residence-Crime Proximity | Distance; 24. Residence-crime proximity | Distance; 25. Crime attractors | Number; 26. Crime generators | Rate; 27. Crime detractors | Number
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,1. Population Turnover | Percentage; 2. Ethnic Diversity | Index; 3. Population Turnover | Number; 4. Ethnic diversity | Number; 5. Population turnover | Number; 6. Population Turnover | Rate,NA,1. Accessible residential properties | Number,1. Distance to city center | Distance; 2. Distance to Offender's Residence | Distance; 3. Distance to City Center | Distance; 4. Distance to Residence | Distance,1. Temporal Categories | Number,"1. Total Number of Households | Number; 2. Average House Price | Number; 3. Connectors (e.g., transit lines) | Number; 4. Barriers (e.g., wide rivers) | Number; 5. Street permeability | Number; 6. Higher altitude | Number; 7. Train stations | Number; 8. Total number of households | Number; 9. Average house price | Number; 10. Presence of Train Stations | Binary; 11. Presence of Bus Stations | Binary","1. Population Turnover | Percentage; 2. Ethnic Diversity | Index; 3. Total Number of Households | Number; 4. Average House Price | Number; 5. Population Turnover | Number; 6. Accessible residential properties | Number; 7. Connectors (e.g., transit lines) | Number; 8. Barriers (e.g., wide rivers) | Number; 9. Street permeability | Number; 10. Higher altitude | Number; 11. Train stations | Number; 12. Total number of households | Number; 13. Average house price | Number; 14. Ethnic diversity | Number; 15. Population turnover | Number; 16. Distance to city center | Distance; 17. Distance to Offender's Residence | Distance; 18. Distance to City Center | Distance; 19. Presence of Train Stations | Binary; 20. Presence of Bus Stations | Binary; 21. Temporal Categories | Number; 22. Distance to Residence | Distance; 23. Population Turnover | Rate"
Location Choice of Snatching Offenders in Chennai City,1. Population size | Number; 2. Average population per ward | Number; 3. Age structure of offenders | Number; 4. Gender ratio of offenders | Percentage; 5. Ward Population | Number,NA,NA,1. Home-to-crime distance | Distance; 2. Journey to crime | Distance; 3. Distance to ward centroids | Distance; 4. Transport hubs | Number; 5. Public transport usage | Percentage,NA,"1. Retail businesses | Percentage; 2. Religious facilities (temples, churches, mosques) | Percentage; 3. Educational institutions (schools, colleges) | Percentage; 4. Marriage halls | Percentage; 5. Jewelry shops | Number; 6. Personal care facilities (barbershops, beauty parlors) | Number; 7. Restaurants | Number; 8. Medical facilities (hospitals, medical services) | Number; 9. Ward Area | Percentage; 10. 6 million | Number","1. Population size | Number; 2. Average population per ward | Number; 3. Age structure of offenders | Number; 4. Gender ratio of offenders | Percentage; 5. Retail businesses | Percentage; 6. Religious facilities (temples, churches, mosques) | Percentage; 7. Educational institutions (schools, colleges) | Percentage; 8. Marriage halls | Percentage; 9. Jewelry shops | Number; 10. Personal care facilities (barbershops, beauty parlors) | Number; 11. Restaurants | Number; 12. Medical facilities (hospitals, medical services) | Number; 13. Home-to-crime distance | Distance; 14. Journey to crime | Distance; 15. Distance to ward centroids | Distance; 16. Transport hubs | Number; 17. Public transport usage | Percentage; 18. Ward Area | Percentage; 19. Ward Population | Number; 20. 6 million | Number"
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,1. Number of Residents | Number; 2. Age Composition | Percentage; 3. Ethnic Composition | Percentage; 4. Ethnic composition of population in postal code areas | Percentage,NA,1. Number of Residential Properties | Number; 2. Residential Units | Number; 3. Physical Barriers | Number; 4. Number of residential units in postal code areas | Number,1. Euclidean Distance | Distance; 2. Journey-to-Crime Distance | Distance; 3. Home-to-Target Distance | Distance; 4. Distance between burglar's home and target address | Distance,NA,1. Average Value of Properties | Number; 2. Spatial Competition | Percentage; 3. Spatial Competition Variable | Number; 4. Spatial competition variable | Number,1. Number of Residents | Number; 2. Age Composition | Percentage; 3. Ethnic Composition | Percentage; 4. Average Value of Properties | Number; 5. Number of Residential Properties | Number; 6. Residential Units | Number; 7. Spatial Competition | Percentage; 8. Euclidean Distance | Distance; 9. Physical Barriers | Number; 10. Journey-to-Crime Distance | Distance; 11. Spatial Competition Variable | Number; 12. Home-to-Target Distance | Distance; 13. Distance between burglar's home and target address | Distance; 14. Number of residential units in postal code areas | Number; 15. Ethnic composition of population in postal code areas | Percentage; 16. Spatial competition variable | Number
Modelling taste heterogeneity regarding offence location choices,1. Ethnic heterogeneity | Index; 2. Gender | Binary; 3. Age group | Binary,NA,1. Residential Churn | Index,1. Distance from the offender's home | Distance; 2. Distance from the city centre | Distance; 3. Road network data | Distance,NA,1. Affluence | Number; 2. Number of potential targets | Number,1. Ethnic heterogeneity | Index; 2. Residential Churn | Index; 3. Gender | Binary; 4. Age group | Binary; 5. Affluence | Number; 6. Number of potential targets | Number; 7. Distance from the offender's home | Distance; 8. Distance from the city centre | Distance; 9. Road network data | Distance
Modelling the spatial decision making of terrorists: the discrete choice approach,NA,NA,1. Residential segregation | Percentage,1. Home-to-crime distance | Distance; 2. Distance to city center | Distance; 3. Euclidean distance | Distance; 4. Ghosh distance | Distance,NA,1. Number of PIRA members | Number; 2. Recognition as strangers | Binary; 3. Major Road | Binary; 4. Police Station | Binary; 5. Military Base | Binary; 6. River | Binary; 7. Major thoroughfares | Binary; 8. River as barrier | Binary,1. Number of PIRA members | Number; 2. Residential segregation | Percentage; 3. Recognition as strangers | Binary; 4. Major Road | Binary; 5. Police Station | Binary; 6. Military Base | Binary; 7. River | Binary; 8. Home-to-crime distance | Distance; 9. Distance to city center | Distance; 10. Euclidean distance | Distance; 11. Ghosh distance | Distance; 12. Major thoroughfares | Binary; 13. River as barrier | Binary
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,1. Population Density | Distance; 2. Household Size/Composition | Number; 3. Demographic Characteristics of Offenders | Number,NA,NA,1. Median Nearest Neighbor Distance | Distance,1. Prior crimes | Number; 2. Temporal Filter | Number; 3. Recency of Prior Crimes | Number,1. Number of dwellings | Number; 2. Total number of business units | Number; 3. Number of business units in industry categories | Number; 4. Number of business units in commercial or public industries | Number; 5. Schools | Number; 6. Spatial Unit | Number; 7. Opportunity | Number; 8. 1007/ s11896-022-09540-8 | Number,1. Population Density | Distance; 2. Household Size/Composition | Number; 3. Demographic Characteristics of Offenders | Number; 4. Number of dwellings | Number; 5. Total number of business units | Number; 6. Number of business units in industry categories | Number; 7. Number of business units in commercial or public industries | Number; 8. Schools | Number; 9. Prior crimes | Number; 10. Median Nearest Neighbor Distance | Distance; 11. Temporal Filter | Number; 12. Recency of Prior Crimes | Number; 13. Spatial Unit | Number; 14. Opportunity | Number; 15. 1007/ s11896-022-09540-8 | Number
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,1. Percentage of Black Residents | Percentage; 2. Percentage of Latino Residents | Percentage; 3. Percentage of Residents Below Poverty | Percentage; 4. Racial/Ethnic Heterogeneity | Number,1. Median Income | Number,1. Residential Stability | Percentage; 2. Residential Instability | Number,1. Home-to-crime distance | Distance; 2. Euclidean distance | Distance; 3. Distance squared | Distance; 4. Distance Squared | Distance; 5. Centering of Distance Measures | Distance,NA,1. Single-Parent Households | Percentage; 2. Social Disorganization | Index; 3. Social Cohesion | Index; 4. Concentrated Disadvantage Index | Rate; 5. Median Home Value | Number; 6. Percentage of Unemployed | Percentage; 7. Percentage of Occupied Units | Percentage; 8. Routine Activities | Number; 9. Social Cohesion | Number; 10. Anonymity | Number; 11. Normalization of Data | Number; 12. Series of Models | Number,1. Residential Stability | Percentage; 2. Single-Parent Households | Percentage; 3. Percentage of Black Residents | Percentage; 4. Percentage of Latino Residents | Percentage; 5. Social Disorganization | Index; 6. Social Cohesion | Index; 7. Concentrated Disadvantage Index | Rate; 8. Median Income | Number; 9. Median Home Value | Number; 10. Percentage of Residents Below Poverty | Percentage; 11. Percentage of Unemployed | Percentage; 12. Percentage of Occupied Units | Percentage; 13. Routine Activities | Number; 14. Social Cohesion | Number; 15. Residential Instability | Number; 16. Racial/Ethnic Heterogeneity | Number; 17. Anonymity | Number; 18. Home-to-crime distance | Distance; 19. Euclidean distance | Distance; 20. Distance squared | Distance; 21. Normalization of Data | Number; 22. Distance Squared | Distance; 23. Centering of Distance Measures | Distance; 24. Series of Models | Number
Residential burglary target selection: An analysis at the property-level using Google Street View,NA,1. Wealth | Distance,NA,1. Surveillability | Distance; 2. Accessibility | Distance; 3. Ease of Escape | Distance; 4. Distance to nearest main road | Distance; 5. Distance to nearest street corner | Distance,NA,1. Collective Efficacy | Number; 2. Social Trust | Number; 3. Informal Social Control | Number; 4. Number of escape routes | Number; 5. Property at end of row | Binary; 6. Number of boundaries shared with public areas | Number; 7. Property setback from street | Binary; 8. Presence of business | Binary; 9. Mixed land-use | Binary; 10. House type | Binary; 11. Fixed effects analysis | Number; 12. 1016/j.apgeog.2017.06.014 | Number,1. Collective Efficacy | Number; 2. Social Trust | Number; 3. Informal Social Control | Number; 4. Wealth | Distance; 5. Surveillability | Distance; 6. Accessibility | Distance; 7. Ease of Escape | Distance; 8. Distance to nearest main road | Distance; 9. Distance to nearest street corner | Distance; 10. Number of escape routes | Number; 11. Property at end of row | Binary; 12. Number of boundaries shared with public areas | Number; 13. Property setback from street | Binary; 14. Presence of business | Binary; 15. Mixed land-use | Binary; 16. House type | Binary; 17. Fixed effects analysis | Number; 18. 1016/j.apgeog.2017.06.014 | Number
"Right place, right time? Making crime pattern theory time-specific",NA,NA,1. Home occupancy in residential neighbourhoods | Number,1. Spatial Lags | Distance; 2. Neighbourhood Proximity | Distance,1. Neighbourhood routinely visited at same time of day as crime event | Binary; 2. Neighbourhood routinely visited at different time of day as crime event | Binary; 3. Time of day | Binary,1. Number of cars parked on a parking lot | Number; 2. Presence of locks and escape routes | Number; 3. Residences | Number; 4. Schools | Number; 5. Jobs | Number; 6. Sports activities | Number; 7. Shopping | Number; 8. Going out | Number; 9. Neighbourhoods of offenders' activity nodes | Number; 10. Geocoded Neighbourhoods | Number; 11. Crime committed in neighbourhood | Binary; 12. Pseudo-R 2 | Number,1. Home occupancy in residential neighbourhoods | Number; 2. Number of cars parked on a parking lot | Number; 3. Presence of locks and escape routes | Number; 4. Residences | Number; 5. Schools | Number; 6. Jobs | Number; 7. Sports activities | Number; 8. Shopping | Number; 9. Going out | Number; 10. Neighbourhoods of offenders' activity nodes | Number; 11. Spatial Lags | Distance; 12. Neighbourhood Proximity | Distance; 13. Geocoded Neighbourhoods | Number; 14. Neighbourhood routinely visited at same time of day as crime event | Binary; 15. Neighbourhood routinely visited at different time of day as crime event | Binary; 16. Time of day | Binary; 17. Crime committed in neighbourhood | Binary; 18. Pseudo-R 2 | Number
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,1. Ethnic-heterogeneity | Index; 2. Population turnover | Number; 3. Ethnic heterogeneity | Index,NA,1. Residential mobility | Index,1. Estimated Travel Time | Number; 2. Euclidean Distance | Distance; 3. Network Distance | Distance; 4. Pedestrian Travel Time | Number; 5. Vehicular Travel Time | Number,NA,1. Socioeconomic heterogeneity | Index; 2. Affluence | Number; 3. Ambient Guardianship | Number; 4. Movement Potential | Number; 5. Through Movement | Number; 6. Activity Nodes | Number; 7. Road Network Configuration | Percentage; 8. Idiosyncratic Farness | Number; 9. Closeness Centrality | Number; 10. Number of dwellings | Number,1. Ethnic-heterogeneity | Index; 2. Socioeconomic heterogeneity | Index; 3. Population turnover | Number; 4. Residential mobility | Index; 5. Affluence | Number; 6. Ambient Guardianship | Number; 7. Movement Potential | Number; 8. Through Movement | Number; 9. Activity Nodes | Number; 10. Estimated Travel Time | Number; 11. Euclidean Distance | Distance; 12. Network Distance | Distance; 13. Road Network Configuration | Percentage; 14. Idiosyncratic Farness | Number; 15. Closeness Centrality | Number; 16. Pedestrian Travel Time | Number; 17. Vehicular Travel Time | Number; 18. Ethnic heterogeneity | Index; 19. Number of dwellings | Number
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,1. Population Density | Number; 2. Ethnic Heterogeneity | Index; 3. Population Turnover | Percentage; 4. Population density | Number; 5. Ethnic heterogeneity | Index; 6. Racial/Ethnic Heterogeneity | Index,1. Poverty | Percentage,NA,1. Pedestrian-Oriented Street Density | Distance; 2. Auto-Oriented Street Density | Distance; 3. Auto-oriented street density | Distance; 4. Pedestrian-oriented street density | Distance,1. Spatial Lag Operator | Number,1. Schools | Number; 2. Bars | Number; 3. Transit Stations | Number; 4. Shopping Centers | Number; 5. Solo Crime Rate | Rate,1. Population Density | Number; 2. Ethnic Heterogeneity | Index; 3. Population Turnover | Percentage; 4. Schools | Number; 5. Poverty | Percentage; 6. Population density | Number; 7. Ethnic heterogeneity | Index; 8. Bars | Number; 9. Transit Stations | Number; 10. Shopping Centers | Number; 11. Pedestrian-Oriented Street Density | Distance; 12. Auto-Oriented Street Density | Distance; 13. Auto-oriented street density | Distance; 14. Pedestrian-oriented street density | Distance; 15. Spatial Lag Operator | Number; 16. Solo Crime Rate | Rate; 17. Racial/Ethnic Heterogeneity | Index
Spatial analysis with preference specification of latent decision makers for criminal event prediction,NA,NA,1. FAM.DENSITY | Density,1. D.HIGHWAY | Distance; 2. D.HOSPITAL | Distance; 3. Distance Values | Distance,1. Time | Number,1. P.CARE.PH | Number; 2. Location | Number; 3. Census Data | Number,1. P.CARE.PH | Number; 2. FAM.DENSITY | Density; 3. D.HIGHWAY | Distance; 4. D.HOSPITAL | Distance; 5. Time | Number; 6. Location | Number; 7. Census Data | Number; 8. Distance Values | Distance
