Title,Authors,DOI,DOI link,Venue,Citation count,Year,study area size,"Supporting quotes for ""study area size""","Supporting  tables for ""study area size""","Reasoning for ""study area size"""
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,"Wim Bernasco, Paul Nieuwbeerta, Richard Block, Henk Elffers, Jan De Keijser, Jasper Van Der Kemp, Peter Van Koppen",-,-,,362,2005,57.85 km²,"  - ""The Hague is situated at the coast of the North Sea. With a population of about 440,000, it is the third largest city in the Netherlands.""
  - ""the city of The Hague, the Netherlands, in the period 1996-2001.""
  - ""The geometric positions of the 89 residential neighbourhoods are displayed in Figure 1""
  - ""The average neighbourhood has a surface of 0.65 square kilometres, is home to 4,952 residents and contains 2,380 residential units (DSO 2001).""
  - ""The Hague comprises 89 residential neighbourhoods.""",,"- The paper mentions that The Hague comprises 89 residential neighborhoods, which are the spatial units used in the study.
- The average size of each neighborhood is given as 0.65 square kilometers.
- To calculate the total study area size, we can multiply the number of neighborhoods by the average size of each neighborhood: 89 neighborhoods * 0.65 km²/neighborhood = 57.85 km².
- The paper does not provide a direct statement of the total study area size, but the information about the number of neighborhoods and their average size allows us to calculate it."
Co-offending and the Choice of Target Areas in Burglary,Wim Bernasco,-,-,-,-,-,58.85 km²,"  - ""The average neighbourhood has an area of 0.65 square kilometres, is the home to 4952 residents and contains 2380 residential units.""
  - ""The Hague comprises of 89 residential neighbourhoods.""",,"- The paper mentions that The Hague is divided into 89 residential neighborhoods, which are the spatial units used in the study.
- The average size of each neighborhood is given as 0.65 square kilometers.
- To calculate the total study area size, we can multiply the number of neighborhoods by the average size of each neighborhood: 89 neighborhoods * 0.65 km²/neighborhood."
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,"Wim Bernasco, Shane D Johnson",-,-,,88,2015,Not mentioned (the paper does not provide the total study area size or enough information to calculate it),"  - ""LSOAs are defined on the basis of proximity and social homogeneity measures (type of dwelling and nature of tenure) and have a population of approximately 1,500 residents and 600 households.""
  - ""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""
  - ""The concept of crime location choice presumes spatial units of analysis, which are the alternative locations that burglars choose from when deciding on where to commit a burglary.""
  - ""Data were acquired for all detected residential burglaries committed between January 2007 and December 2012 in the West Midlands, a large metropolitan UK police force""",,"- The study area is described as the West Midlands, a large metropolitan UK police force, but no specific total area size is provided.
- The study uses Lower Level Super Output Areas (LSOAs) as the basic spatial unit of analysis.
- Each LSOA has a population of approximately 1,500 residents and 600 households, but no specific area size is mentioned for these units.
- The total number of LSOAs in the study area is 1,687.
- Without the average size of an LSOA or the total area covered by these units, we cannot calculate the total study area size."
Burglar Target Selection: A Crossnational Comparison,"Michael Townsley, Daniel Birks, Wim Bernasco, Stijn Ruiter, Shane D Johnson,  Gentry White, Scott Baum",-,-,Journal of research in crime and delinquency,60,2015,Not mentioned (the paper does not provide information on the total study area size or components necessary to calculate it),"  - ""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region.""
  - ""The discrete spatial choice approach required the collection of three core data sets for each study region: (1) alternatives-the choice set of geographical spatial units (e.g., neighborhoods and suburbs) in which offenders may choose to offend; (2) choosers-charged residential burglary offenders who resided and committed burglaries within the study region in the study time frame; and (3) choices-cleared offense data comprising the locations (alternatives) where offenders (choosers) chose to offend.""
  - ""The Hague, Birmingham, and Brisbane can be characterized as having relatively high (3,652 households per km 2 ), medium (1,513 households per km 2 ), and low (299 households per km 2 ) target densities, respectively.""",,"- The paper does not provide a direct statement of the total study area size in square kilometers.
- The study regions are described in terms of target density (households per km²) rather than total area size.
- The paper mentions the use of specific spatial units (neighborhoods, Super Output Areas, Statistical Local Areas) but does not provide the total number of these units or their average size.
- The focus is on the density of targets rather than the physical size of the study areas.
- Without explicit information on the total number of spatial units or their average size, it is not possible to calculate the total study area size."
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,"Michael J Frith, Shane D Johnson, Hannah M Fry",-,-,CrimRxiv,63,2017,150 km²,"  - ""The resulting study area covers a geography of approximately 150 km 2 and includes 81,682 dwellings situated on 5,286 street segments.""
  - ""The study area was defined by identifying the ""built-up areas"" of the three towns and by applying a 1-km buffer around them (for a map of the study area, see appendix A in the online supporting information 1""",,"- The paper explicitly states that the ""resulting study area covers a geography of approximately 150 km²,"" which directly provides the total study area size.
- This information is found in the section describing the study area and geography, which is one of the specified search sections."
Modelling taste heterogeneity regarding offence location choices,Michael J Frith,-,-,Journal of Choice Modeling,13,2019,270km²,"  - ""the choice set is restricted to the city of York (UK).""
  - ""the alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""",,"- The paper explicitly states that the study area is the city of York (UK), which covers approximately 270km². This directly provides the total study area size.
- The mention of the study area being restricted to the city of York (UK) further confirms that the total study area size is indeed 270km².
- The paper does not provide additional information on the number of spatial units or their average size, as it directly states the total area of the study region."
Graffiti Writers Choose Locations That Optimize Exposure,"K Kuralarasan, Wim Bernasco, Christophe Vandeviver",-,-,Crime &amp; Delinquency,1,2024,Not mentioned (the paper does not provide a specific total study area size or components to calculate it),"  - ""The study area does not have transit lines other than the trams and buses on the streets, and we haven't observed graffiti along railway tracks or on trains.""
  - ""In our study, we analyze graffiti instances in Ghent, Belgium. 1 To ensure practicality in the scope of our observations while still focusing on areas with a high incidence of graffiti, we restricted our study area to the city center of Ghent.""
  - ""Our final dataset includes information from 2,233 street segments from the original 2,392. A total of 159 segments were not observed for various reasons and were excluded from the analysis""
  - ""Figure A2 provides a map of the street segments in the city center of Ghent, distinguishing these three types of segments.""
  - ""The observation focused only on the street segments of Ghent city center.""",,"- The study area is described as the city center of Ghent, Belgium, which suggests a focus on a specific part of the city rather than the entire metropolitan area.
- The study involves analyzing graffiti instances across 2,233 street segments, which were part of an original 2,392 segments before exclusions.
- The paper does not provide a direct measurement of the total study area size in square kilometers or any other unit of measurement.
- There is no information provided about the average or typical size of a street segment in Ghent, nor is there a direct calculation of the total study area size based on the number of street segments.
- The study area is limited to the city center, but no specific boundaries or total area size are mentioned."
Modelling the spatial decision making of terrorists: the discrete choice approach,-,-,-,Applied Geography,21,2019,Not mentioned (the paper does not provide the total study area size in square kilometers or any components to calculate it),"  - ""Belfast is the capital and largest city of Northern Ireland and is on the flood plain of the River Lagan.""
  - ""Since 2011, Northern Ireland has been divided into 4537 'Small Areas' (hereafter, SAs), which are currently the smallest areal unit.""
  - ""The geographical boundary data for the SAs was obtained from the Northern Ireland Statistics and Research Agency (NISRA).""
  - ""The final offence and offender datasets comprised 150 attacks by 127 PIRA members within Belfast.""
  - ""The datasets were created using parts of an existing dataset previously used for a social network analysis of PIRA's active core members (Gill et al., 2014), as well as additional data obtained from The Irish Times newspaper archives.""
  - ""The location of each attack was geocoded to the corresponding SA.""
  - ""A direct link had to be made with the member of PIRA who committed the attack, whose home address at the time of the attack was known, to qualify for inclusion.""
  - ""Cases were removed from the dataset if an accurate home location could not be ascertained.""
  - ""Cases were also removed if the home location of the perpetrator was outside of the study area, in line with previous studies (Bernasco & Luykx, 2003; Bernasco, 2006Bernasco, , 2010;;Bernasco & Block, 2009, 2011;Clare et al., 2009;Bernasco et al., 2013), as the model requires all alternatives in the choice set to be computed.""",,"- The study area is described as Belfast, which is the capital and largest city of Northern Ireland.
- The city is divided into ""Small Areas"" (SAs), which are the smallest areal units used in the study.
- The total number of SAs in Northern Ireland is 4537, but the study focuses on Belfast, which has a total of 890 SAs.
- The study does not provide the average or typical size of these SAs, nor does it explicitly state the total area covered by these SAs.
- The study area size is not directly mentioned in terms of square kilometers, but we can infer that the study area is confined to the city of Belfast, which is divided into 890 SAs."
Spatial analysis with preference specification of latent decision makers for criminal event prediction,"Yifei Xue, Donald E Brown",-,-,Decision Support Systems,66,2006,Not mentioned (the paper does not provide a direct measurement of the total study area size),"  - ""The sub regions shown in Fig. 1 are block groups, which are the smallest areas, for which census counts are recorded.""
  - ""The data for model evaluation came from the Regional Crime Analysis Program (ReCAP). ReCap was created as a cooperative project between local police departments in Northern and Central Virginia and the researchers in the University of Virginia.""
  - ""We extracted the Residential bBreaking and Enter-ingQ (B & E) criminal incidents between July 1, 1997 and October 31, 1997 in the city of Richmond, VA for model estimation and validation.""
  - ""The specific data set used for evaluating this work came from the criminal incident reporting mainframe system (RAMS). It is the data set used by the police department in Richmond, VA.""
  - ""we aggregated alternatives using 2517 regular grids, which were assumed to be fine enough to represent all spatial alternatives within this area.""",,"- The study area is described as the city of Richmond, VA, which is part of the larger Regional Crime Analysis Program (ReCAP) covering Northern and Central Virginia.
- The data used for the study comes from the Richmond Police Department's criminal incident reporting system, indicating that the focus is on Richmond.
- The study uses block groups as the smallest spatial units, which are typically used for census data collection.
- The study area is further divided into 2517 regular grids, which are used to represent all spatial alternatives within the area.
- However, the paper does not provide a direct measurement of the total study area size in square kilometers or any other unit of measurement."
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,"Wim Bernasco, Stijn Ruiter, Richard Block",-,-,-,-,-,"Total number of census blocks: 24,594
Median size of each block: 19,680 m² = 0.01968 km²
Total study area size: 24,594 blocks * 0.01968 km²/block ≈ 483.93 km²","  - ""The spatial units of analysis are census blocks.""
  - ""About 98.5 percent of these addresses were successfully geocoded and assigned to 1 of the 24,594 census blocks in the city of Chicago.""
  - ""all census blocks are included in the analyses.""
  - ""The analysis is limited to cleared robberies because only for cleared robberies offender addresses are available, and distance from the offender home location is by far the most important predictive factor in crime location choice""",,"- The study area is described in terms of census blocks, which are the spatial units of analysis.
- The total number of census blocks in the study area is given as 24,594.
- The median size of each census block is provided as approximately 19,680 m².
- To calculate the total study area size, we need to multiply the total number of census blocks by the average size of each block.
- The median size is used as a proxy for the average size since the exact average size is not provided.
- The calculation involves converting the median size from square meters to square kilometers and then multiplying by the total number of blocks."
Go where the money is: modeling street robbers' location choices,"Wim Bernasco, Richard Block, Stijn Ruiter",-,-,-,-,-,483.62 km²,"  - ""The 142 blocks that had no land were excluded from the analysis.""
  - ""The remaining 24,594 blocks have a median size of 19,680 m 2 ($140 m Â 140 m).""
  - ""In 2000 there were 24,594 census blocks in Chicago from which a robber chooses a single one when committing a robbery.""
  - ""In Chicago, with an average surface of 140 m Â 140 m (460 ftÂ 460 ft) and an average population of 118 residents, census blocks are approximately 30 times smaller than census tracts.""",,"- The paper provides the average size of a census block in Chicago as 140 m x 140 m, which translates to 19,680 m².
- The total number of census blocks in Chicago is given as 24,594.
- To calculate the total study area size, we need to multiply the average size of a census block by the total number of blocks.
- The average size of a census block is 19,680 m², and there are 24,594 blocks.
- Therefore, the total study area size can be calculated as 19,680 m² * 24,594 = approximately 483,619,200 m².
- To convert square meters to square kilometers, we divide by 1,000,000 (since 1 km² = 1,000,000 m²).
- So, the total study area size in square kilometers is approximately 483,619,200 m² / 1,000,000 = 483.62 km²."
The usefulness of past crime data as an attractiveness index for residential burglars,"Aiko Hanayama, | Shumpei Haginoya, Hiroki Kuraishi, Masakazu Kobayashi",-,-,,5,2018,283.5 km²,"  - ""The size of grid cells is 500 m on a one side and comes with specified longitude and latitude data.""
  - ""Ultimately, we used 1,134 grid cells as the study area.""
  - ""Using the grid cell method described earlier, we narrowed down the study area to covering the area not flooded during the Great East Japan Earthquake and Tsunami on March 11, 2011 (Pasco, 2011) because the tsunami may have changed the environment.""",,"- The total area of Sendai City is mentioned as approximately 786 km², which provides a context for the city's size.
- The study area was narrowed down to exclude areas flooded by the tsunami, but the exact area of the study region is not explicitly stated.
- The study used 1,134 grid cells, each with a size of 500 m on one side, which can be used to calculate the total study area size.
- To calculate the total study area size, we need to calculate the area of one grid cell and then multiply it by the total number of grid cells. The area of one grid cell is 500 m * 500 m = 250,000 m² or 0.25 km².
- Multiplying the area of one grid cell by the total number of grid cells gives us the total study area size: 0.25 km² * 1,134 grid cells = 283.5 km²."
Adolescent offenders' current whereabouts predict locations of their future crimes,Wim Bernasco,-,-,PLoS ONE,21,2019,Not mentioned (the paper does not provide information on the size of the study area),"  - ""The Study of Peers, Activities and Neighborhoods (SPAN) is a two-wave panel study among adolescents in The Hague, the Netherlands, and its suburbs.""
  - ""The study included a selfreport questionnaire and a personal space-time budget interview, both of which were administered at the schools that the respondents attended.""",,"- The paper does not provide explicit information about the size of the study area in terms of square kilometers or any other unit of measurement.
- The study is described as being conducted in The Hague, the Netherlands, and its suburbs, but no specific boundaries or size are mentioned.
- The focus of the study is on the mobility patterns of adolescents and their future crime locations, rather than on the geographical size of the study area.
- Since the paper does not provide any direct or indirect information about the size of the study area, it is not possible to calculate or infer the total study area size."
Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,"Wim Bernasco, Scott Jacques",-,-,,26,2015,Not mentioned (the paper does not provide a specific area size for the study region),"  - ""The 1012 postal code includes as a subarea the Amsterdam Red Light District (""De Wallen""), a network of small streets and alleys with a heavy concentration of legal indoors prostitution services, totaling approximately 370 ""windows"" where prostitutes openly advertise their services.""
  - ""the 1012 postal code was chosen as the study area; its street layout is displayed in Figure 1""
  - ""Systematic observation requires that the area be partitioned into spatial units. In line with recent work that advocates the use of small spatial units of analysis (Oberwittler & Wikström, 2009;Weisburd, Groff, & Yang, 2012) and translating it into practical guidelines, 262 street segments were identified in the study area, of which 49 are located in the Red Light District.""
  - ""The average length of the 262 street segments is 103 meters (SD = 65 m, minimum = 16 m, maximum = 425 m).""
  - ""The city of Amsterdam, the Netherlands, had a population of 780,500 in 2011 (www. os.amsterdam.nl).""
  - ""Amsterdam is divided into eight administrative boroughs or districts. One of them is situated at the heart of the city and is aptly called Centrum. It is one of the most dangerous and disorderly areas in Amsterdam as measured by police crime statistics and residents' perceptions (Lindeman et al., 2005).""
  - ""Centrum is divided into postal codes. The center of Centrum is the 1012 postal code.""",,"- The study area is specifically identified as the 1012 postal code in Amsterdam, which includes the Red Light District.
- The study area is partitioned into 262 street segments, with an average length of 103 meters.
- The total area of the study region is not explicitly stated in terms of square kilometers, but we can estimate it using the number of street segments and their average length.
- To calculate the total area, we need to convert the average length of the street segments into a measure of area. However, without the width of these segments, we cannot directly calculate the area.
- The paper does not provide a direct conversion or a specific area size for the study region, nor does it provide the width of the street segments to calculate the area.
- The paper mentions the population and administrative divisions of Amsterdam but does not provide specific area sizes for these divisions."
Discrete choice analysis of spatial attack sites,"Michael A Smith, Ae D E Brown, Donald E Brown",-,-,Inf. Syst. E Bus. Manag.,16,2007,158.91135 km²,"  - ""The north-south inter-centroid spacing is 170 m, the east-west inter-centroid spacing is 191 m.""
  - ""The remaining 4,895 centroids constitute the choice set.""
  - ""A spatial intersection operation was then performed to remove those grid cells falling wholly outside the city limits.""
  - ""The smallest rectangle that would wholly circumscribe the boundaries of the City of Richmond was the extents of a grid with 100 rows and 100 columns.""",,"- The study area is described as the City of Richmond, with a grid system used to define the spatial units.
- The grid has 100 rows and 100 columns, but some cells are excluded because they fall outside the city limits, leaving 4,895 centroids.
- The spacing between centroids is given as 170 meters north-south and 191 meters east-west.
- To calculate the total study area size, we need to calculate the area of the grid cells that are included in the analysis.
- The area of each grid cell can be calculated as the product of the north-south and east-west spacings: 170 meters * 191 meters = 32,470 square meters.
- Since there are 4,895 centroids, we assume each centroid represents a grid cell, so the total area is 4,895 * 32,470 square meters.
- Converting square meters to square kilometers: 4,895 * 32,470 square meters = 158,911,350 square meters / 1,000,000 = 158.91135 square kilometers."
Residential burglary target selection: An analysis at the property-level using Google Street View,"Samuel H Langton, Wouter Steenbeek",-,-,,40,2017,Not mentioned (no information on the total study area size is included in the paper),"  - ""The neighbourhoods of The Hague that were used in this study are exhibited in Fig. 1 , along with a single demonstrative neighbourhood to visualise the case-control design, using synthetic crime data.""
  - ""The present study followed suit, and consequently only burglary events within the remaining 86 neighbourhoods were kept in the data.""
  - ""the study considers whether the effects of these property-level attributes vary depending on the neighbourhood in which residences are nested.""
  - ""the final sample used for analysis therefore consisted of 300 single houses, evenly split between burglarised and non-burglarised dwellings.""
  - ""The total sample is split between the 'treatment' group of observations, suffering from the disease of interest, and the 'control' group, which are free of the disease.""",,"- The study is conducted in the city of The Hague, focusing on single houses.
- The total sample size is 300 single houses, but this does not directly indicate the total study area size.
- The study involves 86 neighbourhoods, but there is no information on the size of these neighbourhoods or the total area they cover.
- There is no explicit mention of the total study area size in terms of square kilometers or any other unit of measurement.
- The paper does not provide enough information to calculate the total study area size based on the number of spatial units and their average size."
