Title,Authors,DOI,DOI link,Venue,Citation count,Year,study area size,"Supporting quotes for ""study area size""","Supporting  tables for ""study area size""","Reasoning for ""study area size"""
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,"Alyssa W Chamberlain, Lyndsay N Boggess, Taylor Fisher",-,-,Crime and delinquency,3,2022,Not specified (the paper does not provide a direct measurement of the study area size in square kilometers or any other unit),"  - ""We use data from the Tampa, Florida between January 2000 and September 2012.""
  - ""The city police department provided data for all arrests for burglaries over a 13-year period of time, totaling 7,124 burglary incidents corresponding to 9,288 unique suspects.""
  - ""We geocoded the incident and home addresses using ArcGIS 10.6.""
  - ""We exclude incidents with an unknown or incorrect address, addresses listing a P.O. box or correctional facility, as well as incidents where the suspect lives outside of the city boundaries.""
  - ""The final sample includes 4,920 burglary arrests nested in 6,165 suspects.""
  - ""To assess the potential influence of neighborhood characteristics on burglary decision making, we include demographic and economic data from the US Census for all 334 block groups in the city.""
  - ""However, a handful of block groups were removed due to missing data on some Census variables, leaving the total number of neighborhoods analyzed at 304.""",,"- The study is conducted in Tampa, Florida, as indicated by the use of data from this city.
- The study uses data from the city police department, which suggests that the study area is confined to the city limits.
- The use of ArcGIS for geocoding addresses implies that the study area is defined by geographic boundaries within the city.
- The exclusion of incidents outside city boundaries further supports that the study area is limited to the city of Tampa.
- The mention of 334 block groups and the subsequent analysis of 304 neighborhoods suggests that the study area is divided into these geographic units.
- However, the paper does not provide a direct measurement of the study area size in square kilometers or any other unit."
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,"Liang Cai, Guangwen Song, Yanji Zhang",-,-,-,-,-,"Total Study Area Size: Approximately 1,583km²
Study Area Description: Central urban area of ZG city
Area Calculation Method: Calculated from community count and average size
Area Source: Author calculation from community data
Alternative Size Info: 1,652 communities, 0.958km² average unit size
Context Notes: Excludes communities without street view images","  - ""We focus on the central urban area of the city where the majority of population reside and commute and where street view images are available.""
  - ""We use communities (juweihui or cunweihui) as the unit of analysis. Communities are the smallest administrative unit where population census and major survey data are collected.""",,"- The study focuses on the city of ZG in southeast China, specifically the central urban area where most of the population resides and commutes.
- The unit of analysis is communities (juweihui or cunweihui), which are the smallest administrative units for census and survey data.
- The total number of communities in the ZG region is 2,643, with an average geographic area of 2.813km².
- After excluding communities without street view images, the analytical sample consists of 1,652 communities with an average size of 0.958km².
- To calculate the total study area size, we can multiply the number of communities in the analytical sample by their average size: 1,652 communities * 0.958km²/community = approximately 1,583km²."
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,"Sophie Curtis-Ham, Wim Bernasco, Oleg N Medvedev, Devon L L Polaschek",-,-,-,-,-,Not specified (the study provides median land area of SA2 units but not total study area size),"  - ""Using discrete spatial choice models, we identified relationships between proximity to pre-crime activity locations recorded in a police database (e.g., offenders' homes, family members' homes, schools, prior crimes, and other police interactions) and the locations of 17,054 residential burglaries, 10,353 non-residential burglaries, 1,977 commercial robberies, 4,315 personal robberies, and 4,421 extra-familial sex offences in New Zealand.""",,"- The study uses data from New Zealand, specifically focusing on various types of crimes and their locations.
- The study area is defined by the use of ""Statistical Area 2"" (SA2) units, which are a standard geographic division in New Zealand.
- The median land area of the SA2s used in the study is provided as 1.2km², with quartiles ranging from 0.84 to 2.2 km².
- The study does not provide a total study area size in km² but gives a median size for the SA2 units used in the analysis."
WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,"Wim Bernasco, Richard Block",-,-,,277,2009,Not specified (the paper does not provide a direct measurement of the total study area size in square kilometers or any other unit),"  - ""In the spatial choice model, the spatial unit of analysis applies to the definition of what it is that offenders choose when they decide where to offend. In line with many other studies of spatial choice (Block and Block, 1995;Boggs, 1965;Velez, 2001), we use the census tract as our unit of analysis of location choice.""
  - ""Data on the population size and the racial and ethnic composition of the 865 census tracts in the city of Chicago in 2000 were taken from the public files of the U.S. Census Bureau.""
  - ""Tracts with a population below 100 were not used in the analysis, which applies to 21 tracts (2.4 percent); the other 844 census tracts are considered in the analysis.""
  - ""No less than 73 percent of the Chicago robberies were committed outside the census tract in which the offender lived.""
  - ""Testing the model on cleared robbery cases in Chicago in the years 1996-1998,""",,"- The study focuses on Chicago, specifically using data from 1996 to 1998, which indicates the geographic scope of the study.
- The spatial unit of analysis is the census tract, which is a common method for dividing urban areas into smaller, manageable units for study.
- The paper mentions that data was collected from 865 census tracts in Chicago, but 21 tracts were excluded due to low population, leaving 844 tracts for analysis.
- The fact that 73% of robberies occurred outside the offender's home census tract suggests that the study area is not limited to a single tract but encompasses multiple tracts across Chicago.
- However, the paper does not provide a direct measurement of the total study area size in square kilometers or any other unit."
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,"Alyssa W Chamberlain, Lyndsay N Boggess",-,-,,30,2016,"Total Study Area Size: Not specified
Study Area Description: City of Tampa, Florida
Area Calculation Method: Not mentioned
Area Source: Not stated
Alternative Size Info: 334 census block groups
Context Notes: Entire city of Tampa","  - ""The final data set contains information on all 334 block groups in the City of Tampa.""
  - ""The final sample includes 5,182 incidents committed by 6,846 suspects which were aggregated to the census block group, the operational definition of neighborhood.""
  - ""We utilize discrete choice modeling on all arrests for burglaries in the City of Tampa, Florida, from January 2000 through September 2012.""",,"- The study focuses on the City of Tampa, Florida, which is the study area.
- The study uses data from all arrests for burglaries in Tampa from January 2000 through September 2012, indicating that the entire city is the study area.
- The data is aggregated to the census block group level, with 334 block groups in the city, which suggests that the study area encompasses these block groups.
- The paper does not provide a specific size in square kilometers or square miles, but it does mention that the study area includes all 334 block groups in Tampa."
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,"Guangwen Song, Wim Bernasco, Lin Liu, Luzi Xiao, Suhong Zhou, Weiwei Liao",-,-,-,-,-,"Total Study Area Size: More than 3000 km²
Study Area Description: Central part of ZG City
Area Calculation Method: Not specified
Area Source: Paper statement
Alternative Size Info: Not applicable
Context Notes: Central part of ZG City","  - ""The study area comprises 1891 census units in total, of which 275 are not included in the analysis because the lack mobility data due to limited coverage of the GSM mobile phone network, leaving 1616 census units in the analysis.""",,"- The paper explicitly states that the study area covers ""more than 3000 km²,"" which provides a direct measure of the total study area size.
- The size of individual census units is provided, but this is not necessary for calculating the total study area size since the paper already gives a direct measure.
- The number of census units and their average size could be used to estimate the total area, but since the paper provides a direct measure, this is not necessary.
- The study area description is given as being located in the central part of ZG City, which provides some context about the geographic boundaries."
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection","Christophe Vandeviver, Wim Bernasco",-,-,-,-,-,"Total Study Area Size: 156 km²
Study Area Description: City of Ghent
Area Calculation Method: Not specified
Area Source: Census data
Alternative Size Info: None found
Context Notes: Divided into 193 residential neighborhoods","  - ""On average, the 193 residential neighborhoods have a population of 1287 residents (standard deviation [sd] = 1299), 717 residences (sd = 785) and cover an area of 0.79 (sd = 1.00) square kilometers.""
  - ""The Census subdivides Ghent in geographical entities called 'statistical districts', of which 193 have a residential function.""",,"- The paper provides a direct statement about the total area of the city of Ghent, which is approximately 156 km². This is the total study area size.
- The study area description is the city of Ghent, which is divided into 193 residential neighborhoods.
- The area calculation method is not explicitly mentioned, but it is implied that the area is based on the city's administrative boundaries.
- The area source is the Census data, as indicated by the mention of ""statistical districts.""
- There is no alternative size information provided beyond the total area of the city.
- The context notes include the division of the city into residential neighborhoods and the average size of these neighborhoods."
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS","Wim Bernasco, Floor Luykx",-,-,,197,2003,"Total Study Area Size: 57.85 km²
Study Area Description: City of The Hague, Netherlands; 89 neighborhoods
Area Calculation Method: Calculated from average neighborhood size and number of neighborhoods
Area Source: Paper's methodology section
Alternative Size Info: Average neighborhood size is 0.65 square kilometers
Context Notes: Excludes non-residential areas; average annual burglary rate provided","  - ""The study of the effects of neighborhood features reflecting attractiveness and opportunity has a long-standing tradition in criminology.""
  - ""The city comprises 94 neighborhoods. We used data on 89 neighborhoods, as 5 neighborhoods are almost or completely non-residential (industrial areas, parks, dune area).""
  - ""The total number of residential burglaries in The Hague during the six-year period 1996-2001 was about 26.000, which amounts to an average annual number of about 50 per neighborhood, and an annual rate of about 1 residential burglary per 100 dwellings for the city as a whole.""
  - ""Counting the 89 neighborhoods analyzed, the average neighborhood has a surface of 0.65 square kilometers, is the home to 4950, residents and contains 2350 residential units.""
  - ""The hypotheses are tested using data on the city of The Hague, the Netherlands.""",,"- The study focuses on the city of The Hague, Netherlands, which is the primary study area.
- The study uses data from 89 neighborhoods within The Hague, indicating that these neighborhoods are part of the study area.
- The average neighborhood size is given as 0.65 square kilometers, but this is not the total study area size.
- To find the total study area size, we need to calculate the total area covered by the 89 neighborhoods. Since each neighborhood averages 0.65 square kilometers, the total area would be 89 neighborhoods * 0.65 square kilometers per neighborhood.
- The calculation for the total study area size is: 89 neighborhoods * 0.65 square kilometers/neighborhood = 57.85 square kilometers."
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,"Shane D Johnson, Lucia Summers",-,-,Crime and delinquency,85,2015,Not specified (the paper does not provide a direct measurement of the study area size in square kilometers),"  - ""In line with previous studies (Bernasco, 2006(Bernasco, , 2010;;Bernasco & Block, 2009, 2011;Bernasco & Luykx, 2003;Bernasco et al., 2013;Clare et al., 2009), crimes committed by offenders living outside the study area were excluded from the sample.""
  - ""The unit of analysis selected was the U.K. census Lower Super Output Area (LSOA). For the study area, there were 198 LSOAs, each with a population of around 1,524 people and about 662 residential households.""
  - ""Data for crimes detected by the police were acquired for the county of Dorset (UK) for the 5-year period January 1, 2001, to December 31, 2005.""",,"- The study area is described as the county of Dorset in the UK, which provides a geographic boundary.
- The unit of analysis is the Lower Super Output Area (LSOA), with 198 LSOAs included in the study area.
- Each LSOA has a population of around 1,524 people and about 662 residential households, but no direct mention of the total area size in square kilometers is provided.
- The paper does not explicitly mention the total study area size in square kilometers or any other unit of measurement.
- The focus is on the number of LSOAs and their population characteristics rather than the physical area size."
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,"Zachary R Rowan, Sarah Appleby, Jean Marie Mcgloin, Simon Fraser",-,-,,3,2021,Not specified (the paper does not provide a direct total area size in square kilometers or miles),"  - ""The average census block group in Baltimore has 2.4 census blocks, is .14 square miles, and has an average of 953 residents.""
  - ""During this time period, there were a total of N = 6,249 incidents across 653 census block groups (Average Rate = 1.93 per 100 residents, SD = 11.24).""
  - ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).1""
  - ""The current study extends crime pattern theory and addresses this gap in the co-offending literature by considering whether the distribution of co-offences across census block groups in Baltimore City (Maryland) is related to measures of activity nodes and 'connected' street networks, net of the solo crime rate.""",,"- The study focuses on Baltimore City, Maryland, and uses data from census block groups within this area.
- The study area is described in terms of the number of census block groups (653) and the average characteristics of these groups (2.4 census blocks, 0.14 square miles, 953 residents).
- The total study area size can be estimated by multiplying the average size of a census block group by the total number of groups. However, the paper does not provide a direct total area size in square kilometers or miles.
- The paper does not explicitly mention the total study area size in square kilometers or miles, nor does it provide a method for calculating this size directly from the information given."
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,"Wim Bernasco, Paul Nieuwbeerta, Richard Block, Henk Elffers, Jan De Keijser, Jasper Van Der Kemp, Peter Van Koppen",-,-,,362,2005,"Total Study Area Size: Approximately 57.85 km²
Study Area Description: The city of The Hague, comprising 89 residential neighborhoods
Area Calculation Method: Calculated from average neighborhood size and number of neighborhoods
Area Source: Paper's description of The Hague's neighborhoods
Alternative Size Info: 89 neighborhoods, average neighborhood size 0.65 km²
Context Notes: Based on average neighborhood size and number of neighborhoods","  - ""The geometric positions of the 89 residential neighbourhoods are displayed in Figure 1""
  - ""The average neighbourhood has a surface of 0.65 square kilometres, is home to 4,952 residents and contains 2,380 residential units (DSO 2001).""
  - ""The Hague comprises 89 residential neighbourhoods.""
  - ""The Hague is situated at the coast of the North Sea. With a population of about 440,000, it is the third largest city in the Netherlands.""",,"- The paper provides information about the city of The Hague, which is the study area. It mentions that The Hague has a population of about 440,000 and comprises 89 residential neighborhoods.
- The average size of each neighborhood is given as 0.65 square kilometers, but this is not the total study area size. To find the total study area size, we need to calculate the total area covered by these neighborhoods.
- The total study area size can be estimated by multiplying the number of neighborhoods by the average size of each neighborhood: 89 neighborhoods * 0.65 km² = 57.85 km².
- The paper does not provide a direct statement of the total study area size in km², but we can calculate it based on the information given about the average neighborhood size and the number of neighborhoods."
Co-offending and the Choice of Target Areas in Burglary,Wim Bernasco,-,-,-,-,-,"Total Study Area Size: Approximately 58.85km² (89 neighborhoods × 0.65km²); Study Area Description: 89 residential neighborhoods in The Hague; Area Calculation Method: Calculated from neighborhood count and average size; Area Source: Paper's description of The Hague; Alternative Size Info: 89 spatial units, 0.65km² average unit size; Context Notes: Based on neighborhood boundaries","  - ""The average neighbourhood has an area of 0.65 square kilometres, is the home to 4952 residents and contains 2380 residential units.""
  - ""The Hague comprises of 89 residential neighbourhoods.""
  - ""The geometric positions of the 89 residential neighbourhoods are displayed in Figure 1""",,"- The paper provides information about the number of residential neighborhoods in The Hague and the average area of each neighborhood.
- The total study area size can be calculated by multiplying the number of neighborhoods by the average area of each neighborhood.
- The paper does not provide a direct statement of the total study area size in square kilometers, but it can be inferred from the given data."
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,"Wim Bernasco, Shane D Johnson",-,-,,88,2015,Not specified (the paper does not provide a direct measurement of the total study area size in square kilometers or any other unit of area measurement),"  - ""Using data in 3,337 detected burglaries from one UK police force,""
  - ""Data were acquired for all detected residential burglaries committed between January 2007 and December 2012 in the West Midlands, a large metropolitan UK police force""
  - ""the areas used here have an average population of only 1,500, potentially providing for more homogeneous spatial units and enhanced ecological validity.""
  - ""The concept of crime location choice presumes spatial units of analysis, which are the alternative locations that burglars choose from when deciding on where to commit a burglary.""
  - ""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""
  - ""LSOAs are defined on the basis of proximity and social homogeneity measures (type of dwelling and nature of tenure) and have a population of approximately 1,500 residents and 600 households.""",,"- The study uses data from the West Midlands, a large metropolitan UK police force, which suggests the study area is within this region.
- The paper mentions using Lower Level Super Output Areas (LSOAs) as the basic spatial unit of analysis, which are defined by proximity and social homogeneity measures.
- LSOAs have an average population of 1,500 residents and 600 households, indicating the size of the spatial units used in the study.
- However, the paper does not provide a direct measurement of the total study area size in square kilometers or any other unit of area measurement.
- The focus is on the use of LSOAs as spatial units rather than a specific total area size."
Burglar Target Selection: A Crossnational Comparison,"Michael Townsley, Daniel Birks, Wim Bernasco, Stijn Ruiter, Shane D Johnson,  Gentry White, Scott Baum",-,-,Journal of research in crime and delinquency,60,2015,Not specified (the paper does not provide a direct measurement of the total study area size in square kilometers for each city),"  - ""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region.""
  - ""All additional differences are the result of an interaction between burglary and clearance rates: At a national level, the United Kingdom has 454 residential burglaries per 100,000 population with a clearance rate of 13 percent (Office of National Statistics [ONS] 2013; Taylor and Chaplin 2011), Australia has 592 residential burglaries per 100,000 population and 8.7 percent clearance rate (Australian Bureau of Statistics 2011; Australian Institute of Criminology 2012), and the Netherlands has 427 residential burglaries per 100,000 population with a clearance rate of 7 percent (Bernasco and Nieuwbeerta 2005).""
  - ""Recorded crime data from three independent police services are used to analyze the location choices of residential burglars operating in The Hague (Netherlands), Birmingham (United Kingdom), and Brisbane (Australia).""
  - ""The Hague, Birmingham, and Brisbane can be characterized as having relatively high (3,652 households per km 2 ), medium (1,513 households per km 2 ), and low (299 households per km 2 ) target densities, respectively.""",,"- The paper provides information about the study regions, which are The Hague in the Netherlands, Birmingham in the United Kingdom, and Brisbane in Australia.
- The study areas are described in terms of their geographic units: neighborhoods in The Hague, Super Output Areas in Birmingham, and Statistical Local Areas in Brisbane.
- The paper mentions the target densities for each city, which are high in The Hague (3,652 households per km²), medium in Birmingham (1,513 households per km²), and low in Brisbane (299 households per km²).
- However, the paper does not provide a direct measurement of the total study area size in square kilometers for each city.
- The focus is on the density of households rather than the total area size."
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,"Michael J Frith, Shane D Johnson, Hannah M Fry",-,-,CrimRxiv,63,2017,"Total Study Area Size: Approximately 150 km²
Study Area Description: Built-up areas of three towns with a 1-km buffer
Area Calculation Method: GIS/mapping approach
Area Source: Paper's methodology section
Alternative Size Info: None found
Context Notes: Includes a 1-km buffer around built-up areas","  - ""The resulting study area covers a geography of approximately 150 km 2 and includes 81,682 dwellings situated on 5,286 street segments.""
  - ""The study area was defined by identifying the ""built-up areas"" of the three towns and by applying a 1-km buffer around them (for a map of the study area, see appendix A in the online supporting information 1""",,"- The paper explicitly states that the study area covers ""approximately 150 km 2,"" which directly answers the question about the total study area size.
- The description of the study area includes the ""built-up areas"" of three towns with a 1-km buffer, providing a geographic context for the area.
- The area calculation method is implied by the use of ""built-up areas"" and a buffer, suggesting a GIS or mapping approach.
- The source of the area information is the paper itself, as it is part of the study's methodology.
- There is no alternative size information provided beyond the total area.
- The context notes include the presence of a buffer and the focus on built-up areas."
Modelling taste heterogeneity regarding offence location choices,Michael J Frith,-,-,Journal of Choice Modeling,13,2019,"Total Study Area Size: Approximately 270km²
Study Area Description: City of York (UK)
Area Calculation Method: Not specified
Area Source: Not stated
Alternative Size Info: None found
Context Notes: None","  - ""the alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""
  - ""the choice set is restricted to the city of York (UK).""",,"- The paper explicitly states that the study area is the city of York (UK) and provides a specific size for this area: ""approximately 270km²."" This directly answers the question about the total study area size.
- The study area description is clearly mentioned as being the city of York (UK), which is a geographic boundary.
- The area calculation method is not explicitly mentioned, but it is implied that the size is based on the city's administrative boundaries.
- The area source is not explicitly stated, but it is likely based on official city data or geographic information.
- There is no alternative size information or context notes provided beyond the explicit mention of the city's size."
Graffiti Writers Choose Locations That Optimize Exposure,"K Kuralarasan, Wim Bernasco, Christophe Vandeviver",-,-,Crime &amp; Delinquency,1,2024,Not specified (the paper does not provide a direct measurement or calculation of the total study area size in square kilometers),"  - ""In our study, we analyze graffiti instances in Ghent, Belgium. 1 To ensure practicality in the scope of our observations while still focusing on areas with a high incidence of graffiti, we restricted our study area to the city center of Ghent.""
  - ""Our final dataset includes information from 2,233 street segments from the original 2,392. A total of 159 segments were not observed for various reasons and were excluded from the analysis (see Figure A1 for map).""
  - ""The data were collected by a team of 212 observers in November 2017 using systematic social observation (SSO). These observers were undergraduatelevel students from Ghent University who had received training for a month.""
  - ""We ensured that nearly all publicly accessible or visible locations in the Ghent city center were included in our observations.""
  - ""The observation focused only on the street segments of Ghent city center. We only observed the number of graffiti instances on each street segment, not on the specific objects where it was written.""",,"- The study area is described as the ""city center of Ghent,"" which provides a geographic description but does not specify the exact size in square kilometers.
- The study involved observing graffiti instances across 2,233 street segments, but this does not directly translate to a specific area size without knowing the average size of each segment.
- The paper does not provide a direct measurement or calculation of the total study area size in square kilometers.
- The focus on the city center and the number of street segments observed suggest a detailed spatial analysis, but the exact area size is not explicitly mentioned."
Modelling the spatial decision making of terrorists: the discrete choice approach,-,-,-,Applied Geography,21,2019,"Total Study Area Size: Not specified
Study Area Description: Belfast, using 890 Small Areas (SAs) as the smallest areal unit
Area Calculation Method: Not mentioned
Area Source: Northern Ireland Statistics and Research Agency (NISRA)
Alternative Size Info: 890 Small Areas (SAs) in Belfast
Context Notes: Focus on attacks within Belfast; SAs are administrative units","  - ""Since 2011, Northern Ireland has been divided into 4537 'Small Areas' (hereafter, SAs), which are currently the smallest areal unit.""
  - ""The location of each attack was geocoded to the corresponding SA.""
  - ""The final offence and offender datasets comprised 150 attacks by 127 PIRA members within Belfast.""
  - ""The geographical boundary data for the SAs was obtained from the Northern Ireland Statistics and Research Agency (NISRA).""
  - ""Belfast is the capital and largest city of Northern Ireland and is on the flood plain of the River Lagan.""",,"- The study area is described as Belfast, which is the capital and largest city of Northern Ireland.
- The study uses ""Small Areas"" (SAs) as the smallest areal unit, which are part of the administrative division of Northern Ireland.
- The geographical boundary data for these SAs was obtained from the Northern Ireland Statistics and Research Agency (NISRA), indicating that the study area is defined by these administrative boundaries.
- The study focuses on attacks within Belfast, with 150 attacks by 127 PIRA members, and each attack was geocoded to a corresponding SA.
- The total number of SAs in Belfast is mentioned as 890, which provides a basis for understanding the spatial scope of the study."
Spatial analysis with preference specification of latent decision makers for criminal event prediction,"Yifei Xue, Donald E Brown",-,-,Decision Support Systems,66,2006,"Total Study Area Size: Not specified
Study Area Description: City of Richmond, VA
Area Calculation Method: Not mentioned
Area Source: Not stated
Alternative Size Info: None found
Context Notes: Modest-sized city; data from Richmond police department","  - ""The analysis of B & E is related to locations of households in a city. However, it is difficult to represent all locations of individual houses in even a modest sized city, such as Richmond.""
  - ""The data for model evaluation came from the Regional Crime Analysis Program (ReCAP). ReCap was created as a cooperative project between local police departments in Northern and Central Virginia and the researchers in the University of Virginia.""
  - ""Since the attributes of spatial alternatives came from census data and calculated distance values, it is possible that some values of these attributes are correlated.""
  - ""We extracted the Residential bBreaking and Enter-ingQ (B & E) criminal incidents between July 1, 1997 and October 31, 1997 in the city of Richmond, VA for model estimation and validation.""
  - ""The specific data set used for evaluating this work came from the criminal incident reporting mainframe system (RAMS). It is the data set used by the police department in Richmond, VA.""",,"- The study area is explicitly mentioned as the city of Richmond, VA, as indicated by the use of data from the Richmond police department's criminal incident reporting system.
- The study focuses on residential breaking and entering incidents within Richmond, suggesting that the study area is confined to this city.
- The mention of using census data and calculated distance values implies that the study area is defined by administrative boundaries, likely those of the city of Richmond.
- The paper does not provide a specific size in square kilometers or any other unit, nor does it mention any specific method for calculating the area or any alternative size information.
- The context notes that the study area is a modest-sized city, which is Richmond, but no specific size or area calculation method is provided."
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,"Wim Bernasco, Stijn Ruiter, Richard Block",-,-,-,-,-,"Total Study Area Size: Not specified
Study Area Description: City of Chicago
Area Calculation Method: Not mentioned
Area Source: Chicago Police Department and U.S. Census
Alternative Size Info: None found
Context Notes: Excludes expressways and college campuses","  - ""The spatial units of analysis are census blocks.""
  - ""The analysis is limited to cleared robberies because only for cleared robberies offender addresses are available, and distance from the offender home location is by far the most important predictive factor in crime location choice""
  - ""About 98.5 percent of these addresses were successfully geocoded and assigned to 1 of the 24,594 census blocks in the city of Chicago.""
  - ""The data also include information on the offenders who were arrested for committing these street robberies, including gender, racial and ethnic background, age, and residential address at the time of the robbery.""
  - ""The data did not allow us to identify offenders across multiple robberies.""
  - ""In addition, we collected detailed information on land use, population, and activities in all 24,594 census blocks of the city of Chicago in the year 2000.""
  - ""The data further exclude a few street robberies that are perpetrated on expressways (covered by the state police) and robberies on college campuses (covered by the university's police).""
  - ""The data also exclude Chicago robberies committed by persons who are not residents of Chicago, but this is an exclusion by design, as our sample applies to residents of Chicago.""",,"- The study area is described as being composed of ""24,594 census blocks in the city of Chicago,"" which indicates the geographic scope of the study.
- The median size of each census block is given as ""19,680 m² (approximately 140 Â 140 m),"" which can be used to estimate the total area covered by these blocks.
- To calculate the total study area size, we need to multiply the number of census blocks by the average area of each block. However, the paper does not provide a direct total area size in square kilometers.
- The study area description is clearly the city of Chicago, as indicated by the use of census blocks within the city.
- The area calculation method is implied to be based on the use of census block data, but it is not explicitly stated how the total area was calculated.
- The area source is the data collected from the Chicago Police Department and the U.S. Census.
- There is no alternative size information provided in the paper.
- Context notes include the exclusion of certain areas like expressways and college campuses, but these do not affect the overall study area size calculation."
Go where the money is: modeling street robbers' location choices,"Wim Bernasco, Richard Block, Stijn Ruiter",-,-,-,-,-,"Total Study Area Size: Not specified
Study Area Description: City of Chicago, focusing on 24,594 census blocks
Area Calculation Method: Not mentioned
Area Source: Data on census blocks in Chicago
Alternative Size Info: None found
Context Notes: None","  - ""The remaining 24,594 blocks have a median size of 19,680 m 2 ($140 m Â 140 m).""
  - ""The data further include detailed information on land use, population and activities in all census blocks in the city of Chicago.""
  - ""In 2000 there were 24,594 census blocks in Chicago from which a robber chooses a single one when committing a robbery.""
  - ""In Chicago, with an average surface of 140 m Â 140 m (460 ftÂ 460 ft) and an average population of 118 residents, census blocks are approximately 30 times smaller than census tracts.""
  - ""Using data on nearly 13,000 robberies, on the approximately 18,000 offenders involved in these robberies, and on the nearly 25,000 census blocks in the city of Chicago,""",,"- The study area is described as the city of Chicago, with a focus on the nearly 25,000 census blocks within it.
- The size of each census block is given as an average surface area of 140 m Â 140 m, which translates to approximately 19,680 square meters.
- The total number of census blocks is 24,594, but the paper does not provide a direct total area size in square kilometers.
- To calculate the total study area size in square kilometers, we would need to multiply the number of census blocks by the average area of each block. However, the paper does not provide this calculation directly.
- The study area description is clearly the city of Chicago, with a focus on the census blocks within it.
- The area calculation method is not explicitly mentioned, but it is implied that the data on census blocks and their characteristics were used to analyze the study area.
- The area source is the data collected on the census blocks in Chicago.
- There is no alternative size information or context notes provided in the paper."
The usefulness of past crime data as an attractiveness index for residential burglars,"Aiko Hanayama, | Shumpei Haginoya, Hiroki Kuraishi, Masakazu Kobayashi",-,-,,5,2018,"Total Study Area Size: Approximately 283.5 km²
Study Area Description: Portion of Sendai City excluding flooded areas
Area Calculation Method: Calculated from grid cell size and count
Area Source: Grid cell method described in the paper
Alternative Size Info: 1,134 grid cells, each 500m x 500m
Context Notes: Excludes areas flooded by the Great East Japan Earthquake and Tsunami","  - ""Ultimately, we used 1,134 grid cells as the study area.""
  - ""Using the grid cell method described earlier, we narrowed down the study area to covering the area not flooded during the Great East Japan Earthquake and Tsunami on March 11, 2011 (Pasco, 2011) because the tsunami may have changed the environment.""
  - ""The size of grid cells is 500 m on a one side and comes with specified longitude and latitude data.""",,"- The study area is described as covering a portion of Sendai City, specifically excluding areas flooded by the Great East Japan Earthquake and Tsunami.
- The study area is composed of 1,134 grid cells, each with a size of 500 meters on one side.
- To calculate the total area, we need to calculate the area of one grid cell and then multiply by the number of grid cells. The area of one grid cell is 500 meters * 500 meters = 250,000 square meters or 0.25 square kilometers.
- Multiplying this by the number of grid cells gives us the total study area size: 0.25 km² * 1,134 grid cells = approximately 283.5 km².
- The paper also mentions that Sendai City has an area of about 786 km², but this is not the specific study area size, as the study area is a subset of the city."
