Title,Year,Authors,Journal,DOI,Filename,Country,City_Region,Study_Area_Size,Crime_Type,Study_Period,Data_Collection_Period,SUoA_Type,SUoA_Size,Number_of_Units,Sample_Size,Number_of_Crimes_Analyzed,Discrete_Choice_Model,Software_Used,Main_Results,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,NA,Guangwen Song; Wim Bernasco; Lin Liu; Luzi Xiao; Suhong Zhou; Weiwei Liao,NA,NA,Song_CrimeFeedsOnLegalActivities.pdf,China,ZG City,More than 3000 km²,Theft from the person (TFP),"June 1st, 2014 to May 30th, 2016","Wednesday, December 28, 2016 (for mobile phone data)",Census unit,"1.62 km² (average), varies 0.02",1616,3436 cases of TFP.,3436.,Conditional logit,NA,"Population mobility flows significantly predict where individual thieves commit crimes, improving upon predictions made by distance and crime generators alone.",Population size; Proportion of non-locals; Hukou status,3,NA,0,Primary schools; Middle schools; Hospitals; Basic stores; Markets; Supermarkets; Restaurants; Cinemas; Bars; Banks; Subway stations; Bus stops,12,Median Distance; Average Crime Trip Distance; Euclidean Distance; Relative Mobility,4,Exclusion of February; Selection of weekdays; Clearance rate of theft from the person; Geographical location of study area; Size of census units; Mean population; Exclusion of census units due to limited mobility data; Euclidean distances between census units,8,27
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",NA,Christophe Vandeviver; Wim Bernasco,NA,NA,Vandeviver_Year_LocationLocationLocation.pdf,Belgium,Ghent,approximately 156 km²,Burglary,2005,"Not explicitly mentioned, but data was available up to 2011",Statistical districts (referred to as neighborhoods),0.79 square kilometers (average),193,679 burglaries.,679 burglaries.,Conditional logit,NA,"Burglars prefer residences in neighborhoods with lower residential density, detached or single",Population; Ethnic Heterogeneity; Rental Units; Household Size; Household Composition; Rental Status,6,Median income; Residential density; Proportion rental units; Higher real estate values; Higher population turnover rates,5,Residential Density; Building Type; Housing Characteristics; Prior Burglary Activity,4,Distance,1,Prior burglary in neighborhood; Distance from offender's home; Statistical districts; Single-offender selection; Conditional logit model; Generalized variance inflation factors (GVIFs),6,22
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",2003,Wim Bernasco; Floor Luykx,NA,NA,Bernasco2003EffectsOfAttractivenessOpportunityAccessibility.pdf,Netherlands,The Hague,Not explicitly provided; average neighborhood size is 0.65 square kilometers,Residential burglary,1996,1996,Administrative unit,0.65 km²,89,89 neighborhoods.,"Approximately 26,000 residential burglaries.",NA,NA,The spatial distribution of burglary is significantly influenced by accessibility factors such as proximity to burglars' homes and the central business district (CBD).,Ethnic Heterogeneity; Residential Mobility,2,Percentage of owner-occupied dwellings; Average real estate value of residential units; Home ownership,3,Residential units' visible cues; Public facilities in the central business district; Likelihood of successful completion; Social cohesion and collective efficacy; Mobility of burglars,5,Journey-to-crime; Distance decay pattern; SWEBER (spatially weighted burglar exposition rate); Proximity to CBD; Concentric zone model,5,Ethnic Heterogeneity; Residential Mobility; Real Estate Value; Home Ownership; Proximity to Central Business District; Moran's I Statistic,6,21
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,2015,Shane D Johnson; Lucia Summers,NA,NA,Johnson_2015_Testing_Ecological_Theories.pdf,United Kingdom,County of Dorset,Not explicitly mentioned in terms of square kilometers,Theft from vehicles (TFV),"January 1, 2001, to December 31, 2005","January 1, 2001, to December 31, 2005",Lower Super Output Area (LSOA),"Not explicitly mentioned in terms of area size, but described by population and households",198,721 choice observations or events.,721.,Conditional logit,STATA 10 SE,Offenders prefer areas with low social cohesion and proximity to their home or age,Population density; Household size/composition; Population turnover,3,Socioeconomic Heterogeneity,1,Schools; City Centers; Major Roads; Train Stations,4,Home-to-crime distance; Distance to city center; Connectivity via major roads; Adjacency,4,Time Frame; Robust Standard Errors; Unit of Analysis; Random Utility Model; Interaction Terms,5,17
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,2021,Zachary R Rowan; Sarah Appleby; Jean Marie Mcgloin; Simon Fraser,The British Journal of Criminology,NA,Rowan2021SituatingCrimePatternTheory.pdf,United States,"Baltimore City, Maryland",.14 square miles (average size of a census block group),Group crime,2013,Not explicitly mentioned (inferred to be during or shortly after 2013,Census block group,0.14 square miles,653,"68,393","6,249 incidents",Not applicable (uses spatially lagged negative binomial regression),GeoDa 1.14.0,The study found that certain activity nodes and pedestrian,Population Density; Ethnic Heterogeneity; Population Turnover; Schools,4,Poverty; Population density; Ethnic heterogeneity,3,Bars; Schools; Transit Stations; Shopping Centers; Pedestrian-Oriented Street Density; Auto-Oriented Street Density,6,Auto-oriented street density; Pedestrian-oriented street density,2,Time Frame; Spatial Lag Operator; Solo Crime Rate; Population Density; Racial/Ethnic Heterogeneity; Population Turnover; Poverty,7,22
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,2005,Wim Bernasco; Paul Nieuwbeerta; Richard Block; Henk Elffers; Jan De Keijser; Jasper Van Der Kemp; Peter Van Koppen,NA,NA,NA,Netherlands,The Hague,Approximately 57.85 square kilometers,Residential burglary,1996,1996,Administrative unit,0.65 square kilometres,89,548 single,548.,Conditional logit,NA,"The likelihood of a neighborhood being selected for burglary is influenced by its ethnic heterogeneity, percentage of single",Ethnic Heterogeneity; Residential Mobility; Age of Burglar; Ethnic Origin of Burglar; Percentage of Single-Family Dwellings,5,Average Residential Real Estate Value,1,Percentage of single-family dwellings; Number of residential units,2,Proximity to Offender's Home; Proximity to City Centre; Distance Between Neighbourhoods,3,Proximity to City Centre; Proximity to Burglar's Home; Ethnic Heterogeneity; Residential Mobility; Real Estate Value; Number of Residential Units; Age of Burglar; Ethnic Origin of Burglar,8,19
Co-offending and the Choice of Target Areas in Burglary,NA,Wim Bernasco,NA,NA,Bernasco_2005_Co-offending_and_the_Choice_of_Target_Areas_in_Burglary.pdf,Netherlands,The Hague,89 neighborhoods with an average area of 0.65 square kilometers each,Residential burglary,1996,1996,Administrative unit (residential neighbourhoods),0.65 km²,89,1174 residential burglaries.,1174 residential burglaries.,Conditional logit,NA,Physical accessibility and proximity to the offenders' homes are significant predictors for both solitary and co,Residential Mobility; Ethnic Heterogeneity; Number of Properties; Average Neighbourhood Area; Number of Residents,5,Average Value of Residential Properties; Percentage of Owner-Occupied Properties; Mean Income per Resident,3,[Architectural_Features; [Public_Facilities; [Residential_Units; [Physical_Accessibility; [Social_Accessibility,5,Home-to-crime distance; Distance to city centre; Physical accessibility,3,Number of properties in a neighbourhood,1,17
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,2015,Wim Bernasco; Shane D Johnson,NA,NA,Bernasco_2015_Learning_Where_To_Offend,United Kingdom,West Midlands,Not explicitly mentioned in km²; described in terms of population and households within LSOAs,Residential burglary,January 2007 to December 2012,First two years (2007,UK Census Lower Level Super Output Area (LSOA),"Approximately 1,500 residents and 600 households",NA,"3,337 detected burglaries.","3,337 detected burglaries.",Multinomial logit,NA,"Burglars are more likely to target areas they have previously burgled, especially if the prior burglary was recent. Areas near previous targets are also more likely to be selected.",Population Turnover; Ethnic Diversity; Total Number of Households,3,Average House Price; Total Number of Households; Population Turnover,3,"Affluent neighborhoods; Neighborhoods with high guardianship; Accessible residential properties; Connectors (e.g., transit lines); Barriers (e.g., wide rivers); Street permeability; Higher altitude; Train stations; Total number of households; Average house price; Ethnic diversity; Population turnover; Distance to city center",13,Distance to Offender's Residence; Distance to City Center; Presence of Train Stations; Presence of Bus Stations,4,Temporal Categories; Distance to Residence; Distance to City Center; Total Number of Households; Average House Price; Ethnic Diversity; Population Turnover,7,30
Burglar Target Selection: A Crossnational Comparison,2015,Michael Townsley; Daniel Birks; Wim Bernasco; Stijn Ruiter; Shane D Johnson; Gentry White; Scott Baum,NA,NA,Townsley_2015_Burglar_Target_Selection.pdf,"Netherlands, United Kingdom, Australia","The Hague, Birmingham, Brisbane",NA,Residential burglary,NA,NA,"Neighborhoods (NL), Super Output Areas (UK), Statistical Local Areas (AU)",NA,NA,Not explicitly mentioned.,"Not explicitly mentioned, but incidents involving multiple offenders were removed (276, 94, and 247 crimes in The Hague, Birmingham, and Brisbane, respectively).",Conditional logit,NA,"Proximity to an offender's home, proportion of easily accessible targets, and number of targets in an area consistently influence location choice for burglary.",Residential Mobility; Social Cohesion,2,Residential Real Estate Value,1,Number of households; Proportion of single-family dwellings; Residential mobility; Availability of potential targets,4,Proximity; Proximity to City Center; Proportion of Single-Family Dwellings; Number of Households,4,Jurisdictional Dummies; Robust Standard Errors; Wald Tests,3,14
ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,2017,Michael J Frith; Shane D Johnson; Hannah M Fry,NA,NA,NA,United Kingdom,"High Wycombe, Beaconsfield, Marlow",approximately 150 km²,Residential burglary,04/01/2004 to 03/31/2014,NA,Street segment,Not specified,"5,286",459 choice observations (residential burglaries).,459 residential burglaries.,Mixed logit,Stata,Offender familiarity and effort are significant predictors of residential burglary location choices.,Ethnic-heterogeneity; Socioeconomic heterogeneity; Population turnover; Residential mobility,4,Affluence,1,Ambient Guardianship; Movement Potential; Through Movement; Activity Nodes,4,Estimated Travel Time; Euclidean Distance; Network Distance; Road Network Configuration; Idiosyncratic Farness; Closeness Centrality; Pedestrian Travel Time; Vehicular Travel Time,8,Time period; Residential mobility; Socioeconomic heterogeneity; Affluence; Ethnic heterogeneity; Number of dwellings,6,23
Modelling taste heterogeneity regarding offence location choices,2019,Michael J Frith,NA,NA,Frith_2019_Modelling_taste_heterogeneity.pdf,United Kingdom,York,270km²,Serious Acquisitive Crime (SAC),April 2008 to March 2012,April 2008 to March 2012,Output areas / Neighbourhoods,NA,NA,"1,105 offence location choices.","1,105 SAC incidents.","Latent class logit (LCL), Mixed logit (ML), Conditional logit (CL)",Stata 14,"The study finds preference heterogeneity among serious acquisitive crime offenders, with both latent class and mixed logit models fitting the data better than the conditional logit model.",Ethnic heterogeneity; Residential Churn; Gender; Age group,4,Affluence; Number of potential targets,2,Number of potential targets,1,Distance from the offender's home; Distance from the city centre; Road network data,3,NA,0,10
Graffiti Writers Choose Locations That Optimize Exposure,2024,K Kuralarasan; Wim Bernasco; Christophe Vandeviver,NA,NA,Kuralarasan2024GraffitiWriters.pdf,Belgium,Ghent,NA,Graffiti writing,NA,November 2017,Street segment,Not specified,"2,233","12,655 graffiti instances across 2,233 street segments","12,655 graffiti instances",Conditional logit,NA,"Graffiti writers prefer locations with high exposure, such as those with bars, night shops, residential units, and schools.",Presence of Schools; Residential Units,2,NA,0,Residential Units; Bars; Night Shops; Nightclubs; Restaurants; Schools; Trees; Broken Windows; Street Segment Type,9,Street Segments; Bridges; Intersections; Trams and Buses; Betweenness,5,Surface Area; Type of Street Segment; Presence of Bars; Presence of Night Shops; Presence of Nightclubs; Presence of Restaurants; Presence of Schools; Presence of Trees,8,24
Modelling the spatial decision making of terrorists: the discrete choice approach,2019,NA,NA,NA,NA,Northern Ireland,Belfast,NA,Terrorist attacks by the Provisional Irish Republican Army (PIRA),1969,NA,Small Areas (SAs),Not specified,890 for Belfast,150 attacks.,150 attacks.,Conditional logit,STATA,"Terrorists make rational decisions similar to urban criminals, influenced by distance from home and presence of major roads, police stations, or military bases.",Number of PIRA members; Residential segregation; Recognition as strangers,3,NA,0,Major Road; Police Station; Military Base; River,4,Home-to-crime distance; Distance to city center; Euclidean distance; Ghosh distance; Major thoroughfares; River as barrier,6,NA,0,13
Spatial analysis with preference specification of latent decision makers for criminal event prediction,2006,Yifei Xue; Donald E Brown,NA,NA,Xue2006SpatialAnalysis.pdf,United States,"Richmond, VA",NA,Residential Breaking and Entering (B & E),"July 1, 1997 to October 31, 1997","July 1, 1997 to October 31, 1997",Block group,NA,2517 regular grids,Over 1200 crime observations,Over 1200,Multinomial logit,NA,New spatial choice models outperform traditional hot spot methods in predicting crime locations.,NA,0,P.CARE.PH; FAM.DENSITY,2,D.HIGHWAY; FAM.DENSITY; P.CARE.PH; D.HOSPITAL,4,D.HIGHWAY; D.HOSPITAL,2,Time; Location; Census Data; Distance Values,4,12
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,NA,Wim Bernasco; Stijn Ruiter; Richard Block,NA,NA,Bernasco,United States,Chicago,Approximately 483.62 km²,Street robbery,1996 to 1998,1996 to 1998,Census block,"Median size of 19,680 m² (approximately 140 × 140 m)","24,594","11,999 (daily variation), 7,999 (weekly variation)","12,938",Conditional logit,NA,The importance of most census block attributes does not significantly depend on the time of day or day of the week.,Gender; Racial and Ethnic Background; Age; Total Population; Racial and Ethnic Composition; Ethnic Diversity; Presence of High Schools,7,Presence of legal cash economies; Presence of illegal cash economies; Business density; Accessibility; Block population; Racial/ethnic composition,6,"Presence of legal cash economies; Presence of illegal cash economies; High schools; Bars and clubs; Restaurants, fast-food outlets, and food stands; Barber shops and beauty salons; Liquor stores; Grocery stores; General merchandise shops; Gas stations; Laundromats; Pawnshops, currency exchange, and check-cashing services; Non-residential census blocks",13,Distance between offender homes and robbery locations within census block; Euclidean distances between offender homes and census block midpoints; Accessibility: Block on main street; Accessibility: Block with El station; Home-crime distance distribution; Negative log of distance,6,Time of Day; Day of Week; Distance from Home; Random Sampling; Conditional Logit Model,5,37
Go where the money is: modeling street robbers' location choices,2015,Wim Bernasco; Richard Block; Stijn Ruiter,Journal of Economic Geography,NA,bernasco_block_ruiter_2015.pdf,United States,Chicago,Not explicitly mentioned in km² or other units,Street robbery,1996,1996,Census block,140m x 140m,"24,594",6000 robberies,"12,938 cleared cases","Multinomial logit, Universal logit",Stata/MP version 11,Street robbers in Chicago prefer easily accessible locations with legal and illegal cash economies.,Total number of residents in the census block; Racial and ethnic composition of the population; Age of offenders; Gender of offenders; Racial and ethnic background of offenders,5,Presence of legal cash economies; Presence of illegal cash economies; Accessibility of a block; Racial and ethnic segregation,4,Presence of legal cash economies; Presence of illegal cash economies; Presence of high schools; Presence of El stations; Land use and activities,5,Euclidean Distance; Accessibility Along Main Streets; Proximity to El Stations; Social Barriers,4,Year; Accessibility; Spatial Lags; Racial/Ethnic Composition,4,22
The usefulness of past crime data as an attractiveness index for residential burglars,2018,Aiko Hanayama; Shumpei Haginoya; Hiroki Kuraishi; Masakazu Kobayashi,NA,NA,NA,Japan,Sendai City,786 km²,Residential burglary,2007,2004,Grid cell,500m x 500m,"1,134",369 solved cases,369,Conditional logit,NA,"Residential burglars are attracted to areas close to their residence, with a higher number of past residential burglaries, more residential units, and a higher proportion of single",Proportion of foreigners; Proportion of newcomers; Number of residential units; Proportion of single-family dwellings,4,Real Estate Value of Residences,1,Number of Residential Units; Proportion of Single-Family Dwellings; Crime Attractors; Road Structure,4,Distance from offender's residence; Distance from city center,2,Number of past residential burglaries; Past residential burglary rate,2,13
Adolescent offenders' current whereabouts predict locations of their future crimes,2019,Wim Bernasco,PLOS ONE,https://doi.org/10.1371/journal.pone.0210733,Bernasco_2019_Adolescent_offenders_current_whereabouts_predict_locations_of_their_future_crimes.pdf,Netherlands,The Hague,NA,Not specified (multiple types),Approximately 4 years,October 2008,Grid cell,200m x 200m,4558,843 adolescents.,165.,Conditional logit,NA,Offenders commit crimes in familiar locations such as their activity spaces and previous crime locations.,Gender; Ethnic background; Age structure; Educational level,4,Educational Qualifications; Points of Interest; Catering Businesses; Retail Businesses; Schools,5,Presence of catering businesses; Presence of retail businesses; Presence of schools; Prior crime locations,4,Radius of Gyration; Distance from Activity Space; Distance from Prior Crime; Contiguity Order,4,Day-of-week weighting; Seasonal measurement period; Time elapsed since interview; Underreporting of crimes,4,21
Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study,2015,Wim Bernasco; Scott Jacques,NA,NA,Bernasco_2015_Dealers_Solicit_Customers.pdf,Netherlands,"Amsterdam, Red Light District and neighboring area",Approximately 1 km²,Illicit drug dealing,NA,"April 2009 to May 2010 (interviews), April 23, 2009 to May 28, 2009 (systematic observations)",Street segments,"Average length 103 meters (SD = 65 m, minimum = 16 m, maximum = 425 m)",262,50 dealers interviewed.,"Not explicitly mentioned, but focuses on location choices of 50 dealers.",Multinomial logit,NA,"Dealers prefer locations with high potential customer density for soliciting and selling drugs, but they are not deterred by formal or informal social control.",Gender; Age; Marital Status; Birthplace; Education Level; Population Size; Population Distribution,7,Potential Customer Density; Presence of Retail and Entertainment Businesses; Accessibility; Activity Level,4,"Presence of retail and entertainment businesses; General activity level; Bars, clubs, coffeeshops, and smartshops; CCTV cameras; Territoriality; Physical disorder",6,Accessibility of the location; General activity level of the location; Average length of street segments,3,Time of Day; Day of Week; Social Control; Territoriality; Social Disorder,5,25
Discrete choice analysis of spatial attack sites,2007,Michael A Smith; Ae D E Brown; Donald E Brown,NA,NA,Smith2007DiscreteChoiceAnalysis.pdf,United States,"Richmond, Virginia",NA,Breaking and entering,Third quarter of 1997,"Not explicitly mentioned, but implied to be from existing records for 1997",Grid cell,170m x 191m,"4,895",Training set: 425 crime events; Test set: 212 crime events.,637 distinct spatial selections.,Multinomial logit,R,"Discrete choice models perform as well as or better than traditional hot spot models, offering more interpretable results.",Demographic Profile Variables,1,NA,0,u30; u66,2,u 26; u 27; u 30,3,NA,0,6
Residential burglary target selection: An analysis at the property-level using Google Street View,2017,Samuel H Langton; Wouter Steenbeek,Applied Geography,http:// dx.doi.org/10.1016/j.apgeog.2017.06.014,Langton_2017_Residential_burglary_target_selection,Netherlands,The Hague,NA,Residential burglary,2009,Around 2009,Individual properties (houses),Not specified,300 single houses,"300 single houses (150 burglarized, 150 non",221 break and enter events during daylight hours,Conditional logistic regression,R,"Ease of escape, accessibility, and lack of surveillance are positively related to burglary risk; wealth indicators do not affect victimization likelihood.",Collective Efficacy; Social Trust; Informal Social Control,3,Wealth,1,Surveillability; Accessibility; Ease of Escape,3,Distance to nearest main road; Distance to nearest street corner; Number of escape routes; Property at end of row; Number of boundaries shared with public areas; Property setback from street,6,Case-control design; Presence of business; Mixed land-use; House type; Fixed effects analysis; Alternative neighbourhood boundaries,6,19
