S.No,,Article Title,Abstract,ISSN,eISSN,Publication Year,Volume,Issue,Start Page,End Page,DOI Link,Early Access Date,Date of Export
59,n,Examining Juvenile Delinquency within Activity Space: Building a Context for Offender Travel Patterns,"Researchers modeling offender travel patterns typically assume that crime locations are well within the offenders' activity space. Using information about the places frequented by 2,563 delinquent youths residing in Southern California, this study examined distances traveled to delinquent and nondelinquent hangout locations. Travel to known delinquent sites was substantively farther from home than expected and exhibited a segmented nonlinear curve, joining logarithmic and negative exponential functions. Significant variation was found for place-specific (trip distance) and person-specific (individual travel) distances by city classification, travel method, and age cohort; age effects disappeared in multivariate analyses. Several implications follow, highlighting the need to infuse a place-oriented approach to studying journey-to-crime.",0022-4278,1552-731X,2011,48,3,472,506,http://dx.doi.org/10.1177/0022427810393014,,22/02/2024
60,n,Spatial and Environmental Consistency in Serial Sexual Assault,"This study examines the crime patterns of 76 New Zealand serial sexual offenders in order to determine the extent to which offenders display locational consistency in their choice of crime locations. More specifically, the hypothesis was that there would be intraseries consistency in the distances travelled (spatial consistency) and the characteristics of the crime sites selected (environmental consistency) by serial sexual offenders. For spatial consistency to be tested, the distances travelled from home to offend and the criminal range for each offence series were analysed. Support was found for spatial consistency, and, in line with much overseas research, it was also found that the offenders typically did not travel very far from home to offend (median distance of 3 km). The environmental consistency measure was made up of various physical, temporal, and contextual variables that described the environmental characteristics of an offence. As hypothesised, it was found that offenders displayed intraseries environmental consistency in offence site selection beyond the level of that expected by chance. The implications of this both for understanding offender spatial decision making and for geographical profiling are discussed. Copyright (C) 2009 John Wiley & Sons, Ltd.",1544-4759,,2010,7,1,15,30,http://dx.doi.org/10.1002/jip.100,,22/02/2024
61,n,Crime Diversity: Reexamining Crime Richness Across Spatial Scales,"Although much of the crime and place literature seeks to explain crime frequency in relation to environmental conditions, few studies have examined crime diversity in space. This article reexamines a study of crime diversity in relation to a neutral model assuming environmental conditions have minimal influence on crime patterns. The original study results show that the variety of crime types in a given area (i.e., crime richness) increases regularly across spatial scales, and is largely consistent with a neutral or random process. This conclusion makes no appeal to the crime-environment dependencies often believed to influence crime occurrence, making the study a worthy candidate for additional scrutiny. The current study first verifies the original study results in Los Angeles, CA, and demonstrates their robustness with alternative crime classification schemes. Next, two alternative methods are used to check whether results differ when (a) locations are sampled randomly from the entire city rather than observed crime locations, and (b) when the unit of analysis is grid cells rather than ''point-buffers'' Finally, all analyses are replicated in St. Louis, MO, as a first look at generalizability. Conclusions are largely consistent with the original study, but important differences arise when alternative sampling techniques and units of analysis are used. Future directions for crime diversity research are discussed.",1043-9862,1552-5406,2018,34,3,312,335,http://dx.doi.org/10.1177/1043986218770002,,22/02/2024
62,n,Are mobile offenders less likely to be caught? The influence of the geographical dispersion of serial offenders' crime locations on their probability of arrest,"Why is it that some offenders get arrested quickly, while others manage to evade arrest much longer or are never arrested at all? What characterizes serial offenders who continue to escape arrest? To be able to answer these questions, arrested (identified) offenders must be compared with never arrested (unidentified) offenders. DNA data offer a unique opportunity to compare crime series of identified offenders with crime series of unidentified offenders. In this paper, data from the Dutch DNA database are used to study whether the geographical dispersion of the crime locations of serial offenders influences the probability of arrest. Results show that the probability of arrest decreases with increasing geographical dispersion, measured as the number of police regions in which the offender's crimes have been committed.",1477-3708,,2013,10,2,168,186,http://dx.doi.org/10.1177/1477370812464533,,22/02/2024
63,n,"DECISION MAKING IN THE CRIME COMMISSION PROCESS Comparing Rapists, Child Molesters, and Victim-Crossover Sex Offenders","Based on a rational choice approach, this study compares the decision making involved in the crime commission process of rapists (n = 30), child molesters (n = 17), and victim-crossover sex offenders (n = 22). Using a mixed-methods framework and following Clarke and Cornish's decision-making model, the authors organized offenders' narratives collected during semistructured interviews into three major areas: (a) offense planning (i.e., premeditation of the crime, estimation of risk of apprehension by the offender, and forensic awareness of the offender); (b) offense strategies (i.e., use of a weapon, use of restraints, use of a vehicle, and level of force used; and (c) aftermath (i.e., event leading to the end of crime and victim release site location choice). Results emphasize the important role of situational factors and age of the victim on the decision-making process of serial sex offenders. Moreover, results show that because of particular choice-structuring properties, the decision making varies across different groups of serial sex offenders.",0093-8548,1552-3594,2012,39,10,1275,1295,http://dx.doi.org/10.1177/0093854812453120,,22/02/2024
64,n,THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY,"Crime pattern theory predicts that offenders commit offences in their activity spaces. We also propose that they most likely offend in the more frequently visited parts. Previous studies wed offenders' residential areas or other activity space proxy measures but lacked data on other routinely visited places (e.g., work, school, and leisure activities). A major contribution of this study is the use of an online survey in which 78 offenders reported on their own activity spaces and committed offences (n = 140). Results show that offending is much more likely in offenders' activity spaces than elsewhere, and effects increase with visiting frequency. Although residential area is a good predictor, offenders' more extensive self-reported activity spaces predict much better where they commit offences.",0007-0955,1464-3529,2020,60,2,303,322,http://dx.doi.org/10.1093/bjc/azz044,,22/02/2024
65,n,Stability in unstable places: property crime in a campus environment,"In recent years, campus crime has become the focus of a growing body of literature; however, spatial analyses only represent a small facet of campus crime research. To date, the majority fails to consider longitudinal aspects of campus crime. To address this gap, this study analyzed geographic similarity between property crime distributions across 3 years of police incident data for a metropolitan university in the southern USA and its surrounding community. Using ArcMap and a spatial test developed by Andresen (Appl Geogr 29(3):333-345, 2009), the degree of similarity between annual, seasonal, and semesterly spatial distributions of property crime were analyzed. The results indicated 41.2% of all property crimes occurred within 5% of locations. Significant levels of similarity for the seasonal and semesterly distributions of on-campus property crime were found, which largely became nonsignificant once zero-crime locations were removed. None of the annual analyses, nor the analyses of the campus and its surrounding community reached a significant level of similarity. The implications of these findings are discussed.",1460-3780,1743-4629,2020,22,2,110,133,http://dx.doi.org/10.1057/s41300-020-00087-6,Feb-20,22/02/2024
66,n,Allocating Police Resources While Limiting Racial Inequality,"Police targeting hot spots of crime tends to disproportionately burden minorities via stops and arrests. This work attempts to reduce disproportionate minority contact by formulating a crime hot spots spatial allocation strategy for police that prioritizes areas of high crime, but constrains the targeted hot spots given different levels of acceptable racial inequality. This racial inequality constraint is measured as the proportion of minorities likely to be stopped in those areas prioritized by police. Using data on stops and crime in New York City, I show that police stops can be more equitably distributed according to race, but there are fundamental trade-offs. One cannot gain a racial distribution of stops proportionately equal to the residential population without large decreases in the efficiency of targeting high crime areas. More modest gains can be had though in reducing the proportion of minorities stopped while still targeting high crime locations.",0741-8825,1745-9109,2020,37,5,842,868,http://dx.doi.org/10.1080/07418825.2019.1630471,Jun-19,22/02/2024
67,n,Hot Spots Across the Metropolis: Evaluating Hot Spots Directed Patrol at City and Suburban Locations,"The effectiveness of hot spots policing is widely supported but past research focuses primarily in high-crime areas within large metropolitan areas. What is unknown is whether the tactic works in less populated or lower crime locations such as suburbs. This study fills this gap by conducting a department-wide hot spots patrol experiment in Louisville, Kentucky. The study used block randomization to identify 47 hot spot pairs, 24 pairs located in the city and 23 pairs in the suburbs. The intervention examined the impact of directed patrol across three difference-in-difference outcomes: crime-related calls for service (CFS), part 1 crimes, and soft crimes. Ordinary least squares regression results indicate the intervention did not have significant effect on the three outcomes; however, hot spot location impacted crime-related CFS. The study concludes by discussing the importance and limitations of hot spots policing in suburban locations and the challenges of department-wide interventions.",0741-8825,1745-9109,2021,38,1,101,123,http://dx.doi.org/10.1080/07418825.2019.1616804,Jun-19,22/02/2024
68,n,Identifying repeat victimization with GIS,"Until recently most attempts at identifying repeat victimization locations have focused on searching address fields in police records. Problems with inaccurate data entry and variation in address format make this method fraught with difficulty and time consuming to correct. This study of burglary suggests that a standard GIS package, searching geo-referenced crime locations can dramatically improve the time and accuracy of identifying repeats. The research presented here appears generally consistent with other published work in that the period of highest risk is immediately after an initial burglary. The study covers a longer period than usual. Two years' worth of data raises issues regarding definitions of repeat victimization.",0007-0955,,1998,38,4,651,662,http://dx.doi.org/10.1093/bjc/38.4.651,,22/02/2024
69,n,Criminal Investigation in Rural Areas: How Police Detectives Manage Remoteness and Resource Scarcity,"This article addresses how rural environments characterized by remoteness impact the work of police detectives in their casework. It reports on an ethnographic study of two investigative departments (working on volume crime and domestic crime) located in Northern Sweden. Interviews (N= 27) and participant observations (N= 56) were conducted in order to examine how investigators approached and managed rural conditions in their daily work. Findings indicate that police investigations in rural areas are characterized by constraints, such as resource shortages, extended set-up times (due to travelling), and challenges in multitasking. The findings identify two main practices for investigating crime in such settings: 'rural investigation' that entails a decentralized approach in which investigators are embedded locally; and 'investigating the rural' that entails a distanced, centralized approach. This article discusses trade-offs and predicted outcomes in crime investigation and highlights how the urban/rural binary divide encompasses a paradoxical tension that investigators must manage continuously.",1752-4512,1752-4520,2021,15,2,1352,1366,http://dx.doi.org/10.1093/police/paaa023,,22/02/2024
70,n,Evidence on the impact of the Prudential Center on crime in downtown Newark,"ObjectivesEvaluate the effects that Prudential Center events had on crime in downtown Newark from 2007 to 2015 in terms of incident counts and spatial characteristics.MethodsWe evaluate the effects of events held at the Prudential Center on crime counts via negative binomial regression. Through the Fasano-Franceschini test, we assess whether crimes that occurred during events spatially differ compared to the incidents in no-event hours. Finally, we employ logistic regression to assess the correlation between crime locations and activity at the center.ResultsFive event types (out of nine) are statistically associated with increases in crime. Spatially, differences in the distribution of incidents when the facility is active partially emerge. Two out of six location types (streets and parking lots) correlate with activity at the center.ConclusionsThe complex array of crime-related effects that the center has on downtown Newark suggests tailored policies discriminating between event and location types for enhancing public safety.",1573-3750,1572-8315,2023,,,,,http://dx.doi.org/10.1007/s11292-023-09576-8,Jun-23,22/02/2024
71,,The crime and the place: Robbery in the night-time economy,"The night-time economy (NTE) provides many opportunities for crime as there is an abundance of potential victims who are often intoxicated and clustered in a small geographical area. Previous research on NTE violence has primarily focused on assault. However, other offences are also common, such as robbery. This study focused on NTE-related robbery using police recorded crime data relating to 1624 personal robberies (including attempts) from West Midlands Police, UK. The data was binary coded to identify and compare offence characteristics. Robbery offences in the NTE showed unique characteristics compared to robberies unrelated to this context. In particular, there were differences in alcohol, use of violence, injuries, approach style and crime locations. The findings of the current research align with theoretical frameworks from environmental criminology (e.g. crime generators and attractors), have implications for crime prevention and investigations and can feed into developing policing strategies that take into account the background context for offending.",1544-4759,1544-4767,2024,21,1,3,19,http://dx.doi.org/10.1002/jip.1616,Jun-23,22/02/2024
72,,Public Perceptions of Child Sexual Exploitation Abroad: A Vignette Experiment on the Influence of Social Distance,"This study examines the impact of social and spatial distance on public opinion about sexual exploitation of children. A randomized vignette experiment among members of a Dutch household panel investigated whether public perceptions of child sexual exploitation were more damning or more lenient when it occurred in a country closer to home, and explored theoretical explanations. The results show that offenses committed in the Netherlands or U.S. are overall perceived as more negative than those committed in Romania or Thailand. Social distance affects public perceptions about crime severity, and victims are attributed more responsibility in socially close than socially distant conditions. The study concludes that public perceptions are contingent upon the crime location, even when applied to child sexual exploitation.",0011-1287,1552-387X,2021,,,,,http://dx.doi.org/10.1177/00111287211064786,Dec-21,22/02/2024
73,,A Metric Comparison of Predictive Hot Spot Techniques and RTM,"There are numerous hot spot mapping techniques that can be used in research and in practice for predicting future crime locations. Due to differences in the varying techniques, metrics were developed to compare the accuracy and precision of these techniques. The predictive accuracy index (PAI) and recapture rate index (RRI) were used to assess six different hot spot techniques. Spatial and Temporal Analysis of Crime, Nearest Neighbor Hierarchical, Kernel Density Estimation, and Risk Terrain Modeling were the general techniques compared in relation to their PAI and RRI values for short-term and long-term prediction of robberies. The results of the study were discussed with an emphasis on the utility of using multiple techniques jointly for analysis.",0741-8825,1745-9109,2016,33,3,369,397,http://dx.doi.org/10.1080/07418825.2014.904393,,22/02/2024
74,,Revisiting the Harm of Hate: A Quasi-Experimental Approach Using the National Crime Victimization Survey,"Early legal challenges to the 1990 Hate Crime Statistics Act were originally excused on the argument that hate crimes hurt more, but there remain some empirical gaps on this topic. Although many works have concluded that biased offenders cause greater harms to their victims relative to unbiased perpetrators, this effect tends to be sensitive to individual and situational factors like victim and offender characteristics, bias motivation, weapon use, or crime location. This type of confounding has the potential to introduce selection bias in the estimation of victimization harms among biased criminal incidents. With data from the National Crime Victimization Survey (2010-2020), I use propensity scores and inverse-probability weighting to show that, on average, victims of bias motivated offenses are more likely to report later physical and emotional harms despite not suffering greater initial injury in incidence. Findings also demonstrate that the harm of hate varies across different bias motivations, with such crimes directed toward those on the basis of disability, gender, and sexual orientation causing greater short- and long-term individual trauma and damage.",0886-2605,1552-6518,2024,,,,,http://dx.doi.org/10.1177/08862605231222683,Jan-24,22/02/2024
75,,Artificial intelligence and video surveillance in space-time crime prediction and detection: a systematic review,"In today's society, crimes are increasing, particularly in the city of Bogota, which has caused many inconveniences to the National Police of Colombia, as well as to the citizen security centers. Given this situation, a time-space prediction of crime and crime hotspots has been proposed with the help of artificial intelligence. Therefore, this paper aims to analyze, summarize, interpret and evaluate the various techniques of space-time prediction of crime with an intelligent view. Due to the very nature of the research, a descriptive-qualitative approach methodology was used, with which structured observation sheets were designed to systematize information from five databases: Scopus, Web of Science, IEEE, ACM, Springer; these publications span from 2019 to June 2021. Consequently, a total of 3015 studies were found, after the screening process and verification of exclusion and inclusion criteria, 132 articles were selected, then questions were applied Psychologist Internal Resident (PIR), thus leaving 18 articles. The main findings indicate that neural network algorithms proved to be one of the most effective methods for the detection of crime hotspots, given that the great advances in technology would help in the coming years to quickly and effectively predict criminal acts and crimes located in any region of the Latin American continent.",1794-3108,2256-5531,2023,65,1,11,25,http://dx.doi.org/10.47741/17943108.398,,22/02/2024
76,,"Unravelling Crime Series Patterns amongst Serial Sex Offenders: Duration, Frequency, and Environmental Consistency","Crime linkage and the investigation of behavioural consistency amongst serial offenders has been a flourishing field of research over the past decade or so, especially with respect to serial sex offenders. The emerging research in this field has often portrayed serial sex offenders as a single, distinct, and homogeneous group. Such an assumption, however, has never been empirically examined. Using a criminal career approach and a sample of 72 serial sex offenders who have committed a total of 361 sexual assaults on stranger victims, the current study aims to examine and describe subgroups of crime series patterns amongst serial sex offenders in terms of duration and frequency of offending. The level of environmental consistency display (i.e. offender's choice of crime location and characteristics of the crime site selected) across subgroups of crime series patterns is also examined. Study findings suggest the presence and heterogeneity of crime series patterns amongst serial sex offenders, advocating for the consideration of subgroups of crime series patterns when studying serial sex offenders. Moreover, the offenders' level of environmental consistency varies across the different crime series patterns identified, allowing for the identification of subgroups of offenders showing a higher or lower level of environmental consistency. Copyright (c) 2014 John Wiley & Sons, Ltd.",1544-4759,1544-4767,2014,11,3,253,275,http://dx.doi.org/10.1002/jip.1418,,22/02/2024
77,,Testing the Stability of Crime Patterns: Implications for Theory and Policy,"Recent research in the crime at places'' literature is concerned with smaller units of analysis than conventional spatial criminology. An important issue is whether the spatial patterns observed in conventional spatial criminology focused on neighborhoods remain when the analysis shifts to street segments. In this article, the authors use a new spatial point pattern test that identifies the similarity in spatial point patterns. This test is local in nature such that the output can be mapped showing where differences are present. Using this test, the authors investigate the stability of crime patterns moving from census tracts to dissemination areas to street segments. The authors find that general crime patterns are somewhat similar at all spatial scales, but finer scales of analysis reveal significant variations within larger units. This result demonstrates the importance of analyzing crime patterns at small scales and has important implications for further theoretical development and policy implementation.",0022-4278,1552-731X,2011,48,1,58,82,http://dx.doi.org/10.1177/0022427810384136,,22/02/2024
78,,Deconstructing journey-to-crime?s questionable validity in theft-related crimes,"Purpose: This study empirically quantifies the methodological biases of the journey-to-crime measurement, by investigating the extent to which they affect its ability to estimate the itineraries offenders actually travel during the perpetration of their crimes.Methods: With the support of police-arrest records, interviews, and web-mapping technologies, the detailed route taken by 98 offenders during 449 theft-related crimes are reconstructed in order to test some of the key assumptions underlying journey-to-crime research.Results: Police data used to compute home-crime distances have been found to provide satisfactorily accurate crime-location addresses, but poorly accurate offender home-addresses. Several explanations of why the police have problems correctly identifying where an offender is truly residing on the day of a given crime are presented. Even if the offender's residence was the most important node in their crime journey, the actual travel undertaken by offenders was much more complex than the home-crime-home itinerary assumed by the journey-to-crime measurement.Conclusions: Despite its numerous drawbacks, the traditional journey-to-crime measure is still a valid and useful proxy for the total distance actually traveled by offenders in robbery and other theft, but not in burglary and motor-vehicle theft. Implications for criminal mobility research and future studies are discussed.",0047-2352,1873-6203,2023,86,,,,http://dx.doi.org/10.1016/j.jcrimjus.2023.102052,Mar-23,22/02/2024
79,,Crime patterns during the market transition in China,"A sizable literature on crime patterns during periods of social change and modernization has been developed. A number of theories have been proposed to explain variations in crime levels; these theories have largely been rooted in the classical Durkheimian theory of anomie. Most empirical studies of crime patterns examine levels of violent and property crimes and link variations in the levels of these crimes to indicators of social change and modernization using cross-national data. Moving beyond the conventional focus on levels of violent and property crimes, the present study focuses on whether rates of economically motivated crimes (e.g. larceny, grand larceny, robbery and fraud) increased faster than less or non-economically motivated crimes (e.g. homicide, assault and rape) during the period of social change from state socialism to a market economy in China. The study finds that economically motivated crimes have increased faster than less or non-economically motivated crimes. The paper is in favour of a structural explanation that expanding economic motivation is a driving force for economically motivated crimes during the transition to a market economy in China. This explanation is more consistent with the patterns of crime found than conventional anomie-based explanations in their accounting for the crime patterns.",0007-0955,1464-3529,2005,45,5,613,633,http://dx.doi.org/10.1093/bjc/azi044,,22/02/2024
80,,A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,"Many offenses take place close to where the offender lives. Anecdotal evidence suggests that offenders also might commit crimes near their former homes. Building on crime pattern theory and combining information from police records and other sources, this study confirms that offenders who commit robberies, residential burglaries, thefts from vehicles, and assaults are more likely to target their current and former residential areas than similar areas they never lived in. In support of the argument that spatial awareness mediates the effects of past and current residence, it also is shown that areas of past and present residence are more likely to be targeted if the offender lived in the area for a long time instead of briefly and if the offender has moved away from the area only recently rather than a long time ago. The theoretical implications of these findings and their use for investigative purposes are discussed, and suggestions for future inquiry are made.",0011-1384,1745-9125,2010,48,2,389,416,http://dx.doi.org/10.1111/j.1745-9125.2010.00190.x,,22/02/2024
81,,Predicting Initiator and Near Repeat Events in Spatiotemporal Crime Patterns: An Analysis of Residential Burglary and Motor Vehicle Theft,"Near repeat analysis has been increasingly used to measure the spatiotemporal clustering of crime in contemporary criminology. Despite its predictive capacity, the typically short time frame of near repeat crime patterns can negatively affect the crime prevention utility of near repeat analysis. Thus, recent research has argued for a greater understanding of the types of places that are most likely to generate near repeat crime patterns. The current study contributes to the literature through a spatiotemporal analysis of residential burglary and motor vehicle theft in Indianapolis, IN. Near Repeat analyses were followed by multinomial logistic regression models to identify covariates related to the occurrence of initiator (the first event in a near repeat chain) and near repeat (the subsequent event in a near repeat chain) events. The overall findings provide additional support for the argument that neighborhood context can influence the formation and context of spatiotemporal crime patterns.",0741-8825,1745-9109,2018,35,5,842,870,http://dx.doi.org/10.1080/07418825.2017.1342854,,22/02/2024
82,,"It's no riddle, choose the middle - The effect of number of crimes and topographical detail on police officer predictions of serial burglars' home locations","This study examines the effect of the number of crimes and topographical detail on police officer predictions of serial burglars' home locations. Officers are given 36 maps depicting three, five, or seven crime sites and topographical or no topographical details. They are asked to predict, by marking an X on the map, where they thought each burglar lived. After making their predictions on half of the maps, officers randomly receive either no training or training in one of two simple decision-making strategies. The accuracy of predictions at baseline and retest is measured as the distance between the predicted and actual home locations, and these accuracy scores are compared to a commonly used geographic profiling system. Results show that training significantly improved predictive accuracy, regardless of the number of crime locations or topographical detail presented. In addition, trained participants are as accurate as the geographic profiling system.",0093-8548,,2007,34,1,119,132,http://dx.doi.org/10.1177/0093854806290161,,22/02/2024
83,,Testing a rational choice model of airline hijackings,"Using data that combines information from the Federal Aviation Administration, the RAND Corporation and a newly developed database on global terrorist activity, we are able to examine trends in 1,101 attempted aerial hijackings that occurred around the world from 1931 to 2003. We have especially complete information for 828 hijackings that occurred before 1986. Using a rational choice theoretical framework, we use continuous-time survival analysis to estimate the impact of several major counterhijacking interventions on the hazard of differently motivated hijacking attempts and logistic regression analysis to model the predictors of successful hijackings. Some of these interventions use certainty-based strategies of target hardening to reduce the perceived likelihood of success. Others focus on raising the perceived costs of hijacking by increasing the severity of punishment. We also assess which strategies were most effective in deterring hijackers, whose major purpose was related to terrorism. We found support for the conclusion that new hijacking attempts were less likely to be undertaken when the certainty of apprehension was increased through metal detectors and law enforcement at passenger checkpoints. We also found that fewer hijackers attempted to divert airliners to Cuba once that country made it a crime to hijack flights. Our results support the contagion view that hijacking rates significantly increase after a series of hijackings closely clustered in time-but only when these attempts were successful. Finally, we found that the policy interventions examined here significantly decreased the likelihood of nonterrorist but not that of terrorist hijackings.",0011-1384,,2005,43,4,1031,1065,http://dx.doi.org/10.1111/j.1745-9125.2005.00032.x,,22/02/2024
84,,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,"Features of the environment including activity nodes and the level of connectivity in spaces help offenders develop awareness spaces for criminal opportunities. Based on arguments forwarded by Felson, the current study argues these environmental features also facilitate convergence spaces that promote interaction among offenders that increase the likelihood of group crime. Data include street connectivity measures from the Environmental Protection Agency and publicly available arrest information from Baltimore City (2013-16). Findings provide support for the influence of certain activity nodes and pedestrian-oriented street connectivity in explaining group crime. The discussion evaluates how crime pattern theory can be extended to understand the social nature of crime.",0007-0955,1464-3529,2022,62,3,681,698,http://dx.doi.org/10.1093/bjc/azab093,Sep-21,22/02/2024
85,,Does the Police-Monitored CCTV Scheme Really Matter on Crime Reduction? A Quasi-Experimental Test in Taiwan's Taipei City,"Although numerous public closed-circuit television (CCTV) initiatives have been implemented at varying levels in Taiwan's cities and counties, systematic evaluations of these crime reduction efforts have been largely overlooked. To address this void, a quasi-experimental evaluation research project was designed to assess the effect of police-monitored CCTV on crime reduction in Taipei City for a period of 54 months, including data for both before and after camera installation dates. A total of 40 viewsheds within a 100-m (328 feet) radius were selected as research sites to observe variations in four types of crime incidents that became known to police during the January 2008 to June 2012 period. While crime incidents occurring in both the target and control sites were reduced in frequency after CCTV installation, results derived from time-series analysis indicated that the monitoring had no significant effect on the reduction of property crime incidents with the sole exception of robbery. With respect to the effects of comparing target and control sites, the average Crime Reduction Quotient (CRQ) was 0.36, suggesting that CCTV has an overall marginal yet noteworthy influence. Viewed broadly, however, the police-installed CCTV system in Taipei City did not appear to be as efficient as one would expect. Conversely, cameras installed in some observation sites proved to be significantly more effective than cameras in other sites. As a recommendation, future researchers should identify how particular micro-level attributes may lead to CCTV cameras working more effectively, thereby optimizing location choices where monitoring will prove to be most productive.",0306-624X,1552-6933,2019,63,1,101,134,http://dx.doi.org/10.1177/0306624X18780101,,22/02/2024
86,,Predictability of gun crimes: a comparison of hot spot and risk terrain modelling techniques,"The current study was designed to assess the possible differences in the accuracy and precision of two methodological mapping techniques as predictors of future gun crimes in Little Rock, AR: (1) risk terrain modelling (RTM) and (2) nearest neighbour hierarchical (Nnh), a traditional hot spot technique, which relies on past crime to predict where future crime is likely to occur. Data from the Little Rock Police Department, the Little Rock Treasury Department and the 2000 census were used to examine Nnh hot spot and RTM methods of gun crime prediction. The RTM incorporated measures of crime generators and crime attractors, while Nnh hot spots were constructed from 2008 gun crime data. The two measures were compared using their predictive accuracy index (PAI) and recapture rate index (RRI) values. Six of the seven social and physical environmental measures in the RTM significantly predicted future gun crime locations and the Nnh hot spots predicted 7% of future gun crime. PAI and RRI values suggested the RTM was more precise than the Nnh hot spot technique and the Nnh hot spot technique was more accurate than the RTM technique. Relying on one spatial prediction technique may create problems with accuracy and reliability. Multiple techniques may be needed to fully assess the phenomenon. Accuracy is a potential limitation of RTM when compared to other techniques, however, RTM is more reliable than Nnh hot spots due to the inclusion of the environmental backcloth. The findings were discussed in relation to crime prediction and policing efforts.",1043-9463,1477-2728,2016,26,3,312,331,http://dx.doi.org/10.1080/10439463.2014.942851,,22/02/2024
87,,Detecting spatial movement of intra-region crime patterns over time,"Many of the traditional measures of the degree to which crime patterns change over space and time have limitations. In particular most are unable to determine any change in spatial crime pattern within an areal unit. Usually studies measure the change in crime levels in contiguous areas (expressed as discrete sub-divisions of a study area), but this can become problematic due to difficulties such as the Modi. able Areal Unit Problem (MAUP). This paper describes a technique developed to allow researchers to examine intra-study region changes in crime patterns between two time periods without the need to aggregate crime counts to within-city areal boundaries. The method presented uses a random point nearest neighbor test combined with a Monte Carlo simulation. The process resolves problems of patterning and the MAUP that are common with a number of spatial displacement and pattern movement studies. This technique is demonstrated with example data from a city-wide police burglary crackdown in the Australian capital.",0748-4518,,2005,21,1,103,123,http://dx.doi.org/10.1007/s10940-004-1789-0,,22/02/2024
88,,Number of participants in multiple perpetrator sexual aggressions,"The present study aims to explore differences between lone, duo and 3+ group sexual aggressions by adult strangers from a Spanish sample based on victims' and offenders' socio-demographic characteristics and sexual offences. Additionally, the study aims to provide evidence of whether duo offences should be considered a different category that MPR and whether we can differentiate them from lone and 3+ group offenders. A sample of 400 sexual stranger offenders whose victims were women over 13 years of age has been analysed to find differences and predictive variables for lone (N = 298), duo (N = 43) and 3+ group (N = 59) sexual aggressions. Kruskal-Wallis tests and chi-squared analysis were used to compare the three groups and then multinomial logistic regression analysis were conducted to identify the predictive variables of group size. Results support previous studies comparing group sexual offences by its size; and that duos could be a singular category with more similarities with multiple perpetrator rape offences (age and ethnicity of offenders, similar violent control and sexual behaviour during the aggression). Some singularities have also been encountered, such as higher levels of alcohol and drug use of the perpetrators; severe consequences of their actions with more injuries to their victims; use of weapons; and less use of vehicles, which can be related to crime locations that are rarely outdoors.",1355-3259,2044-8333,2023,28,1,122,135,http://dx.doi.org/10.1111/lcrp.12229,Sep-22,22/02/2024
89,,Finding a Serial Burglar's Home Using Distance Decay and Conditional Origin-Destination Patterns: A Test of Empirical Bayes Journey-to-Crime Estimation in The Hague,"Can we tell where an offender lives from where he or she commits crimes? Journey-to-crime estimation is a tool that uses crime locations to tell us where to search for a serial offender's home. In this paper, we test a new method: empirical Bayes journey-to-crime estimation. It differs from previous methods because it utilises an 'origin-destination' rule in addition to the 'distance decay' rule that prior methods have used. In the new method, the profiler not only asks 'what distances did previous offenders travel between their home and the crime scenes?' but also 'where did previous offenders live who offended at the locations included in the crime series I investigate right now?'. The new method could not only improve predictive accuracy, it could also reduce the traditional distinction between marauding and commuting offenders. Utilising the CrimeStat software, we apply the new method to 62 serial burglars in The Hague, The Netherlands, and show that the new method has higher predictive accuracy than methods that only exploit a distance decay rule. The new method not only improves the accuracy of predicting the homes of commuters-offenders who live outside their offending area-it also improves the search for marauders-offenders who live inside their offending area. After presenting an example of the application of the technique for prediction of a specific burglar, we discuss the limitations of the method and offer some suggestions for its future development. Copyright (C) 2009 John Wiley & Sons, Ltd.",1544-4759,,2009,6,3,187,211,http://dx.doi.org/10.1002/jip.108,,22/02/2024
