Title,Study_Period,Data_Collection_Period,Data_Sources,Data_Availability,Population_per_Unit,Quoted_Rationale,Rationale_Category,Justification_Summary,Country,City_Region,Study_Area_Size,Crime_Type,Crime_Types_All,Sample_Size,Number_of_Crimes_Analyzed,Number_of_Offenders,Sampling_Approach,Choice_Set_Definition,Alternative_Selection,Sample_Restrictions,Sample_Limitations,Study_Design,Discrete_Choice_Model,Estimation_Method,Model_Comparison,Sample_Size_Effects,Robustness_Checks,Significant_Predictors,Effect_Directions,Scale_Effects,Scale_Sensitivity,Scale_Recommendations,Scale_Limitations,Cross_Scale_Comparisons,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Data_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",1996-2001,1996-2001,"Statistical publication of the municipality of The Hague (DSO, 2001); Police records from the police force of Haaglanden; Real estate tax administration data",Limited by a residential burglary clearance rate of about 6 percent,4950,"Not explicitly stated, but implied by data source",Data availability,Neighborhoods were used as spatial units because they are the administrative divisions for which data was readily available from the municipality of The Hague,Netherlands,The Hague,Not explicitly provided; average neighborhood size is 0.65 square kilometers,Residential burglary,NA,89 neighborhoods.,"Approximately 26,000 residential burglaries.",Not explicitly mentioned.,Data from police records and focus on neighborhoods within The Hague.,Spatially weighted measure of proximity to potential burglars and their homes.,Not explicitly mentioned.,Excluded non-residential neighborhoods; low clearance rate might affect representativeness.,NA,Cross-sectional,NA,NA,Comparison of explained variance between models,NA,NA,"Proximity to burglars' homes, proximity to the CBD, lack of territoriality, and affluence.",These variables increase the likelihood of burglary in neighborhoods.,"The study finds that proximity to burglars' homes and the central business district significantly influences burglary rates, indicating a scale effect where nearness matters.","The results are sensitive to the spatial scale used, as the analysis at the neighborhood level captures significant spatial autocorrelation.",Not explicitly mentioned.,"The analysis is spatially truncated at the city boundaries, which may not fully capture the influence of burglars living outside the city.",Not mentioned.,SWEBER measure does not link offenders' homes to crime locations; low clearance rate might make apprehended burglars unrepresentative.,No mobility data available for 2000 and 2001.,Police-recorded data limited by low clearance rate.,Operationalization of ethnic heterogeneity and residential mobility.,Data from 1996 to 2001; might not capture changes outside this period.,NA,"The study's findings are based on data from a single city, which may not generalize to other urban environments or contexts.","The study's findings are specific to The Hague, Netherlands, and may not apply to other cities with different demographic, economic, or spatial characteristics.","The study is limited to a specific time period and location, making it difficult to compare findings across different contexts or time periods.",Use spatially weighted measures for optimal spatial units.,Collect data on accessibility and spatial dynamics.,Use spatially weighted measures for better analysis.,Ethnic Heterogeneity; Residential Mobility,2,Percentage of owner-occupied dwellings; Average real estate value of residential units; Home ownership,3,Residential units' visible cues; Public facilities in the central business district; Likelihood of successful completion; Social cohesion and collective efficacy; Mobility of burglars,5,Journey-to-crime; Distance decay pattern; SWEBER (spatially weighted burglar exposition rate); Proximity to CBD; Concentric zone model,5,Ethnic Heterogeneity; Residential Mobility; Real Estate Value; Home Ownership; Proximity to Central Business District; Moran's I Statistic,6,21
Effects of residential history on commercial robbers' crime location choices,2004-2005,2004-2005,"National Commercial Robbery Registration System (LORS); Nationwide Citizen Information System (GBA); Database containing demographic, social, and economic information on postal code areas",Limited by reliability of residential addresses in GBA system,"Average population size of 4900, average number of households of 2100","""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""",Theory–method,"Postal code areas are chosen because they represent familiar areas for residents, consistent with crime pattern theory.",Netherlands,Nationwide,4006 postal code areas,Commercial robbery,NA,276 robberies used for hypothesis testing.,4657 initial robberies; 398 solitary offender robberies; 276 used for analysis.,"Not explicitly mentioned, but each robbery is associated with one solitary offender.","Selected all commercial robberies in 2004 and 2005, then filtered for solitary offenders with available residential histories.",Compared targeted postal code areas with alternative areas not targeted by offenders.,Postal code areas not targeted by offenders were used as alternatives.,"Limited to commercial robberies in 2004 and 2005, solitary offenders, and those with available residential histories.",NA,Cross-sectional,Conditional logit,NA,Not mentioned (no comparisons between different model specifications),"The limited sample size affected model performance, leading to weak or absent statistical significance for some effects.",NA,"Duration of residence in current and former areas, recency of residence in former areas.",Longer durations and more recent residences increase choice probability.,"The use of postal code areas as spatial units is justified by their size and population, approximating familiarity areas.","The choice of a 2-year threshold is arbitrary; models were run with different thresholds (1, 2, 3, and 5 years).",Not explicitly mentioned.,Limited sample size affects statistical significance; awareness space is larger than measured areas.,Not mentioned.,Inaccuracies in residential addresses in the GBA system; data unreliability masking real effects.,Limited sample size.,GBA system inaccuracies in reflecting current residences.,Approximation of 'awareness space' by residential experience.,Focus on 2004 and 2005.,NA,Findings may not generalize to other types of crimes or geographical contexts.,Findings are specific to commercial robberies in the Netherlands.,No direct comparisons across different contexts or time periods.,Explore other spatial scales or units for analysis.,Consider direct measurements of awareness space by contacting offenders for their recollections of past spatial behavior.,Improve the reliability of residential histories by assessing their accuracy through offender accounts.,Population density; Population size; Population percentages of 15-25-year-old; Foreign-born residents; Single residents,5,Mean value of residential property; Total floor area of retail businesses,2,Total floor area of retail businesses; Postal code area characteristics,2,Distance to the nearest highway ramp; Distance between current residence and crime location,2,"Total floor area of retail businesses; Distance to the nearest highway ramp; Mean value of residential property; Population density; Population size; Population percentages of 15-25-year-old, foreign-born, and single residents; Distance decay; Duration of residence",8,19
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,2009-2018,2009-2018,New Zealand Police National Intelligence Application (NIA); NZ Statistics Census and Business Demography data,NA,"Typically 2,000-4,000 residents","""Consistent with previous studies (e.g., Clare et al., 2009; Townsley et al., 2015), we use SA2s as the spatial unit to examine meso-level spatial choices.""",Prior research / Theory–method,SA2s were chosen for consistency with previous studies and to balance spatial spill-over and heterogeneity considerations.,New Zealand,Not specified,Median of 1.2 km² (range: 0.84 to 2.2 km² for 50% of areas),Residential burglaries,NA,NA,"17,054 residential burglaries, 10,353 non-residential burglaries, 1,977 commercial robberies, 4,315 personal robberies, 4,421 extra-familial sex offenses",NA,Stratified importance sampling,Neighborhoods (SA2s) as alternatives,"Chosen SA2, SA2s with activity nodes within 5 km, and 10 randomly selected SA2s",Random sample of 50% of reference offenses per crime type,NA,Cross-sectional,Conditional logit,Maximum likelihood (implied),Not mentioned.,Not mentioned.,NA,Presence of H f H s nodes.,H f H s nodes increase choice probability.,"The results were most pronounced within the SA2 distance band, indicating that proximity to activity nodes is more significant within the same spatial unit.",The study included a range of distances to examine the effect of proximity to activity nodes.,The use of SA2s is justified as balancing spatial spill-over and heterogeneity risks.,Not mentioned.,Not mentioned.,Data does not capture all pre-offense activity locations; imprecision in filling missing data; overestimation of frequency for certain activity locations.,Not all pre-offense activity locations captured; missing data required imputation.,Police administrative data may not capture all relevant activity locations.,Reliability and relevance measures are proxies; frequency overestimation for certain activity locations.,Not mentioned.,NA,"Findings likely generalize beyond included crimes, but further research is needed; the study supports generalizability across contexts.","Findings are based on New Zealand data, which may have unique characteristics; further testing is needed for other contexts.",The study does not compare across different contexts or time periods; future research should explore these aspects.,Not mentioned.,Future research should consider using time-use surveys and in-depth interviews for more detailed data.,The study suggests using complementary methods to improve data completeness and detail.,Gender; Age,2,Number of premises per SA2; Number of business units in commercial or public industries,2,Number of households; Number of business units in any industry; Number of business units in commercial industries; Number of business units in commercial or public industries,4,Distance to activity nodes; Distance decay,2,Opportunity Variables; Distance Bands,2,12
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,2006-2009,2006-2009,Police information system; Population registration data (BRP); LISA data; Census-like statistics from Statistics Netherlands,NA,"Average population size of around 7,000","""The four-digit postal areas are therefore perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area.""",Theory–method,"The spatial units were chosen because they are familiar to residents and visitors, aligning with the study's focus on awareness spaces.",Netherlands,Greater The Hague area,2.96 km²,Not specified,NA,"19,420 offenses.","19,420.","7,910.",Data from the police information system was used to sample offenders and their offenses.,"Four-digit postal code areas in the greater The Hague area, totaling 142 alternative areas.",Alternatives were selected based on the four-digit postal code areas.,"Excluded non-felony offenses, offenders under 12 years old, and those without a known residential address in the area.",NA,Cross-sectional,Conditional logit,Not explicitly mentioned (implied maximum likelihood),NA,NA,NA,Current and former residential areas of family members.,Current familial residential areas increase the probability of being targeted more than former familial residential areas.,"The study uses four-digit postal code areas as the spatial unit, with an average population size of around 7,000 and an average area size of 2.96 km².",Not mentioned.,Replications should be conducted in a larger geographical area to increase generalizability.,The findings may not apply equally to all offenders due to varying relationships with family members.,Not mentioned.,Indirect measurement of awareness spaces based on family visits.,No direct data on offenders' time spent in family members' areas.,Reliance on register data without direct activity measures.,Awareness spaces not directly measured.,No consideration of changes in awareness spaces over time.,NA,Findings may not generalize to other geographical areas or populations due to the specific urban context.,Findings are specific to the urban context of The Hague.,The study does not allow for comparisons across different crime types or contexts.,Research should be conducted in larger geographical areas.,Direct measurement of awareness spaces is recommended.,Future studies should improve data collection by directly measuring awareness spaces.,Population density; Proportion of single-person households; Proportion of residents with a non-Western background; Average population size; Average area size; Urban nature of the study area; Ethnic diversity,7,"Population Density; Proportion of Single-Person Households; Proportion of Residents with a Non-Western Background; Number of Retail Stores; Number of Hotels Restaurants Bars; Number of Schools; Number of Culture, Health-Care, and Sports/Leisure Facilities; Number of People Working",8,"Retail stores; Bars/nightlife; Schools; Culture, health-care, and sports/leisure facilities; Guardianship",5,Euclidean Distance,1,"Previous Crime Location; Distance; Population Density; Single-Person Households; Non-Western Background; Retail Stores; Hotels Restaurants Bars; Schools; Culture, Health-Care, and Sports/Leisure Facilities; People Working",10,31
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,"January 1, 2001, to December 31, 2002",2001 and 2002,Western Australian Police; Australian Bureau of Statistics (ABS),Limited by low identification rate of offenders; only 49.7% of identified cases were included in the final dataset,"Average of 4,669 residents","Not explicitly stated, but implied due to administrative convenience and data availability",Data availability / Admin convenience,Suburbs were chosen due to their alignment with administrative units and available data in Western Australia,Australia,Perth,6.76 km² (average size of suburbs),Residential burglary,NA,"1,761 single-offender burglary incidents.","1,761.","At least 1,761 unique offenders.",Data from Western Australian Police on residential burglary incidents.,291 residential suburbs selected as potential targets.,Suburbs included as part of the choice set for each offender.,Excluded cases with multiple offenders per incident; excluded offenders residing outside Perth metropolitan area.,NA,Cross-sectional,Conditional logit,Maximum likelihood,NA,Clustering of cases considered to ensure robust standard errors,NA,"Physical barriers (rivers and major roads), connectors (train lines), distance, and age.","Barriers decrease choice probability; connectors increase it. Distance decreases choice probability, with a greater effect for juveniles.","The choice of spatial scale can significantly impact the results, as crime rates can vary across small areas.",Not mentioned.,Future research should use more artificially constructed and uniform areas to minimize limitations.,The current scale may not fully capture variability in crime rates.,Not mentioned.,Low detection rate may have influenced outcomes in a nonrandom way.,Unique identification of offenders was not possible.,Exclusion of suburbs outside Perth metropolitan area.,Model may not fully account for unconscious routine behaviors.,NA,NA,Exclusion of suburbs outside Perth metropolitan area limits generalizability.,"Findings are specific to Perth, Western Australia.",Spatial scale selection may not be applicable across different cities.,Use more uniform areas for analysis.,Not mentioned.,Consider the role of unconscious routine in offender behavior.,Age; Indigenous Status; Sex; Population Size; Population Density; Ethnic Heterogeneity; Residential Mobility Rates; Total Residential Units,8,Victim Suburb Weekly Income; Socio-Economic Index for Areas (SEIFA); Median Weekly Income Bracket,3,Physical Barriers - Swan River; Physical Barriers - Major Roads; Connectors - Train Network; Land Use - Suburb Size; Land Use - Population Density,5,W ij; F ij; T ij; D ij; A i/J i,5,Time Period; Clustering,2,23
Go where the money is: modeling street robbers' location choices,1996-1998,1996-1998,"Chicago Police Department records; detailed information on land use, population, and activities in census blocks",Limited by lack of arrest in most cases; no information on prior crimes or past residential addresses,118 residents,"""To improve our understanding of the fine-grained spatial decisions of street robbers, we zoom in to the level of census blocks""",Theory–method / Scale optimization,Census blocks were chosen for detailed analysis of robbery locations,United States,Chicago,Not explicitly mentioned in km² or other units,Street robbery,NA,6000 robberies,"12,938 cleared cases","18,114",Simple random sampling,Random sample of 6000 robberies with 6000 potential target blocks for each,Simple random sampling,Cleared cases with at least one arrested offender who is a Chicago resident,NA,Cross-sectional,"Multinomial logit, Universal logit","Weighted exogenous sample maximum likelihood (WESML), Bootstrapping",Multinomial vs. universal logit models discussed in terms of spatial spillover effects,Sampling and bootstrapping used to improve estimation efficiency,NA,"Presence of legal businesses (e.g., pawn shops, grocery stores), illegal businesses (e.g., drug dealing), accessibility (e.g., main streets, El stations), racial/ethnic composition matching the robber's background.",These predictors increase the probability of a block being chosen for robbery.,"The study uses census blocks as the spatial unit of analysis, which is finer than larger urban areas or census tracts. This allows for the analysis of spatial spillover effects.","The results varied with the use of census blocks, enabling the detection of spatial spillover effects.",The use of census blocks suggests a preference for finer scales to capture detailed spatial dynamics.,The computational challenge of analyzing a large number of census blocks required sampling from alternatives.,The study contrasts its approach with classic studies that used larger spatial units.,Inability to identify offenders across multiple robberies.,Lack of information on prior crimes or past residential addresses of offenders.,No localized measures of deterrent factors.,Assumption that robbers have detailed knowledge of all census blocks.,Neglect of temporal variations and constraints.,NA,The study's findings might not generalize to other cities or contexts.,The findings are specific to the context of Chicago.,The study does not provide direct comparisons across different contexts or time periods.,Use smaller spatial units like census blocks for detailed analysis.,Gather more detailed information on offenders' spatial awareness and prior experiences.,Incorporate spatial spillover effects and temporal considerations into models.,Total number of residents in the census block; Racial and ethnic composition of the population; Age of offenders; Gender of offenders; Racial and ethnic background of offenders,5,Presence of legal cash economies; Presence of illegal cash economies; Accessibility of a block; Racial and ethnic segregation,4,Presence of legal cash economies; Presence of illegal cash economies; Presence of high schools; Presence of El stations; Land use and activities,5,Euclidean Distance; Accessibility Along Main Streets; Proximity to El Stations; Social Barriers,4,Year; Accessibility; Spatial Lags; Racial/Ethnic Composition,4,22
Graffiti Writers Choose Locations That Optimize Exposure,NA,November 2017,Systematic Social Observation (SSO),Data and scripts available on https://github.com/KKural/SSO_graffiti,NA,"""We adopted street segments as our spatial unit of analysis, aligning with recent research advocating the use of street segments or similarly sized spatial units for analyzing crime and disorder.""",Theory–method,Street segments were chosen because they align with human observational limitations and are suitable for measuring exposure.,Belgium,Ghent,NA,Graffiti writing,NA,"12,655 graffiti instances across 2,233 street segments","12,655 graffiti instances",NA,Systematic Social Observation (SSO),Street segments as spatial units of analysis,Based on crowd-attracting facilities and exposure characteristics,"Restricted to Ghent city center, publicly accessible or visible locations",NA,Cross-sectional,Conditional logit,Maximum likelihood (implied),Model 2 has a lower AIC value compared to Model 1,NA,NA,"Presence of bars, night shops, residential units, schools, and street network centrality.","Increased probability for bars, night shops, residential units, schools, and street network centrality; decreased probability for trees.",NA,NA,NA,The study is limited to the city center of Ghent and does not include graffiti along railway tracks or on trains.,NA,Focus primarily on exposure; exclusion of variables due to inter-rater reliability issues.,Graffiti along railway tracks and in inaccessible locations.,Specific urban context; limited to Ghent city center.,Factors examined may not cover all motivations for graffiti writers.,NA,NA,The findings are specific to the urban context of Ghent and may not generalize to other cities or contexts due to differences in graffiti culture and public perceptions.,"The findings are highly context-specific, as they are derived from a specific urban environment and may not apply to other settings.","The study does not provide a basis for comparison across different contexts or time periods, as it is focused on a specific urban environment.",Not mentioned.,Not mentioned.,Use qualitative research methods.,Presence of Schools; Residential Units,2,NA,0,Residential Units; Bars; Night Shops; Nightclubs; Restaurants; Schools; Trees; Broken Windows; Street Segment Type,9,Street Segments; Bridges; Intersections; Trams and Buses; Betweenness,5,Surface Area; Type of Street Segment; Presence of Bars; Presence of Night Shops; Presence of Nightclubs; Presence of Restaurants; Presence of Schools; Presence of Trees,8,24
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,1996-2001,1996-2001,Haaglanden police force; statistical publications of the municipality of The Hague,Limited by a low detection rate of 7%,"4,952 residents",Not explicitly quoted,Data availability / Admin convenience,Chosen based on administrative boundaries and data availability from the municipality of The Hague,Netherlands,The Hague,Approximately 57.85 square kilometers,Residential burglary,NA,548 single-offender burglaries.,548.,290.,"Data on residential burglaries from police records in The Hague, 1996-2001.",Each burglary associated with all 89 neighbourhoods in The Hague.,All 89 neighbourhoods considered as potential alternatives for each burglary.,Excluded burglaries outside The Hague and multiple-offender burglaries.,NA,Cross-sectional,Conditional logit,Maximum likelihood,Not mentioned (no comparisons between different model specifications),Not mentioned (no discussion on how sample size affected model performance),NA,"Ethnic heterogeneity, percentage of single-family dwellings, proximity to the offender's home, number of residential units.","Increased ethnic heterogeneity and percentage of single-family dwellings increase the likelihood of selection. Proximity to the offender's home increases the likelihood, while proximity to the city center decreases it.","The discrete spatial choice approach considers spatial scale by evaluating the utility of each potential target area based on attributes such as affluence, accessibility, and proximity to the offender's home.",Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Low detection rate could bias results if related to location choice criteria; no systematic relationship found between neighbourhood characteristics and clearance rates.,Burglaries outside The Hague excluded due to lack of data on neighbourhood characteristics.,Limited to The Hague due to unavailability of data on other areas.,Assumption that all choice criteria are equally important for all burglars.,Not mentioned.,NA,Limited to the city of The Hague; findings may not be generalizable to other cities due to differences in urban social structures.,Findings specific to The Hague; results may be influenced by unique city characteristics.,No comparison across different contexts or time periods.,The study suggests using neighborhood-level data for analysis.,The study implies the need for detailed data on neighborhood characteristics and offender attributes.,The use of the conditional logit model is recommended for its ease of estimation and interpretation.,Ethnic Heterogeneity; Residential Mobility; Age of Burglar; Ethnic Origin of Burglar; Percentage of Single-Family Dwellings,5,Average Residential Real Estate Value,1,Percentage of single-family dwellings; Number of residential units,2,Proximity to Offender's Home; Proximity to City Centre; Distance Between Neighbourhoods,3,Proximity to City Centre; Proximity to Burglar's Home; Ethnic Heterogeneity; Residential Mobility; Real Estate Value; Number of Residential Units; Age of Burglar; Ethnic Origin of Burglar,8,19
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,2017-2018,"2016, 2017, 2019",Baidu Street View images; crime data from the police department of ZG city,Data is reasonably matched in time; no significant changes expected in the built environment,Not specified,Not explicitly stated,Not specified,Communities are used as spatial units likely due to their relevance for socioeconomic analysis and residence-crime proximity.,China,"ZG city, southeast China",NA,Street theft crime,NA,"2,519,440 observations.",1540 street theft crimes.,At least 1540 unique offenders.,Communities in ZG city serve as spatial units or alternatives.,"Communities are potential locations for crimes, with a dichotomous dependent variable.","Alternatives are communities that can be chosen for committing a crime, with the number varying by offender.",Excludes co-offending crimes and crimes by non-residents of ZG city.,NA,Cross-sectional,Conditional logit,Maximum likelihood,"Model 2 has a better fit than Model 1 based on log-likelihood, AIC, and pseudo R-squared values",NA,NA,"Number of people on the street, fences, plants, grasses, sidewalks, and proximity to the offender's residence.","More people on the street, fences, and plants increase choice probability; more grasses and sidewalks decrease it.",NA,NA,NA,NA,NA,SVIs are static and cannot capture dynamic changes in on-street population.,"Small objects like broken windows, litter, and graffiti are not accounted for.",SVIs are limited by their static nature.,Uniform alternative set for offenders may not reflect individual preferences.,SVIs cannot capture temporal changes in on-street population.,NA,"The findings are generally aligned with previous studies, but the study's focus on a specific city in China may limit generalizability to other contexts.","The study's findings are specific to the context of ZG city, and the use of Baidu Street View images may not be applicable in other regions where such data is not available or is less detailed.","The study does not compare across different cities or time periods, which could provide insights into how findings vary in different contexts.",Focus on community-level analysis.,Use SVIs and deep learning techniques for more accurate data.,Integrate image classification and object detection techniques.,Percent migrants; Number of people on the street,2,Percent migrants; Percent lowly-rent houses,2,Fences; Walls; Windows; Grass; Sidewalks; Plants; Number of people on the street; Commercial interfaces; Shops facing the street; Buildings along the street; Streetlights; Surveillance cameras; Trees; Lawns; ATMs; Banks; Subway stations; Bus stops; Schools; Hospitals,20,Offender Residence-Crime Proximity,1,Residence-crime proximity; Crime attractors; Crime generators; Crime detractors; Percent migrants; Percent lowly-rent houses,6,31
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,January 2007 to December 2012,First two years (2007-2008) for past burglaries; remaining years (2009-2012) for subsequent choices,Police-recorded burglary data from West Midlands police force; UK Land Registry; Department for Transport; 2001 UK census,NA,"Approximately 1,500 residents","""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""",Scale optimization / Prior research,"LSOAs were chosen for their balance in size and their alignment with social homogeneity measures, allowing for effective analysis of crime location choice and spillover effects.",United Kingdom,West Midlands,Not explicitly mentioned in km²; described in terms of population and households within LSOAs,Residential burglary,NA,"3,337 detected burglaries.","3,337 detected burglaries.",Not explicitly mentioned.,"Data from 3,337 detected burglaries in the West Midlands, UK, between 2007 and 2012.",UK Census Lower Level Super Output Area (LSOA) as the basic spatial unit of analysis.,"Each burglary is a discrete choice among 1,687 LSOAs.",Exclusion of burglaries committed by multiple offenders.,NA,Longitudinal,Multinomial logit,Maximum likelihood (implied),NA,NA,NA,"Recency of prior burglaries, spatial proximity to previous targets, distance from burglar's residence, number of households, house price, ethnic diversity, population turnover.",Recent prior burglaries and proximity increase choice probability; distance from residence decreases it.,"The study uses a smaller spatial unit of analysis with an average population of 1,500 residents per area, which is considered more homogeneous and ecologically valid. The local effect within an LSOA is stronger than the spillover effect to nearby MSOAs.",Not explicitly mentioned.,Not explicitly mentioned.,Not explicitly mentioned.,"The study uses LSOAs and MSOAs, with LSOA estimates being larger than MSOA estimates, indicating a stronger local effect.",Detected burglaries only; considered unsuccessful due to arrests.,Success of previous burglaries; prior home locations.,Police-recorded data; may not capture all burglaries.,Success/failure of previous burglaries not accounted for.,Fixed period for past burglaries; may not capture long-term patterns.,NA,The study's findings might not generalize to other types of crimes or to different geographical contexts.,The findings are specific to the context of the West Midlands in the UK and may not apply to other regions or countries.,The study is limited to a specific time period (2007-2012) and does not allow for comparisons across different time periods or contexts.,Not explicitly mentioned.,Offender-based research to measure same-offender involvement.,Address potential unobserved heterogeneity.,Population Turnover; Ethnic Diversity; Total Number of Households,3,Average House Price; Total Number of Households; Population Turnover,3,"Affluent neighborhoods; Neighborhoods with high guardianship; Accessible residential properties; Connectors (e.g., transit lines); Barriers (e.g., wide rivers); Street permeability; Higher altitude; Train stations; Total number of households; Average house price; Ethnic diversity; Population turnover; Distance to city center",13,Distance to Offender's Residence; Distance to City Center; Presence of Train Stations; Presence of Bus Stations,4,Temporal Categories; Distance to Residence; Distance to City Center; Total Number of Households; Average House Price; Ethnic Diversity; Population Turnover,7,30
Location Choice of Snatching Offenders in Chennai City,August 2010 to July 2017,2010,"State Crime Records Bureau, Tamil Nadu, India","Limited due to underreporting; only about 6-8% of theft victims report to the police, and only about one-third of reported snatching offenses are detected","Average population of 33,195 (range: 21,451 to 43,622)","""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere""",Prior research,Wards were used as they are comparable to units used in other crime location studies.,India,Chennai City,2.18 km² (average surface area of 201 wards),Snatching (snatch theft),NA,1573 snatching offenses.,1573.,1152.,"Police-recorded snatching offenses from the State Crime Records Bureau, Tamil Nadu, India.",201 wards of Chennai City.,Each ward is a potential location for a snatching offense.,Data reflects only a small fraction of actual snatching offenses due to underreporting; focuses on detected offenses committed by offenders who lived in the study area.,NA,Cross-sectional,Conditional logit,Maximum likelihood,Model with logarithmic distance specification compared to model with untransformed distance.,Not mentioned.,NA,"Distance from home, prior offending locations.",Shorter distances and prior offending locations increase choice probability.,"The study suggests that larger spatial units like wards may not capture the fine-grained nature of crime attractors and generators, indicating a potential scale effect.","The paper does not provide specific findings on how results varied with different spatial scales, but it notes that data could be aggregated to different scales.","The authors suggest that crime should be studied at more fine-grained resolutions, such as streets or parcels.",The study's limitations include the use of large spatial units and the inability to differentiate facilities by size.,"The paper notes a lack of systematic analysis on how findings depend on spatial scale, but it does not provide direct comparisons with studies using different scales.",Police-recorded thefts grossly underestimate real numbers due to low reporting rates.,Data on snatching offenses only reflect a small fraction of actual offenses due to underreporting.,Police-recorded data may not accurately represent true crime situation.,Google Earth data do not differentiate facilities by size.,Study does not account for temporal variations in crime frequencies or location preferences.,NA,High underreporting and potential selectivity jeopardize generalizations; findings may not be representative of all snatching incidents.,Findings are specific to Chennai City; need for replication in other contexts.,Need for replication in other contexts; operationalization of crime generators and attractors in non-western cultures is a challenge.,Analyze the impact of spatial units on findings systematically.,Collect detailed data on facilities and their sizes.,Use granular spatial units and analyze temporal variations.,Population size; Average population per ward; Age structure of offenders; Gender ratio of offenders,4,NA,0,"Retail businesses; Religious facilities (temples, churches, mosques); Educational institutions (schools, colleges); Marriage halls; Jewelry shops; Personal care facilities (barbershops, beauty parlors); Restaurants; Medical facilities (hospitals, medical services)",8,Home-to-crime distance; Journey to crime; Distance to ward centroids; Log-distance effect; Transport hubs; Public transport usage,6,Ward Area; Ward Population,2,20
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,2002-2007,2002-2007,Police files from Haaglanden police force; public access data file from Statistics Netherlands,"Limited to cleared cases, which may introduce bias",18 residential units and 40 residents on average,"""The main criterion for choosing a particular unit of analysis is the theory to be tested. The unit of analysis should match the theory.""",Theory–method / Prior research,The spatial units were chosen to match the theory being tested and to follow recommendations for smaller units to better understand constituting elements and their relationships.,Netherlands,Greater The Hague Area,400 sq. km,Residential burglary,NA,"1,871 journey-to-burglary trips","1,311 burglaries","1,023 offenders",Random sampling,"Constructed from 23,984 postal code areas","Random sample of 1,499 alternatives from the full choice set",Cleared cases only,NA,Cross-sectional,Multinomial logit,Maximum likelihood,NA,Computational limitations due to large dataset size,NA,"Number of residential properties, proximity (negative log distance), ethnic composition.",Proximity increases choice probability; native Dutch burglars avoid ethnically mixed areas.,"The study uses small spatial units (average of 18 residential units and 40 residents) to analyze burglary location choices, indicating a focus on detailed spatial resolutions. Smaller spatial units are more affected by their local environment.",The use of small spatial units requires consideration of spatial interaction and the use of models like the spatial competition model to address spatial dependence.,The author recommends using small spatial units that match the theory being tested.,"Current models have limitations in fully capturing spatial influence, particularly in terms of multidimensional effects.","The study does not provide direct comparisons with studies using different scales, but emphasizes the importance of matching the unit of analysis to the theory.",Selective sample of cleared cases may introduce bias.,Uncleared cases are not included in the analysis.,Limited data on postal code attributes.,Spatial competition model limitations in capturing environmental impacts.,Data from 2002-2007 may not reflect current trends.,NA,Limited by geographic specificity to the Greater The Hague area.,Findings specific to the Greater The Hague area and its spatial dynamics.,Inability to compare across different contexts or time periods.,Use small spatial units like postal code areas for future research.,Implies need for detailed data at small spatial scales.,Suggests using models accounting for spatial competition and hierarchical decision-making.,Number of Residents; Age Composition; Ethnic Composition,3,Average Value of Properties; Number of Residential Properties,2,Residential Units; Spatial Competition,2,Euclidean Distance; Physical Barriers; Journey-to-Crime Distance; Spatial Competition Variable; Home-to-Target Distance,5,Distance between burglar's home and target address; Number of residential units in postal code areas; Ethnic composition of population in postal code areas; Spatial competition variable,4,16
