Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""SCALE EFFECTS & SPATIAL FINDINGS""",quotes,num_quotes
"(Long & Liu, 2021)",Neighborhood,Robbery,1.62,China,"- ""The study area consists of 1971 neighborhoods (Figure 1 ) with an average area of 1.62 square kilometers.""
  - ""The data used in this paper include the arrest data and neighborhood characteristics data of ZG City.""
  - ""The second type of data is a dataset coupled with individual factors (distance of journey to crime variables) and key neighborhood factors, including 2014 POI data (point coordinates), 2014 traffic road network vector map data, 2015 bus stop data (point coordinates) crawled based on Baidu API, within one week of 12 to 18 May 2016 ZG City's mobile phone data and the sixth census data of ZG city in 2010 (Table 3""
  - ""The utility function can be estimated based on the Conditional Logit Selection models.""
  - ""The distance of street robbers' residence from crime location""
  - ""the distance of journey to crime is expressed in terms of Euclidean distances by referring to studies by [19,20], such as calculating the distance from the street robber's residence to each neighborhood center.""
  - ""In addition, the above variables passed the multicollinearity test.""
  - ""The data provider requested for confidentiality of the place names, so ""pinyin"" codes are used as substitutes).""
  - ""The wholesale markets are one of the main reasons for the spatial differences in crime location choices between migrant robbers and native robbers.""
  - ""the wholesale markets provide more opportunities for robbery, and the potential migrant robbers may already be aware of the place and the opportunity because most of them may live and work near the markets due to lower rent.""
  - ""Transportation hubs and subway stations are always the high-risk areas for robbery cases with the characteristics such as crowded flows around and relatively complicated scenes""
  - ""For migrant robbers living in ZG City, their activities spaces are usually limited""
  - ""For native robbers, who were born and lived in ZG City, as mentioned above, they have more activities spaces to move around as well as social networks.""
  - ""In summary, the differences in the functional and environmental characteristics of wholesale markets, sports stadiums, transportation hubs, subway stations, and other places are the main reasons for the spatial differences in crime location choices between migrant robbers and native robbers.""",,15
"(Long & Liu, 2022)",Neighborhood,Robbery,1.62,China,"- ""The area under study comprises 1971 neighborhood units with an average area of 1.62 km 2 (Long et al., 2021)""
  - ""the locations of the robbery were geocoded into one of 1971 neighborhoods as the dependent variable.""
  - ""the distance of journey to crime as an independent variable is represented by the Euclidean distance from the centroid of each of neighborhood units to the offender's residence location.""
  - ""The findings highlight that categorizing street robbers by age can uncover hidden spatial preferences that have been overlooked in the previous research.""
  - ""in the Chinese urban context, this study for the first time finds that street robbers' crime location choices vary by age.""
  - ""The results demonstrate that street robbers favor areas frequented by their age group, close to their residence, and low in social cohesion.""
  - ""the distance of journey to crime plays a significantly negative role in an offender's target choice, with the greatest impact in the youngest age group.""
  - ""the findings of this paper add a valuable piece to the clarification of age-specific differences in Chinese offenders' crime location choices.""
  - ""Finally, this paper has found that the odds ratios of most variables in the conditional logit selection models aren't much >1 or far <1.""",,10
"(Long et al., 2018)",Community,Robbery,1.62,China,"- ""The study area covers 1973 communities (Figure 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of the communities is 2.85, the minimum size of 0.001 km 2 and the maximum size of 43 km 2""
  - ""the study relies solely on robbery data of the arrested robbers, the omission of un-arrested robbers may bring bias to the model.""
  - ""The distance of journey to prior robbery may play an important role, as a shorter journey may provide more learning experiences for offenders to become familiar with the areas near their residence [10,27].""
  - ""It is worth mentioning that the community characteristics in the conceptual framework (discussed in our review of the theoretical foundation literature) also serve as the decision-making criteria for offenders, including indicators of benefits, efforts, and risks of target locations.""
  - ""The interplay between these two distances should be further examined.""",,7
"(Kuralarasan & Bernasco, 2022)",Wards,Theft,2.18,India,"- ""Contemporary work on crime at places (Lee et al. 2017;Weisburd et al. 2009) emphasizes the heterogeneity of such large units and suggests that crime better be studied at more fine-grained resolutions, such as streets, street segments or parcels, as this could better reflect the very local nature of crime attractors and generators and guardianship.""
  - ""Although population is only measured at ward level and although the spatial precision of the geocoding of snatching offenses is not perfect, our data actually consists of objects (offender residence, crime locations and facilities) that are geo-coded as coordinates and could thus be aggregated to sizes and shapes other than ward boundaries and potentially be linked to data from the OpenStreetMap project (see www. opens treet map. org).""
  - ""A third limitation applies the data on facilities that we accessed in Google Earth. Although the coverage of facilities appears sufficient (fieldwork observations suggested a coverage of more than 95 percent of the facilities), the data do not allow facilities to be differentiated by size.""
  - ""Although location choice studies have been conducted with spatial units of varying levels of granularity, ranging from neighborhoods down to individual addresses, what seems to be lacking in the literature is a systematic analysis of the extent to which the findings of location choice studies depend on the shapes, sizes and nesting structures of the spatial units of analysis.""
  - ""Are the estimated coefficients of the models scale-free, do they depend on spatial scale, or should they even be studied in a nested structure (where, for example, the effect of a facility on an offender's preference for a street block depends on higher-level neighborhood attributes)?""
  - ""Our study has some limitations that restrict its generality and should be emphasized. Most of these limitations apply to the level of detail and representativeness of the data.""",,10
"(S. van Sleeuwen et al., 2021)",Neighborhood,Multiple Types,2.63,Netherlands,"- ""We indeed find that the percentage of offences that were committed inside offenders' activity spaces rapidly increases from 59.2% (first-order spatial lags) to 70.4% (second-order lags), and 84.5% (third-order lags).""
  - ""The results show that almost 40% of the offences are committed within the neighbourhoods of offenders' activity nodes, increasing to 85% when including first-, second-and third-order neighbourhoods.""
  - ""The findings we observe might in part be related to the police being better able to solve offences that were committed inside the offenders' activity spaces.""
  - ""If we include first-order spatial lags (i.e., neighbourhoods adjacent to those with the activity nodes), second-order spatial lags, and even thirdorder spatial lags, the median area of the neighbourhoods increased to 3.37 km 2 , 14.5 km 2 , and 55.6 km 2 , respectively.""
  - ""the results were actually quite comparable between the two studies.""",,9
"(Menting et al., 2020)",Neighborhood,Theft,2.63,Netherlands,"- ""The entire Netherlands were selected as the study area and neighbourhoods as the spatial unit of analysis.""
  - ""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""
  - ""Given their size and homogeneous character, Dutch neighbourhoods are expected to be well known to those who regularly visit them.""
  - ""The cumulative percentage of offences committed within an activity node neighbourhood and within the spatial lags is shown in Figure 2a : 39.3 per cent (n = 55) were committed within a neighbourhood with any activity node.""
  - ""This percentage increased rapidly when including higher-order spatial lags surrounding the activity nodes' neighbourhoods; 88.6 per cent of the offences (n = 124) were committed within the borders of the third-order spatial lag.""
  - ""the pseudo-R 2 of Model 2 somewhat increased with only the 88 offences with a higher accuracy (pseudo-R 2 = 0.512) and reduced with only the 52 offences with a lower accuracy (pseudo-R 2 = 0.442), it was consistently very high and effect patterns of node and higher-order neighbourhoods remained rather similar.""
  - ""By including multiple spatial lags of neighbourhoods surrounding reported node locations, the locations even of those cases reported with lower accuracy were likely still covered.""
  - ""OASIS only measured activity node locations. This means that there are still parts of the theorized awareness space that are not covered, even when offenders reported all their activity nodes and spent most of their time there.""
  - ""Future studies should, thus, also aim to develop methods to obtain additional individual-level information on awareness spaces, including routinely travelled paths.""",,14
"(Xiao et al., 2021)",Community,Burglary,2.74,China,"- ""the study area used here allows for testing whether offenders are even less likely to target areas for which they have to cross multiple physical barriers.""
  - ""The results further show that they are even less likely to do so if they have to cross multiple rivers (χ 2 (1) = 29.38, p = .000) than when they only need to cross one river, which corroborates Hypothesis 2.""
  - ""However, no statistically significant differences between the effects of multiple versus a single major road crossing (for major roads with access control, χ 2 (1) = 0.33, p = .567, and for major roads without access control, χ 2 (1) = 0.65 p = .420) were found.""
  - ""The results showed that burglars in ZG city are equally likely to cross more than one major road as they are to cross a single road to commit their crimes.""
  - ""The results in model 4 show that communities closer to the home of the burglar are more likely targeted (OR = 4.33).""
  - ""The median Euclidian distance of the 3860 arrested offenders here is 3.024 km, and the mean is 7.204 km with standard deviation 10.343 and the maximum distance is 90.403 km.""",,6
"(Yue et al., 2023)",Community,Theft,2.81,China,"- ""This study is conducted in ZG city, a megacity in southeast China. With an urbanization rate of 86.46%, the population of permanent residents in the city amounted to 15.30 million in 2019. There are 2643 communities in the ZG city, and this study takes the community as the spatial unit of analysis.""
  - ""The remainder of this article is organized as follows. Section 2 systematically reviews related works. Section 3 introduces the study area and the utilized datasets and methodology. Sections 4 and 5 elaborate on the experimental results and our explanations. Finally, we summarize the conclusions in Section 6.""
  - ""The type of crime studied in this paper is street theft crime, which includes snatching, pickpocketing, and theft from the person that happened in the public open space.""
  - ""The findings of the influences of on-street population and streetscape physical environment on street theft crime offenders' location choice are generally aligned with previous studies.""
  - ""This study has some limitations. Streetscape physical elements like buildings and trees are stationary and stay relatively stable over time. However, the number of people on the street changes with the time of day.""
  - ""Following the approach of most crime location choice studies in both western and Chinese cities, the alternative set was the same for all offenders (Ruiter, 2017;Song et al., 2019). However, offenders may have different preferences when selecting targets. Future research could narrow down the alternative set for each offender by determining the spatial extent of their daily activities, which may lead to more accurate model results.""",,7
"(Lammers et al., 2015)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""the size of a postal code area is inversely related to its level of urbanization that matches the geographic coverage of residents (i.e., smaller areas are more urbanized and urban residents travel shorter distances than rural residents) (Bernasco, 2010b: 398)""
  - ""Most other studies on crime location choice analyzed areas of similar or larger size (e.g., Bernasco, 2010b; Bernasco and Block, 2009;Bernasco and Nieuwbeerta, 2005;Clare, Fernandez, and Morgan, 2009;Townsley et al., 2014).""
  - ""Only two crime location choice studies used smaller units of analysis (Bernasco, 2010a; Bernasco, Block, and Ruiter, 2013), but these were designed with very different objectives in mind (e.g., the identification of micro hot spots for robbery and the estimation of spillover effects) than the current study, in which the focus is on the personal geographic experience of offenders.""
  - ""the four-digit postal code area could be considered to be a large unit of analysis. A smaller unit of analysis that could have been used is, for example, a six-digit postal code area.""
  - ""using this smaller unit of analysis has its own downsides. For example, smaller units of analysis increase issues of spatial interdependence between observations, which calls for models that take this spatial interdependence into account (Bernasco, 2010a)""
  - ""Choosing the right level of aggregation and determining how this choice affects study results are well-known problems in the field of geography. Discussing this problem, which is known as the modifiable areal unit problem, is beyond the scope of this article, but for an example of a criminological study on this problem, see Ouimet (2000).""
  - ""A third and final limitation is the size of the unit of analysis, the four-digit postal code area. Most studies on crime location choice have used areas of similar or larger size in their analyses and it is reasonable to assume that people are familiar with an area of this size.""",,10
"(Lammers, 2017)",Postal_code_area,Burglary,2.96,Netherlands,"- ""However, the four-digit postal code area could be considered a large unit of analysis. A smaller measurement could have been used, e.g. a six-digit postal code area.""
  - ""the spatial unit of analysis that was used in this study is a four-digit postal code area. Most studies on crime location choice have used areas of similar or larger size for their analyses.""
  - ""However, using small spatial units of analysis has its downsides. For example using smaller areas increases the issue of spatial interdependence between observations.""
  - ""This problem of choosing the right level of aggregation and the influence that has on study result, the modifiable areal unit problem, are discussed extensively in Ouimet (2000).""
  - ""A last remark in this regard concerns the calculation of the shared awareness space. In the current study, it is defined and measured as more than one offender being familiar with an area. However, this can also be done in other ways.""",,7
"(Menting et al., 2016)",Postal_code_area,Not Specified,2.96,Netherlands,"- ""The set of alternative areas J consists of four-digit postal code areas, of which there are 142 in the study area, with an average population size of around 7,000 and an average area size of 2.96 km 2 [standard deviation (SD) = 4.38, range = .12 to 24.69, median = 1.47].""
  - ""Dutch four-digit postal code areas are designed to have minimal travel restrictions for postal delivery services that usually travel by foot or bicycle, and their size is inversely related to the level of urbanization (Bernasco, 2010: 398)""
  - ""The four-digit postal areas are therefore perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area.""
  - ""To increase the generalizability of our findings, replications should preferably be conducted in a larger geographical area.""
  - ""The findings may also not apply equally to all offenders as relations between offenders and their families are sometimes difficult or estranged.""
  - ""The pseudo-R² of all models ranged between .30 and .31, which is considered to represent an excellent fit to the data (McFadden, 1978b: 307)""",,7
"(S. E. M. van Sleeuwen et al., 2018)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""The dependent variable represents the choice outcome, that is, the target area the offender has selected from the set of alternative areas. As all offense locations were geocoded and allocated to one of the 142 postal codes in the study area, the dependent variable describes the choice for a particular postal code from all 142 potential alternatives in the greater The Hague area.""
  - ""Besides, most previous crime location choice studies analyzed areas of a similar size (e.g., Bernasco and Nieuwbeerta 2005;Clare, Fernandez, and Morgan 2009;Townsley et al. 2015).""
  - ""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle (Bernasco 2010:398)""
  - ""The area comprises of nine municipalities around-and including-the city of The Hague, the third largest city in the Netherlands. These postal code areas have an average population of approximately 7,000 residents and an average area size of about 2.96 km 2 (Lammers et al. 2015).""",,7
"(Bernasco, 2010a)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""the distance of a focal area to former areas of residence is defined here as the shortest of the distances to all former areas of residence (i.e., as the minimum rather than the mean or median of the set of distances to former areas of residence).""
  - ""the size of postal code areas is related inversely to the level of urbanization. Postal codes in urban areas usually cover less than half a square mile, whereas postal codes in more rural regions are larger (less than 2 square miles).""
  - ""The test is also more complex because offenders often have multiple former addresses, and in that case, multiple distances to the focal area are present.""
  - ""the proximity hypothesis was tested on a subset of offenders, namely those who had at least one other address prior to their current address.""
  - ""In sum, it is plausible that most people who live within a postal code area are familiar with the whole postal code area or at least with a substantial proportion of it.""",,5
"(Bernasco, 2010b)",Postal_code_area,Burglary,2.96,Netherlands,"- ""Because offenders also make target selection decisions at much lower levels of spatial aggregation, the present study analyzes the location choices of offenders at detailed spatial resolutions: the average unit of analysis is an area of only 18 residential units and 40 residents.""
  - ""The focus on small spatial units requires consideration of the aspatial nature of the multinomial logit model, and the utilization of the spatial competition model.""
  - ""The smaller the spatial unit of analysis that is chosen for analyzing a phenomenon, the more plausible it is that the observed unit is affected by its spatial environment.""
  - ""as the spatial unit of analysis decreases, the importance of the local environment increases.""
  - ""The spatial competition model is not saddled with the independence of irrelevant alternatives (IIA) property, a property that has been viewed as the Achilles heel of the multinomial logit model because its implications can be counterintuitive.""
  - ""the smaller the unit of analysis, the more urgent is the need to consider the presence of spatial interaction.""
  - ""the main criterion for choosing a particular unit of analysis is the theory to be tested. The unit of analysis should match the theory""
  - ""The ecological fallacy (Robinson 1950) is the reasoning error by which conclusions about small units are made on the basis of empirical findings at higher levels of aggregation.""
  - ""The best way to prevent this fallacy is to measure and analyze the data at units of analysis that match the theory.""
  - ""The analysis of burglary location choices in the Greater The Hague area, in which small spatial entities with an average of 18 properties and 40 residents are distinguished, illustrates these points.""
  - ""A more realistic conceptualization of spatial influence would at least be multidimensional, and allow the focal unit of analysis to be affected in different ways by, for example, the size of its neighbors, their affluence level and their age composition.""",,11
"(Bernasco & Kooistra, 2010)",Postal_code_area,Robbery,2.96,Netherlands,"- ""The third source of data is a database containing demographic, social and economic information on all postal code areas in the Netherlands. There are 4006 postal code areas nationwide; they have an average population size of 4900 and an average number of households of 2100.""
  - ""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""
  - ""The threshold value of 2 years that is chosen to distinguish recency and duration in the exploration of the effects of residential history of crime location choice is to some extent arbitrary.""
  - ""However, according to the theoretical arguments developed in this paper, both the growth and the decline of spatial knowledge are continuous and gradual processes rather than discrete and stepwise ones.""
  - ""All models presented were therefore run with combinations of threshold values of 1 year, 2 years, 3 years and 5 years.""
  - ""The limited size of the sample, motivated by the wish to have a homogeneous set of offenders and offences, is obviously related to this lack of statistical significance.""
  - ""The concept of 'awareness space' is only approximated by measuring residential experience. Awareness space is typically much larger than the area around current and former homes.""
  - ""The availability of historical offender addresses has been a major strength in the present study, but future studies will probably need to contact offenders themselves and rely on their recollection of events.""",,8
"(Clare et al., 2009)",Residential_suburb,Burglary,6.7,Australia,"- ""There is evidence, however, that rates of burglary and other crimes can exhibit large variations across very small populations and areas that in some cases are smaller than neighbourhoods""
  - ""A further issue concerns the selection of the spatial scale for burglary analysis in this case. This is a complex problem and there may be no solution that is applicable across the ecology of different cities.""
  - ""The advantage of the discrete spatial choice approach is that it places realistic constraints on those 'bounded rational choices' that rational choice theorists discuss""
  - ""Future research could seek to minimise the impact of this limitation by using more artificially constructed and uniform areas for this type of analysis.""
  - ""The overall geographic placement of these suburbs in relation to the Swan River, selected major roads, and the location of the railway line are displayed in Figure 1""",,5
"(Townsley et al., 2016)",Statistical_local_areas,Burglary,8.48,Australia,"- ""The discrete spatial choice approach combines three different methodologies (offender-, target-and mobility-based) into a single statistical model (Bernasco and Nieuwbeerta 2005).""
  - ""The mixed logit model is a more general statistical model that allows preferences to be estimated for each decision maker.""
  - ""The overall variation in b i coefficients appears only partially related to the spatial nesting of burglars in SLAs.""
  - ""The intraclass correlation coefficient (ICC), which describes how strongly the b i of the burglars in the same origin area resemble each other with respect to their proximity preferences and which can vary between 0 and 1, equals .07""
  - ""The map of average b i coefficients per SLA is displayed in Fig. 3""
  - ""The variation in b i is displayed in four shades of grey.""
  - ""It seems that burglars' proximity preferences are randomly distributed across Brisbane.""
  - ""Finally, while the mixed logit variation of the discrete spatial choice approach relaxes a number of assumptions inherent in all discrete spatial choice studies, we remain encumbered by several others which likely warrant further empirical investigation.""
  - ""With respect to the first and second, it may be that modelling preference variability is more feasible at smaller units of analysis than the neighborhoods used here.""
  - ""For instance, Weisburd et al. (2012) demonstrate the tremendous variability in crime levels using street segments over neighborhoods.""",,11
