Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""DATA LIMITATIONS & METHODOLOGICAL ISSUES""",quotes,num_quotes
"(Long et al., 2021)",Community,Robbery,1.62,China,"- ""The importance of the distance of journey to crime in crime location choice has been confirmed by many studies (Baudains et al., 2013;Bernasco et al., 2013;Bernasco et al., 2017;Bernasco & Block, 2009;Johnson & Summers, 2015;Lammers et al., 2015;Long et al., 2018;Menting et al., 2020). This study includes distance as a key control variable.""
  - ""The dataset included the following information of each arrested robber: the unique offender identifier, the Hukou status, the home address, and the location and time of the robbery. Among a total of 11,455 arrest records in ZG City during 2012-2016, only 7860 records have a home address in the city, involving 7124 robbers.""
  - ""A number of robberies involved multiple robbers. Following the practice of Bernasco et al. (2017), one robber is randomly selected to represent the decisionmaking of a robbery that involves multiple robbers.""
  - ""The data matrix of dependent variables is constructed by using these cases. The calculation of dependent variables in discrete spatial choice modeling refers to the method by Bernasco et al. (2013) and Johnson and Summers (2015).""
  - ""The discrete spatial choice approach is widely used in microeconomics to analyze discrete choice behavior (Bernasco & Nieuwbeerta, 2005).""
  - ""The utility function can be estimated by a conditional logit model (McFadden, 1978).""
  - ""the Pseudo R 2 for discrete spatial choice models is always much lower than those for ordinary least squares regression models.""
  - ""The correlations between all pairs of variables range from low to moderate, with the highest value being 0.57. Further, the average VIF is 1.63, with a maximum VIF of 2.49, which is far below the generally accepted value of 4.""
  - ""The study area covers 1971 communities (Fig. 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of communities is 2.85, the minimum size of 0.001 km 2 , and the maximum size of 43 km 2""
  - ""The data sets used in this paper include crime data and neighborhood characteristics data of ZG City.""
  - ""Crime data on arrested street robbers and their offenses between 2012 and 2016 were provided by the ZG Municipal Public Security Bureau.""
  - ""the data for calculating the index is derived from the sixth census of China.""",,13
"(Long & Liu, 2021)",Neighborhood,Robbery,1.62,China,"- ""The data used in this paper include the arrest data and neighborhood characteristics data of ZG City.""
  - ""A total of 11,455 arrest records within 8 districts of ZG city from 2012 to 2016, excluding 2285 records of street robbers whose residence was outside the study area and 1310 records with no fixed residence or unknown residence, leaving 7860 records involving 7124 street robbers.""
  - ""In this paper, the attributes of the built environment are used as explanatory variables, while the variables of social environment, ambient population, crime prevention, and crime travel aspects are incorporated into the model as control variables""
  - ""The distance of street robbers' residence from crime location""
  - ""The data provider requested for confidentiality of the place names, so ""pinyin"" codes are used as substitutes).""
  - ""The representativeness of the data needs to be validated in future studies.""
  - ""Because the agreement is limited, crime data and mobile phone data do not allow to disclose the source and details.""",,7
"(Long & Liu, 2022)",Neighborhood,Robbery,1.62,China,"- ""The data that has been used is confidential.""
  - ""Reasons for the rather sharp variation on the odd ratios between epidemiology and crime geography need to be explored in the future studies.""
  - ""Finally, this paper has found that the odds ratios of most variables in the conditional logit selection models aren't much >1 or far <1. While these do not meet the high standard of odds ratios <0.67 or >1.57 originally proposed by Chen et al. (2010) for epidemiological studies, they are indeed consistent with those of the existing mainstream literature that examined the location choice of a large number of offenders""
  - ""Secondly, additional attributes of offenders should be included in future studies. Such attributes may include age, household registration, socioeconomic status, and other individual information for a more refined analysis.""
  - ""In future studies, more activity nodes and social disorganization types should be considered, and more crime types and more regions should be investigated to conduct cross-validation of our findings.""",,6
"(Long et al., 2018)",Community,Robbery,1.62,China,"- ""the study relies solely on robbery data of the arrested robbers, the omission of un-arrested robbers may bring bias to the model.""
  - ""It is worth pointing out that empirical crime research based on official police data is rare in China, perhaps because the crime data is very difficult or almost impossible to access.""
  - ""It is important to discuss some of the limitations of current research.""
  - ""In addition, Bernasco's study showed that the selection criteria of single offender and multiple offenders are the same [58]. Therefore, the above approach was reasonable.""
  - ""the potential problem of offenses being nested within offenders is not explicitly addressed in this paper. Whether the use of a mixed logit model helps to alleviate this problem needs further examination.""",,6
"(Kuralarasan & Bernasco, 2022)",Wards,Theft,2.18,India,"- ""Although India has no national crime victimization survey and does not participate in the International Crime Victimization Survey (Ansari et al. 2015) it has been estimated that in Indian cities only between 6 and 8 percent of the victims of theft report to the police (Durani et al. 2017), so that police recorded thefts grossly underestimate the real numbers of thefts.""
  - ""the high level of underreporting at least potentially jeopardizes generalizations, and thus forces us to be careful in drawing conclusions.""
  - ""the data on snatching offenses reflect only a very small fraction of the snatching offenses suffered by victims.""
  - ""the spatial units of analysis in this study, the 201 wards of Chennai City, have an average surface area of 2.18 km 2 and an average population of 33,195. Contemporary work on crime at places (Lee et al. 2017;Weisburd et al. 2009) emphasizes the heterogeneity of such large units and suggests that crime better be studied at more fine-grained resolutions, such as streets, street segments or parcels, as this could better reflect the very local nature of crime attractors and generators and guardianship.""
  - ""the data on facilities that we accessed in Google Earth. Although the coverage of facilities appears sufficient (fieldwork observations suggested a coverage of more than 95 percent of the facilities), the data do not allow facilities to be differentiated by size.""
  - ""The crime location choice model cannot distinguish between the choice of whether to commit crime (given the location where the individual is) and the choice of where to commit crime (given sufficient motivation to commit it).""
  - ""The results of our study suggest some possible directions for future research. The first applies to temporal variations. Many studies have demonstrated that crime frequencies vary by time of day, by day of week and by season (Andresen and Malleson 2013;Haberman and Ratcliffe 2015;Tompson and Bowers 2013) and some studies have examined whether location preferences also vary temporally (van Sleeuwen et al. 2018).""
  - ""Although location choice studies have been conducted with spatial units of varying levels of granularity, ranging from neighborhoods down to individual addresses, what seems to be lacking in the literature is a systematic analysis of the extent to which the findings of location choice studies depend on the shapes, sizes and nesting structures of the spatial units of analysis.""",,9
"(S. van Sleeuwen et al., 2021)",Neighborhood,Multiple Types,2.63,Netherlands,"- ""Although this first empirical test provides some evidence for our extended theory, it is important to emphasise that our conclusions are tentative as the size of our sample of offences was quite small (N = 71 offences committed by 30 offenders).""
  - ""Also, a non-experimental research design obviously cannot fully rule out possible selection bias.""
  - ""As our respondents were sampled from police register data on suspected offenders from two specific police regions in the western part of the Netherlands (The Hague and Noord-Holland), we might not be able to generalize our findings to the broader offender population; to offenders in other parts of the country or to offenders that escaped arrest.""
  - ""The findings we observe might in part be related to the police being better able to solve offences that were committed inside the offenders' activity spaces.""
  - ""Another common limitation of retrospective survey research is that the accuracy of recall from respondents' memory is uncertain.""
  - ""This would not be a problem if all respondents have equal memory loss, but respondents who had committed their crimes outside of their awareness space might have had more difficulty recollecting details about the crime locations and timings than respondents who had committed crime within their awareness space.""
  - ""the original suspect data from the police included relatively minor offences from offenders with relatively short offence histories.""
  - ""Compared to offenders with longer offence histories and more serious offences, this suspect group is found to have a decreased likelihood of continuing to commit crime in subsequent years""
  - ""our small sample size prohibits any further disaggregation.""
  - ""we urge others to replicate our study with larger samples before any firm conclusions are warranted.""",,11
"(Menting et al., 2020)",Neighborhood,Theft,2.63,Netherlands,"- ""A relatively small sample of young adult suspects who participated and who reported having committed at least one offence were included in this study.""
  - ""Only 12.4 per cent of the invited suspects participated in our survey.""
  - ""participating individuals may differ from those who did not participate, e.g., with respect to our outcome measure.""
  - ""the majority of the participating respondents did not commit an offence, forgot about it or were unwilling to report it in the online survey.""
  - ""our online survey likely did not capture information on all activity nodes regularly visited in the three-year period prior to the survey.""
  - ""Less important activity nodes or those that were visited less often/longer ago may have been underreported.""
  - ""Offenders could also have reported their offences selectively.""
  - ""the accuracy of reported information is not always certain.""
  - ""Respondents may have had difficulties remembering when they actually visited a location, reported an average visiting frequency that may not optimally reflect the visiting frequency around the time the offence was committed or selected a less specific geographic location.""
  - ""OASIS only measured activity node locations. This means that there are still parts of the theorized awareness space that are not covered, even when offenders reported all their activity nodes and spent most of their time there.""
  - ""Awareness spaces also include routinely travelled paths between nodes and everything within visible range""
  - ""Future studies should, thus, also aim to develop methods to obtain additional individual-level information on awareness spaces, including routinely travelled paths.""",,14
"(Xiao et al., 2021)",Community,Burglary,2.74,China,"- ""Fourth, due to the difficulty of data acquisition, the variables such as income level that directly measure the level of wealth of the population are not included in the study, and they are substituted by the proportion of houses built after 2000 and the rent prices.""
  - ""The first limitation is actually inherent to all studies that use the discrete spatial choice framework. Using this analytical framework reduces the analysis to the set of cleared burglaries only, because key offender-level variables need to be included in the model. For this reason, only the location choices of arrested burglars were analyzed, with non-arrested burglars left out of the study.""
  - ""Second, census data from 2010 were used to construct the social barrier and control variables, while the study analyzed burglary data from 2012 to 2016. While this temporal mismatch is not desirable, it is rather common in all research that use the official decennial census data.""
  - ""The findings presented here are only reflective of arrested burglars in ZG city, and they may or may not be generalized to all ZG city burglars.""",,6
"(Yue et al., 2023)",Community,Theft,2.81,China,"- ""Although SVIs have the unique potential to detect people on the street that other data sources do not (mobile phone, social media, taxi trajectory, and other commonly used data sources cannot distinguish between people on the street and indoors), SVIs are limiting because they are collected by street-view cars instantly. They are static and cannot capture the dynamic change of on-street population.""
  - ""Following the approach of most crime location choice studies in both western and Chinese cities, the alternative set was the same for all offenders (Ruiter, 2017;Song et al., 2019). However, offenders may have different preferences when selecting targets. Future research could narrow down the alternative set for each offender by determining the spatial extent of their daily activities, which may lead to more accurate model results.""
  - ""Additionally, small objects like broken windows, litter on the street, and graffiti are important signs of physical disorder, which may attract crimes. Future crime location choice research should take these variables into account.""
  - ""Streetscape physical elements like buildings and trees are stationary and stay relatively stable over time. However, the number of people on the street changes with the time of day.""",,5
"(Lammers et al., 2015)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""it relies exclusively on cleared offense data from police records, and it might suffer from detection bias, that is, bias caused by the fact that solved crimes are not representative for all (both solved and unsolved) crimes.""
  - ""the probability of arrest might be elevated for offenders who reoffend in the same area or in their former or current area of residence.""
  - ""our data are geographically limited to the greater The Hague area. This region is largely urban.""
  - ""The results could be different in other, more rural parts of the country.""
  - ""we did not take crimes into account that the offenders in the sample could have committed outside the study area.""
  - ""Excluding crimes committed outside the study area could inflate distance decay parameters for offenders living close to the boundary""
  - ""using this smaller unit of analysis has its own downsides. For example, smaller units of analysis increase issues of spatial interdependence between observations, which calls for models that take this spatial interdependence into account""
  - ""Choosing the right level of aggregation and determining how this choice affects study results are well-known problems in the field of geography.""
  - ""The previously described limitations and other considerations give rise to suggestions for future research.""",,10
"(Lammers, 2017)",Postal_code_area,Burglary,2.96,Netherlands,"- ""The data were not specifically sampled to study co-offending, which led to a large number of offenders and offences being removed from the sample.""
  - ""only police arrest data on cleared offences were used for this study, which means that only arrested offenders and their arrested co-offenders were studied.""
  - ""According to McGloin and Piquero (2009), data from official records are potentially vulnerable to over-represent co-offending because law enforcement agencies focus on capturing group offenders.""
  - ""The use of arrest data could be problematic if a large number of groups used in this study are 'incomplete' in these data, i.e. if some of the offenders of the group are arrested while others are not.""
  - ""Not having all offenders of the group present in the data could influence the amount of shared awareness space, most likely the percentage of shared awareness space is overestimated when not all offenders of the group are taken into account.""
  - ""Another downside of using police arrest data is that they might be biased because arrested offenders differ in their crime location choices from not arrested offenders, e.g. because offenders who commit crimes in the area where they live have a greater probability of being caught.""
  - ""the data are limited to the greater The Hague region (offenders from the sample were excluded if they did not reside in this region).""
  - ""Areas outside this region could be part of the offenders' awareness spaces, e.g. because they lived there in the past or they regularly visit the area for work.""
  - ""Awareness space in this study is measured as the current and previous home locations of the offenders, as well as previous crime locations. However, a person's awareness space consists of more areas, e.g. a work location and/or a school location.""
  - ""the spatial unit of analysis that was used in this study is a four-digit postal code area. Most studies on crime location choice have used areas of similar or larger size for their analyses.""
  - ""using small spatial units of analysis has its downsides. For example using smaller areas increases the issue of spatial interdependence between observations.""
  - ""the calculation of the shared awareness space. In the current study, it is defined and measured as more than one offender being familiar with an area.""",,16
"(Menting et al., 2016)",Postal_code_area,Not Specified,2.96,Netherlands,"- ""the study focused only on people who both lived and committed crimes in the greater The Hague area. This is a largely urban area with a population that is not fully representative of the rest of the Netherlands.""
  - ""The findings may also not apply equally to all offenders as relations between offenders and their families are sometimes difficult or estranged.""
  - ""awareness spaces were not measured directly in this study but indirectly based on the idea that people at least occasionally visit their family members.""
  - ""From the register data used in this study, we have no way of knowing whether offenders really spent time in the areas where their family members lived.""
  - ""offenders may also spend nontrivial amounts of time in other unexamined areas, such as at work, school, shopping malls, sports facilities, public transit, or the homes of friends.""
  - ""Future research should aim to provide a more direct test of the impact of different activity nodes on crime location choice.""
  - ""although we tested a generic model for all crime types, the influence of residential areas of family members may differ for different crime types.""
  - ""Some types of crime are less likely to be committed in residential areas (e.g., shoplifting).""
  - ""Some offenses may even be directed at family members, such as child abuse; in these cases, the crime is committed in the residential area of the family member as a consequence of the type of crime being committed.""",,9
"(S. E. M. van Sleeuwen et al., 2018)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""As only a proportion of all crimes are solved by the police, the results from this study might suffer from detection bias.""
  - ""The question remains whether we can generalize our findings to nonarrested offenders because there might be differences in the probability of arrest between first offenders and offenders who committed multiple offenses in the same area.""
  - ""the fact that our offender population was arrested for offenses committed at a certain place and time might seem contradicting to our predictions based on rational choice and crime pattern theory.""
  - ""our hypotheses are built on the assumption that offenders actively learn about suitable targets at particular times and days and that they subsequently use this information in their future spatiotemporal criminal decisionmaking. However, we did not explicitly test such an underlying ""state dependence"" mechanism, and other explanations for our findings are also possible.""
  - ""our data do not allow us to distinguish between these different types of explanations, and hence, we could not empirically assess the extent to which these other mechanisms might explain our findings.""
  - ""the current data and methods do not allow us to distinguish the different scenarios empirically.""
  - ""To examine time-varying target attractiveness that relate more specifically to certain crime types such as bike theft, car theft, or robbery, future research might also consider carrying out systematic observations to determine variations in, for example, the number of bicycles, motor vehicles, or people in a given area.""",,7
"(Bernasco, 2010a)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""Although this amount implied that for a small subgroup of offenders (approximately 3 percent), their residential histories only could be reconstructed for the last 2 years before the offense, the residential history of 85 percent of the sample could be tracked back more than 5 years and, for 50 percent, back more than 10 years.""
  - ""Note that any bias introduced by missing information on past home addresses will lead to conservative estimates of the effect of residential history on crime-location choice; missing addresses will make the role of residential history look smaller than it actually is.""
  - ""The first reason for exclusion was because individuals in the police records could not be linked to the citizen information system because the arrested persons were not Dutch citizens but, for example, were tourists or irregular migrants.""
  - ""Another 449 individuals (10.2 percent) were excluded because the crimes they committed could not be geocoded.""
  - ""For 69 individuals (1.6 percent), the citizen information system address information covered only the period after the date of the crime(s), so essentially the offender's complete residential history before the crime is missing from the data.""
  - ""The last reason for exclusion was whether the offender was registered as living abroad at the time of the offense.""
  - ""The availability of reliable records of previous addresses is a significant strength of the current study.""
  - ""In most other countries, research involving information on the past residences of offenders would have to rely on the recollection of offenders themselves and, thus, depend on their cognitive capability to remember the places and times of past residences and on their willingness to report them.""
  - ""The third source is a national database of demographic, social, and economic information on all (four-digit) postal code areas in the Netherlands.""
  - ""The model outcomes presented in tables 3 and 4 do not distinguish among the four types of crime analyzed, which technically means that the estimated coefficients are constrained to be the same for all four types of crime.""
  - ""A crucial aspect of the theoretical interpretation introduced in this article is that a former residential area is part of a person's awareness space even if it is not a part of their contemporaneous activity space.""
  - ""After all, a past residence still can be a regularly frequented node in a person's current activity space.""",,14
"(Bernasco, 2010b)",Postal_code_area,Burglary,2.96,Netherlands,"- ""the burglary clearance rate in the Greater The Hague area was about 8% in the period covered. Thus, the burglaries included in the analysis amount to a small minority of all residential burglaries reported to the police.""
  - ""Admittedly, it is possible that the cleared cases are a selective sample of all reported cases, because the investigative process produces bias.""
  - ""For example, burglars caught in the act are overrepresented, as are burglaries witnessed by victims or bystanders""
  - ""The available data on the attributes of postal codes is limited and refers mostly to the location, the population (number of residents, age, ethnic composition), and the residential units (number of properties and average value) in the area.""
  - ""The data are from a free public access data file of codes in the year 2004 constructed and provided by Statistics Netherlands.""
  - ""the proof that a random sample from the alternatives yields consistent parameters, depends on the IIA property""
  - ""An issue of concern is that the potentially large amount of spatial autocorrelation between variables and their spatial lags may lead to problems of multicollinearity in the discrete choice model.""",,7
"(Bernasco & Kooistra, 2010)",Postal_code_area,Robbery,2.96,Netherlands,"- ""The limited size of the sample, motivated by the wish to have a homogeneous set of offenders and offences, is obviously related to this lack of statistical significance.""
  - ""The evidence we provide is tentative in part because some of the hypothesized differences lacked statistical significance, although their estimated values were consistently in support of the theory.""
  - ""Offender accounts may also help to assess the reliability of the residential histories in official government systems. It is likely that the residential addresses in the GBA system do not always reflect where people actually live.""
  - ""For example, if someone failed to report their last move, their registered current residence is actually their former address.""
  - ""Because data unreliability tends to mask real effects, our estimates of the effects of residential history are probably conservative.""
  - ""The availability of historical offender addresses has been a major strength in the present study, but future studies will probably need to contact offenders themselves and rely on their recollection of events.""
  - ""This is a challenging task, because the quality of the measurements depends heavily on offenders' ability to remember the places and times of past spatial behaviour and past offences""
  - ""The concept of 'awareness space' is only approximated by measuring residential experience. Awareness space is typically much larger than the area around current and former homes.""",,8
"(Clare et al., 2009)",Residential_suburb,Burglary,6.7,Australia,"- ""Unfortunately, given the need for offender characteristics to enable this modelling to operate, this was unavoidable and the researchers acknowledge that this low detection rate has possibly influenced the outcome of this research in a nonrandom way.""
  - ""Second, due to the artificial nature of defining an external boundary for the discrete choice set in this case, the exclusion of suburbs outside of the Perth metropolitan area has influenced the outcome of this analysis.""
  - ""Third, the dataset did not permit the researchers to uniquely identify offenders and to precisely determine the influence of prolific offenders on target choice.""
  - ""Fourth, it must be acknowledged that the discrete spatial choice model presents researchers with the outcomes of 'practical consciousness' (Giddens, 1984, p. 375) , and that despite the success of this 'choice' approach, the extent to which offender behaviour is accounted for by rational choices rather than unconscious routine remains uncertain.""
  - ""A further issue concerns the selection of the spatial scale for burglary analysis in this case. This is a complex problem and there may be no solution that is applicable across the ecology of different cities.""
  - ""Future research could seek to minimise the impact of this limitation by using more artificially constructed and uniform areas for this type of analysis.""",,6
"(Townsley et al., 2016)",Statistical_local_areas,Burglary,8.48,Australia,"- ""As with all studies of offender mobility that use recorded crime data, revealed preferences reflect those of cleared residential burglaries only.""
  - ""In the absence of more nuanced data, we make the necessary assumption that all offending trips originate from an offender's home location.""
  - ""Our measures of affluence and social cohesion are derived from a secondary data source and so may not capture the theoretical constructs as intended.""
  - ""Using median housing repayment as a proxy of neighborhood affluence is defensible, especially as we partition areas into deciles.""
  - ""Social cohesion was measured using a metric of residential turnover, which has been used in many other studies""
  - ""Finally, while the mixed logit variation of the discrete spatial choice approach relaxes a number of assumptions inherent in all discrete spatial choice studies, we remain encumbered by several others which likely warrant further empirical investigation.""
  - ""These include:

(1) that the choice process used to locate suitable targets is hierarchical in structure; (2) that the geographies selected to represent choices are both an adequate reflection of offender choice perceptions and are not compromised by excessive internal heterogeneity; and (3) no significant changes over time in either the behavioral rule applied by offenders in selecting targets, or the choices selected in targeting particular locations take place.""
  - ""With respect to the first and second, it may be that modelling preference variability is more feasible at smaller units of analysis than the neighborhoods used here.""
  - ""Overall, this study strongly demonstrates the need for additional theorizing and modelling of actor-criterion interactions with respect to location choice amongst offenders.""",,10
