Citation,Year.x,Name_of_the_unit,Crime_Type,spatial_unit_quote,spatial_unit_reasoning
"(Frith et al., 2017)",2017,Street_segment,Burglary,"- ""Analyses were conducted for all street segments in the towns of High Wycombe and nearby Beaconsfield and Marlow in Buckinghamshire (U.K.).""
  - ""The study area was defined by identifying the ""built-up areas"" of the three towns and by applying a 1-km buffer around them""
  - ""For example, people do not navigate from one large area to another; they navigate along the road network. As such, a spatial resolution at this scale (e.g., street segment) should better capture the spatial logic of offender decision-making""
  - ""These smaller spatial units are also methodologically justified as even if an offender's mental map is more generalized than is specified, local variations would be unobserved if aggregated before measurement""
  - ""The use of this framework has now become well established in the criminological literature, although the units of analysis considered are typically large areal units (for an overview of studies, see appendix C in the online supporting information).""
  - ""For parsimony, table 3 shows the results for the key variables of interest, along with the model fits from the ML models. Estimates for the full models can be found in appendices D and E in the online supporting information.""
  - ""the unit of analysis is the street segment.""","- The spatial units of analysis (SUoA) used in the study are street segments, as indicated by the repeated mention of ""street segments"" throughout the paper.
- The study area covers approximately 150 km² and includes 5,286 street segments, which provides the number of units.
- The rationale for choosing street segments as the spatial unit is that people navigate along the road network, and this scale better captures the spatial logic of offender decision-making.
- The choice of street segments is also justified by the methodological consideration that local variations would be unobserved if aggregated before measurement.
- The paper does not provide specific details on the size of each street segment or the population per unit, but it does mention that there are 81,682 dwellings across these segments.
- The rationale category is Theory–method, as the choice is based on theoretical considerations about how offenders navigate and make decisions."
"(Frith, 2019)",2019,"Census_output_
areas",Serious Acquisitive Crime (Sac),"- ""the alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""
  - ""The study area in these analyses is the city of York (UK), which covers approximately 270km""
  - ""In general, finer spatial granularity are to be preferred (see also Weisburd et al., 2009). For example, while offenders' mental boundaries between areas are effectively inscrutable, and will, to some degree, vary from offender to offender, larger spatial areas tend to be more heterogeneous.""
  - ""For these analyses, revealed preference data for 1,105 recorded3 and solved4 SAC in York committed by 687 offenders living in York between April 2008 and March 2012 were collected.""","- The paper specifies that the spatial units of analysis are ""output areas"" referred to as ""neighbourhoods,"" which are the smallest units for which data is available. This indicates the SUoA Type is ""Output areas"" or ""Neighbourhoods.""
- The size of these units is not explicitly mentioned in terms of square kilometers or meters, but it is implied that they are the smallest available units, suggesting a focus on fine granularity.
- The number of units is not directly stated, but the study involves 1,105 offence location choices, which may imply a large number of units.
- The population per unit is not provided, but the focus on neighbourhoods suggests a relatively small population per unit.
- The rationale for choosing these units is based on data availability and the preference for finer spatial granularity, as indicated by the quote about preferring finer granularity and the use of the smallest available units.
- The justification summary is that the spatial units were chosen based on data availability and the preference for finer spatial granularity to capture detailed variations in offender behavior."
"(Hanayama et al., 2018)",2018,Grid_cell,Burglary,"- ""Using grid cells as alternatives in the conditional logit model allows the unbiased comparison of alternatives, because the grid cells are equal in size.""
  - ""We used data from 369 solved cases committed by 70 offenders and related these data to 1,134 areas (500 m grid cells) in Sendai City, Japan.""
  - ""The Japanese national census, in addition to neighbourhood units, makes data aggregated by grid cell unit available. The size of grid cells is 500 m on a one side and comes with specified longitude and latitude data.""
  - ""Ratcliffe (2003) showed that physical boundaries separating neighbourhoods, such as highways and parkland, do not form barriers to the movement of residential burglars.""","- The paper specifies that the spatial units of analysis are ""500 m grid cells"" in Sendai City, Japan, which indicates the SUoA Type and Size.
- The total number of spatial units used in the study is 1,134, as mentioned in the abstract and methodology sections.
- The rationale for choosing grid cells is partly due to their equal size, which allows for unbiased comparison in the conditional logit model.
- The paper also references Ratcliffe (2003) to justify the use of grid cells, suggesting that physical boundaries do not significantly impact the movement of burglars, which supports the choice of grid cells as a practical and theoretical basis for analysis.
- The justification category is a mix of ""Data availability"" (since data is aggregated by grid cell units) and ""Theory–method"" (as it aligns with the need for unbiased comparison and theoretical considerations about offender movement)."
"(Johnson & Summers, 2015)",2015,Lower_Super_Output_Area,Theft,"- ""The unit of analysis selected was the U.K. census Lower Super Output Area (LSOA).""
  - ""For the study area, there were 198 LSOAs, each with a population of around 1,524 people and about 662 residential households.""
  - ""LSOAs are somewhat smaller than the areas used in most (but not all; for example, Bernasco et al., 2013) previous studies of this kind.""
  - ""Using a Geographical Information System (GIS), the police data were ""related"" to maps of the area to determine origindestination flows.""","- The paper specifies that the spatial units of analysis are ""U.K. census Lower Super Output Areas (LSOAs),"" which indicates the type of spatial unit used.
- The size of each LSOA is described in terms of population and households, with approximately 1,524 people and 662 households per unit.
- The number of units is explicitly stated as 198 LSOAs.
- The rationale for choosing LSOAs is not explicitly justified with a direct quote, but it is implied that they are used because they are a standard administrative unit for census data in the UK, which is often used in research for data availability and administrative convenience.
- The use of LSOAs is consistent with prior research, as indicated by the comparison with other studies that have used similar or larger units."
"(Kuralarasa et al, 2024)",2024,Street_segment,Graffiti/Vandalism,"- ""We chose to represent street segments using polygons rather than the more common ""line"" representations.""
  - ""Our final dataset includes information from 2,233 street segments from the original 2,392.""
  - ""The spatial resolution of a street segment naturally corresponds to human observational limitations. It possesses attributes suitable for direct sensory perception, making it especially relevant for measuring exposure.""
  - ""We adopted street segments as our spatial unit of analysis, aligning with recent research advocating the use of street segments or similarly sized spatial units for analyzing crime and disorder (Groff et al., 2010;Weisburd et al., 2004).""
  - ""These categories have different structural characteristics that directly affect urban traffic flows in general and may indirectly influence social dynamics.""","- The paper specifies that the spatial unit of analysis (SUoA) used is the ""street segment,"" which aligns with recent research recommendations for analyzing crime and disorder.
- The size of these street segments is not explicitly mentioned in terms of exact dimensions, but they are described as being represented by polygons, which suggests a variable size depending on the urban layout.
- The number of units is clearly stated as 2,233 street segments.
- The population per unit is not mentioned in the paper.
- The rationale for choosing street segments is based on their alignment with human observational limitations and their suitability for measuring exposure, which falls under the category of ""Theory–method.""
- The justification summary is that street segments were chosen because they align with human observational limitations and are suitable for measuring exposure, which is consistent with recent research recommendations."
"(Kuralarasan & Bernasco, 2022)",2022,Wards,Theft,"- ""Contemporary work on crime at places (Lee et al. 2017;Weisburd et al. 2009) emphasizes the heterogeneity of such large units and suggests that crime better be studied at more fine-grained resolutions, such as streets, street segments or parcels, as this could better reflect the very local nature of crime attractors and generators and guardianship.""
  - ""In terms of surface area, the wards are similar in size to neighborhoods or census tracts that have been used in crime location studies elsewhere (i.e., Long et al. 2018;Townsley et al. 2015), but due to the high population density in Chennai, the population sizes of wards are larger than those in most other studies.""
  - ""The study area for the present research is the Greater Chennai City Corporation, a metropolitan area with a population of over 6.6 million during the latest census in 2011. It consists of 201 wards with an average surface area of 2.18 km 2 (quartiles 0.97, 1.61 and 2.53) and an average population of 33,195 (quartiles 21,451, 36,560 and 43,622)""","- The spatial units of analysis (SUoA) used in the study are administrative units known as ""wards"" within the Greater Chennai City Corporation.
- The size of these wards varies, with an average surface area of 2.18 km² and a range from 0.97 to 2.53 km².
- The number of wards used in the study is 201.
- The average population per ward is 33,195, with a range from 21,451 to 43,622.
- The rationale for using wards as the spatial unit is not explicitly stated in terms of why they were chosen over other units, but it is implied that they are used because they are similar in size to neighborhoods or census tracts used in other studies.
- The justification category is not explicitly stated, but it can be inferred as ""Prior research"" since the wards are compared to units used in other studies.
- The justification summary is that wards were used as they are comparable to units used in other crime location studies, despite the recognition that finer-grained resolutions might be more ideal for capturing local crime dynamics."
"(Lammers et al., 2015)",2015,Postal_code_area,Multiple Types,"- ""Therefore, four-digit postal code areas are the spatial unit of analysis to indicate ""crime locations"" (crime target areas) and ""areas of residence.""""
  - ""Most other studies on crime location choice analyzed areas of similar or larger size (e.g., Bernasco, 2010b; Bernasco and Block, 2009;Bernasco and Nieuwbeerta, 2005;Clare, Fernandez, and Morgan, 2009;Townsley et al., 2014). Only two crime location choice studies used smaller units of analysis (Bernasco, 2010a; Bernasco, Block, and Ruiter, 2013), but these were designed with very different objectives in mind (e.g., the identification of micro hot spots for robbery and the estimation of spillover effects) than the current study, in which the focus is on the personal geographic experience of offenders.""","- The spatial unit of analysis (SUoA) used in the study is the ""four-digit postal code area.""
- The size of these units is described as having an ""average size of 2.96 km².""
- The number of units is specified as ""142 four-digit postal code areas.""
- The average population per unit is approximately ""7,000.""
- The rationale for choosing this spatial scale is justified by the fact that ""Dutch postal code areas are designed to have minimal travel restrictions for postal delivery services usually traveling on foot or bicycle, and the size of a postal code area is inversely related to its level of urbanization that matches the geographic coverage of residents.""
- The justification category is ""Theory–method"" because the choice is based on the theoretical assumption that these areas are familiar to individuals and align with urbanization levels.
- The justification summary is that four-digit postal code areas are used because they are considered a familiar scale for individuals and match urbanization patterns, making them appropriate for studying crime location choices."
"(Lammers, 2017)",2017,Postal_code_area,Burglary,"- ""the choice set consists of 142 four-digit postal code areas in the greater The Hague region.""
  - ""Since the four-digit postal code areas were designed to have minimal travel restrictions for postal delivery services travelling by bike or foot (Bernasco 2010b) , it is plausible that those living in or frequently visiting such an area will be familiar with it.""","- The spatial unit of analysis (SUoA) used in the study is the ""four-digit postal code area,"" which is an administrative unit.
- The size of each SUoA is specified as having an ""average size of 2.96 km².""
- The number of units is explicitly mentioned as ""142 four-digit postal code areas.""
- The average population per unit is given as ""7,000.""
- The rationale for choosing this spatial scale is implied by the mention that these areas were ""designed to have minimal travel restrictions for postal delivery services travelling by bike or foot,"" suggesting practical convenience and familiarity for residents.
- The justification category is ""Admin convenience"" and ""Practical constraint,"" as the choice is based on existing administrative boundaries and practical considerations for travel and familiarity.
- The justification summary is that the four-digit postal code areas were chosen due to their design for minimal travel restrictions, making them a practical and convenient scale for analysis."
"(Langton & Steenbeek, 2017)",2017,Residential_property,Burglary,"- ""The total sample is split between the 'treatment' group of observations, suffering from the disease of interest, and the 'control' group, which are free of the disease.""
  - ""the 'treatment' observations are those properties that were burgled, and the 'control' observations are those that were not.""
  - ""By sampling treatments and controls by neighbourhood, observations can be systematically compared whilst keeping all contextual characteristics on the neighbourhood-level constant, and no assumptions have to be made regarding omitted variable bias.""
  - ""The neighbourhoods of The Hague that were used in this study are exhibited in Fig. 1 , along with a single demonstrative neighbourhood to visualise the case-control design, using synthetic crime data.""
  - ""the final sample used for analysis therefore consisted of 300 single houses, evenly split between burglarised and non-burglarised dwellings.""
  - ""the data used for the neighbourhood-level construct was retrieved courtesy of Bruinsma et al. (2013), gathered from the community survey which contained five questions on social trust and six questions on informal social control""
  - ""The final construct had a mean of 0.07 (min ¼ À1.80, max ¼ 2.28, SD ¼ 1.05).""
  - ""The average response per neighbourhood was 36 respondents, giving a net-response rate of 31 percent (Bruinsma et al., 2013).""
  - ""Of these 86, only those that contained at least one burglarised house and comprehensive coverage of GSV were retained, leaving 55 usable neighbourhoods.""","- The study uses a case-control design, where the spatial units are individual properties (houses) rather than larger administrative or grid-based units.
- The study is conducted at the property level, with a focus on the physical attributes of residential homes and their immediate surroundings.
- The spatial units are not explicitly defined in terms of size or type (e.g., census tracts, block groups), but rather as individual properties within neighborhoods.
- The study uses neighborhoods as a broader context to control for contextual characteristics, but the primary focus is on individual properties.
- The justification for using individual properties as spatial units is implicit in the methodology, which aims to isolate property-level effects from neighborhood-level effects.
- The rationale category is likely ""Theory–method"" because the choice of spatial units aligns with the study's focus on property-level attributes and the use of a case-control design."
"(Long & Liu, 2021)",2021,Neighborhood,Robbery,"- ""The second type of data is a dataset coupled with individual factors (distance of journey to crime variables) and key neighborhood factors, including 2014 POI data (point coordinates), 2014 traffic road network vector map data, 2015 bus stop data (point coordinates) crawled based on Baidu API, within one week of 12 to 18 May 2016 ZG City's mobile phone data and the sixth census data of ZG city in 2010 (Table 3""
  - ""The data used in this paper include the arrest data and neighborhood characteristics data of ZG City. The first type of data is the arrest data of street robbers in ZG City from 2012 to 2016 provided by ZG City's Public Security Department.""
  - ""The data used in this paper include the arrest data and neighborhood characteristics data of ZG City.""
  - ""The study area consists of 1971 neighborhoods (Figure 1 ) with an average area of 1.62 square kilometers.""","- The paper specifies that the study area is divided into ""1971 neighborhoods"" with an ""average area of 1.62 square kilometers."" This indicates the spatial unit of analysis (SUoA) is a neighborhood.
- The size of each spatial unit is explicitly mentioned as ""1.62 square kilometers.""
- The description of the spatial units is that they are neighborhoods within ZG City, which are used for analyzing crime location choices.
- The total number of spatial units is given as ""1971 neighborhoods.""
- The paper does not provide specific information on the population per unit or a quoted rationale for why this spatial scale was chosen.
- The rationale category is not explicitly mentioned, but it can be inferred that the choice of neighborhoods as spatial units might be due to data availability and administrative convenience, as the data is organized at this level."
"(Long & Liu, 2022)",2022,Neighborhood,Robbery,"- ""the locations of the robbery were geocoded into one of 1971 neighborhoods as the dependent variable.""
  - ""The data in this paper and those of Long et al. (2021) are derived from the same dataset for ZG City, but they have different research questions.""","- The paper specifies that the study area is divided into ""1971 neighborhood units,"" which indicates the type of spatial unit used.
- The average size of these units is given as ""1.62 km²,"" providing the size of the spatial units.
- The number of units is explicitly stated as ""1971 neighborhood units.""
- The paper does not provide specific information on the population per unit, so this detail is not available.
- The rationale for choosing these spatial units is not explicitly justified in the provided text, so it is not specified.
- The justification summary is that the study uses neighborhood units as the spatial scale, but the specific reasons for this choice are not detailed in the text."
"(Long et al., 2018)",2018,Community,Robbery,"- ""The characteristics (sex and age) about the sample of street robbers are reported in Table 1 . For example, street robbers are almost exclusively men (98.67%), and there are only 7 females (1.33%). At the same time, teenagers and adult robber are the overwhelming majority (96.77%), and 51 and older robbers are the minority (3.23%).""
  - ""Finally, a total of 527 street robbers involving 1262 street robberies are screened out for further analysis.""
  - ""The data includes 11,455 cleared robberies, among which 67 percent were committed by a single robber without accomplices, 17 percent were committed by two robbers, and 16 percent were committed by three or more robbers.""
  - ""The study area covers 1973 communities (Figure 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of the communities is 2.85, the minimum size of 0.001 km 2 and the maximum size of 43 km 2""","- The paper specifies that the study area is divided into ""1973 communities,"" which are used as the spatial units of analysis (SUoA Type: Administrative unit).
- The average size of these communities is given as ""1.62 km 2 ,"" with a standard deviation of ""2.85,"" indicating variability in size (SUoA Size: varies 0.001-43 km²).
- The description of these communities is provided in terms of their size and number, with a focus on their role as spatial units for analyzing crime patterns (SUoA Description: Communities with varying sizes).
- The total number of spatial units is explicitly stated as ""1973 communities"" (Number of Units: 1973).
- The population per unit is not directly provided, but the paper mentions the total population of ZG City and the number of street robbers, which can be used to estimate population density (Population per Unit: Not directly provided).
- The rationale for choosing these spatial units is not explicitly justified in the quotes provided, but it can be inferred that the choice was based on administrative convenience and data availability (Quoted Rationale: Not explicitly provided; Rationale Category: Admin convenience / Data availability).
- The justification summary is that the spatial units were likely chosen due to their administrative definition and the availability of data at this scale, although this is not explicitly stated in the paper (Justification Summary: Administrative convenience and data availability)."
"(Long et al., 2021)",2021,Community,Robbery,"- ""The study area covers 1971 communities (Fig. 2 ), with an average size of 1.62 km 2 . The standard deviation of the size of communities is 2.85, the minimum size of 0.001 km 2 , and the maximum size of 43 km 2""
  - ""The data matrix of dependent variables is constructed by using these cases. The calculation of dependent variables in discrete spatial choice modeling refers to the method by Bernasco et al. (2013) and Johnson and Summers (2015). This paper assumes that a street robber chose one for robbery among 1971 communities (1971 alternative sets).""
  - ""The selected neighborhood is recorded as ""1""; otherwise, the non-selected one is recorded as ""0"". Therefore, for each case, it has 1971 rows of data with a ""1"" and 1970 ""0"".""
  - ""The dataset included the following information of each arrested robber: the unique offender identifier, the Hukou status, the home address, and the location and time of the robbery.""","- The spatial units of analysis (SUoA) are described as ""communities,"" which are administrative units in this context.
- The size of these communities varies, with an average size of 1.62 km², indicating that the SUoA size is not uniform but has a specified average.
- The total number of spatial units is explicitly stated as 1971 communities.
- The paper does not provide specific information on the population per unit, but it does mention that the data includes information on the home address of arrested robbers, which could imply some level of population data.
- The rationale for choosing these spatial units is not explicitly stated in terms of ""because,"" ""due to,"" or similar phrases, but the use of communities as SUoA is consistent with administrative convenience and data availability.
- The justification summary is that the study uses communities as spatial units due to their administrative relevance and likely data availability at this scale."
"(Marchment & Gill, 2019)",2019,Small_areas,Terrorist Attacks By The Provisional Irish Republican Army (Pira),"- ""Since 2011, Northern Ireland has been divided into 4537 'Small Areas' (hereafter, SAs), which are currently the smallest areal unit.""
  - ""SAs were designed specifically for statistical purposes and follow physical features of the environment such as roads and rivers (NISRA).""
  - ""The geographical boundary data for the SAs was obtained from the Northern Ireland Statistics and Research Agency (NISRA).""
  - ""The final offence and offender datasets comprised 150 attacks by 127 PIRA members within Belfast.""
  - ""Areal unit boundaries are arbitrary and lack ecological meaning (Bursik, 1986) and the characteristic data used may not be an accurate representation of the perceptions of those living in the areas (Coulton et al., 2001).""
  - ""Smaller units would enable factors such as the effects of social disorganisation to be touched upon, if the data was available.""","- The paper uses ""Small Areas"" (SAs) as the spatial units of analysis, which are the smallest areal units in Northern Ireland.
- These SAs are designed for statistical purposes and follow physical features like roads and rivers, indicating a practical and administrative convenience rationale.
- The choice of SAs was justified because they were deemed appropriate due to the lack of sociodemographic variables in the analysis, suggesting a data availability rationale.
- The total number of SAs used in the study is 890 for Belfast, which is a subset of the 4537 SAs in Northern Ireland.
- The paper does not provide specific size or population per unit information, but it does mention that SAs are the smallest areal units, implying a focus on scale optimization.
- The rationale for choosing SAs includes both data availability and administrative convenience, as they are designed for statistical purposes and follow physical boundaries."
"(Menting et al., 2016)",2016,Postal_code_area,Not Specified,"- ""Dutch four-digit postal code areas are designed to have minimal travel restrictions for postal delivery services that usually travel by foot or bicycle, and their size is inversely related to the level of urbanization (Bernasco, 2010: 398)""
  - ""The four-digit postal areas are therefore perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area.""","- The spatial units of analysis (SUoA) are described as ""four-digit postal code areas,"" which is a type of administrative unit.
- The size of these units is specified as having an ""average area size of 2.96 km²"" with a range from 0.12 to 24.69 km².
- The number of units is given as 142.
- The average population per unit is around 7,000.
- The rationale for choosing these units is that they are ""perfectly suited for a crime location choice study because most people will be familiar with these areas when living there or (frequently) visiting the area."" This suggests a theoretical-methodological justification, as it aligns with the study's focus on awareness spaces and familiarity.
- The justification category is ""Theory–method"" because the choice is based on the theoretical framework of crime pattern theory and the practical consideration of familiarity with areas."
"(Menting et al., 2020)",2020,Neighborhood,Theft,"- ""The entire Netherlands were selected as the study area and neighbourhoods as the spatial unit of analysis.""
  - ""Given their size and homogeneous character, Dutch neighbourhoods are expected to be well known to those who regularly visit them.""
  - ""Dutch neighbourhoods are the smallest statistical units for which Statistics Netherlands provides detailed information on structural and socio-economic features.""","- The spatial unit of analysis (SUoA) used in the study is the ""neighbourhood,"" which is a type of administrative unit.
- The size of these neighbourhoods varies, with a median size of 0.68 km² and a range from 0.01 to 128.2 km².
- There are a total of 12,821 neighbourhoods used in the study.
- The population per unit varies, with a median residential population of 675 and a range from 0 to 28,120.
- The rationale for choosing neighbourhoods as the SUoA is because they are the smallest statistical units for which detailed data is available from Statistics Netherlands, and they are expected to be well known to those who regularly visit them, which aligns with the theoretical framework of the study.
- The justification category is ""Data availability"" and ""Theory–method,"" as the choice is based on data availability and theoretical consistency."
"(Menting, 2018)",2018,Postal_code_area,Any-Crime-Type Offences,"- ""The study area consisted of three municipalities in the greater The Hague area in the Netherlands: The Hague, Rijswijk, and Leidschendam-Voorburg. Four-digit postal code areas were used as spatial unit of analysis.""
  - ""Dutch four-digit postal code areas are designed to have minimal travel restrictions for postal delivery services that usually travel by foot or bicycle, and their size is inversely related to the level of urbanization (Bernasco 2010: 398)""
  - ""The three municipalities in this study contained 82 postal code areas in 2006-2009. Postal code areas were includable when community survey data were available, which applied to 76 (92.7%) of the postal codes in the area""
  - ""These postal codes are therefore well suited for a crime location choice study, because most people will be familiar with these areas when living there or (frequently) visiting the area.""","- The spatial unit of analysis (SUoA) used in the study is the ""four-digit postal code areas.""
- The size of these units varies, with an average area size of 1.68 km² and a range of 0.12-22.26 km².
- The number of units used in the study is 76.
- The average population per unit is around 7700.
- The rationale for choosing these units is that they are ""well suited for a crime location choice study, because most people will be familiar with these areas when living there or (frequently) visiting the area.""
- The justification category is ""Theory–method"" because the choice is based on the theoretical suitability of the units for studying crime location choice.
- The justification summary is that four-digit postal code areas were chosen because they are familiar to residents and visitors, making them suitable for analyzing crime location choice."
"(Rowan, Appleby & McGloin, 2022)",2022,Census_block_group,Group Crime,"- ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).1""
  - ""Data include street connectivity measures from the Environmental Protection Agency and publicly available arrest information from Baltimore City (2013-16).""","QUOTES:

- ""The current study extends crime pattern theory and addresses this gap in the co-offending literature by considering whether the distribution of co-offences across census block groups in Baltimore City (Maryland) is related to measures of activity nodes and 'connected' street networks, net of the solo crime rate.""
- ""We merged the 2013-16 geocoded arrest data with data from the Environmental Protection Agency (EPA). The EPA has a publicly available Smart Location Database that includes a wide range of contextual information about census block groups across the entire United States.""
- ""Importantly, in a city context (as opposed to suburban or rural locales), a census block is generally a small area (typically a street-bounded block) and using this unit is consistent with prior work on the relationship between co-offending and neighbourhood context, which has relied on census tracts or blocks (e.g., Schaefer 2012; Billings et al. 2016).""
- ""Indeed, in Baltimore the census block group is relatively small: The average census block group in Baltimore has 2.4 census blocks, is .14 square miles, and has an average of 953 residents.""
- ""The data used in this study cover arrests from January 1, 2013 to December 31, 2016 that had complete information on the variables of interest (N = 68,393).""
- ""During this time period, there were a total of N = 6,249 incidents across 653 census block groups (Average Rate = 1.93 per 100 residents, SD = 11.24).""

REASONING:

- The spatial unit of analysis (SUoA) used in the study is the ""census block group.""
- The size of each census block group is specified as "".14 square miles.""
- The description of the spatial units indicates that they are small areas typically bounded by streets, consistent with prior research on neighborhood context.
- The study includes a total of 653 census block groups.
- The average population per unit is given as 953 residents.
- The rationale for choosing this spatial scale is quoted as: ""Importantly, in a city context (as opposed to suburban or rural locales), a census block is generally a small area (typically a street-bounded block) and using this unit is consistent with prior work on the relationship between co-offending and neighbourhood context, which has relied on census tracts or blocks.""
- The rationale category is ""Prior research,"" as the choice is consistent with previous studies on similar topics.
- The justification summary indicates that the choice of census block groups is based on their appropriateness for studying neighborhood-level phenomena and consistency with prior research."
"(S. E. M. van Sleeuwen et al., 2018)",2018,Postal_code_area,Multiple Types,"- ""the alternatives represent the 142 different four-digit postal code areas of the study region, the greater The Hague area in the Netherlands.""
  - ""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle (Bernasco 2010:398)""
  - ""Hence, most people who live in or regularly visit an area should be familiar with that area.""","- The spatial units of analysis (SUoA) are described as ""four-digit postal code areas,"" which are a type of administrative unit.
- The size of these units is specified as having an ""average area size of about 2.96 km².""
- The number of units is given as ""142 different four-digit postal code areas.""
- The average population per unit is approximately ""7,000 residents.""
- The rationale for choosing these units is based on their suitability for crime location choice research due to minimal travel restrictions and familiarity with the area, which aligns with practical convenience and prior research.
- The justification summary is that four-digit postal code areas were chosen because they are well-suited for crime location choice research, providing a practical and familiar scale for analysis."
"(S. van Sleeuwen et al., 2021)",2021,Neighborhood,Multiple Types,"- ""In order to determine the adequate spatial and temporal resolution for our unit of analysis, we first checked the reported level of accuracy for the seven routine activity domains and the five different reported types of crime. Spatial accuracy was generally higher for the reported routine activity nodes than for the crimes. However, for all 12 categories combined, more than three-quarters of the locations were indicated to be reported at least at the neighbourhood level.""
  - ""The dependent variable crime committed in neighbourhood (1 = yes; 0 = no) indicates whether or not an offence was committed in a specific neighbourhood.""","- The paper uses ""neighbourhoods"" as the spatial unit of analysis (SUoA Type).
- The size of these neighbourhoods is described with a median area of 0.66 km², a mean of 2.63 km², and a range of 0.02-130.14 km² (SUoA Size).
- The description of these spatial units is that they are ""unique neighbourhoods in the Netherlands for the year 2018"" (SUoA Description).
- There are 13,305 unique neighbourhoods used in the study (Number of Units).
- The paper does not provide specific information on the population per unit (Population per Unit).
- The rationale for choosing neighbourhoods as the spatial unit is implied by the need for spatial accuracy and the availability of data at this level (Quoted Rationale).
- The rationale category is likely ""Data availability"" and ""Theory–method"" as the choice is based on the accuracy of reported locations and the theoretical framework of crime pattern theory (Rationale Category).
- The justification summary is that neighbourhoods were chosen due to their spatial accuracy and data availability, aligning with the study's theoretical framework (Justification Summary)."
"(Smith & Brown, 2007)",2007,Grid_cell,Breaking And Entering,"- ""The choice set was defined using the following steps. The smallest rectangle that would wholly circumscribe the boundaries of the City of Richmond was the extents of a grid with 100 rows and 100 columns. A spatial intersection operation was then performed to remove those grid cells falling wholly outside the city limits. The remaining 4,895 centroids constitute the choice set.""
  - ""If features are aggregated areally, such as demographic data reported by census tract, then a grid resolution finer than the aggregation area is unnecessary.""
  - ""The resolution of the grid used must be fine enough to capture the variance of spatial features. Determining adequate resolution depends on the nature of features used.""
  - ""The north-south inter-centroid spacing is 170 m, the east-west inter-centroid spacing is 191 m.""","- The paper uses a grid cell as the spatial unit of analysis (SUoA Type: Grid cell).
- The size of each grid cell is specified by the inter-centroid spacing, which is 170 meters north-south and 191 meters east-west (SUoA Size: 170m x 191m).
- The choice set is described as being derived from a grid that covers the City of Richmond, with centroids constituting the choice set (SUoA Description: Grid cells covering the City of Richmond).
- The total number of spatial units is given as 4,895 centroids (Number of Units: 4,895).
- The paper does not provide specific information on the population per unit (Population per Unit: Not mentioned).
- The rationale for choosing this spatial scale is related to the need to capture the variance of spatial features and the resolution being fine enough for the data used (Quoted Rationale: ""The resolution of the grid used must be fine enough to capture the variance of spatial features"").
- The rationale category is related to practical constraints and scale optimization, as it depends on the nature of the features used (Rationale Category: Practical constraint / Scale optimization).
- The justification summary is that the grid size was chosen to be fine enough to capture the variance of spatial features, which is a practical consideration for the analysis (Justification Summary: Practical consideration for capturing spatial feature variance)."
"(Song et al., 2019)",2019,Census_unit,Theft,"- ""Using census units as spatial units of analysis implies that we aggregate numbers of crime generators to the census unit level, and thus sum the numbers of schools, restaurants, bus stops and other facilities per census unit.""
  - ""The study area comprises 1891 census units in total, of which 275 are not included in the analysis because the lack mobility data due to limited coverage of the GSM mobile phone network, leaving 1616 census units in the analysis.""
  - ""The census unit was chosen as the spatial unit of analysis because census units have a size similar to those in comparable studies (Bernasco and Block 2009;Clare et al. 2009;Menting et al. 2016), because census units are approximately equally sized, and because in the study area they are relatively homogenous in terms of population composition.""
  - ""The mean population is 5956 (standard error 4706, minimum 245, maximum 51,450).""","- The spatial unit of analysis (SUoA) type is specified as ""census units.""
- The size of these census units is provided as an average of 1.62 km², with a range from 0.02 km² to 31.30 km².
- The number of census units in the study is 1616 after excluding some due to limited data coverage.
- The average population per unit is given as 5956, with a range from 245 to 51,450.
- The rationale for choosing census units includes their similar size to those in comparable studies, their equal size, and their homogeneity in population composition.
- The justification category is ""Prior research"" and ""Theory–method"" as it aligns with previous studies and theoretical considerations."
