Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""THEORETICAL FRAMEWORK & OBJECTIVES""",quotes,num_quotes
"(Long & Liu, 2021)",Neighborhood,Robbery,1.62,China,"- ""The spatial pattern of crime has been a central theme of criminological research.""
  - ""This study addresses the issue of whether the spatial distribution of migrant robbers' crime location choices is different from those of native robbers.""
  - ""The results demonstrate that the crime location choices between migrant robbers and native robbers have obvious spatial differences.""
  - ""The implications of the findings for criminological theory and crime prevention are discussed.""
  - ""Many theoretical approaches can be taken to understand the crime location choice. Consequently, drawing on concepts and empirical findings from environmental criminology and the ecology literature, we briefly identify the primary criminological theories and empirical evidence that bears the most relevance for the topics discussed: crime pattern theory, the routine activity approach, and social disorganization theory.""
  - ""Crime pattern theory explains the issue of where offenders commit their crimes""
  - ""routine activity theory suggests that for a crime to occur in a certain location, a motivated offender must encounter a suitable and unguarded target and that this convergence will be a function of the routine activities of offenders, potential victims, and guardians""
  - ""Social disorganization theory is frequently used to explicate crimes triggered by changes in the social environment,""
  - ""the present study seeks to contribute to the knowledge about the crime spatial patterns of migrant robbers and native robbers.""
  - ""Using data on the ZG City of China, we set out to answer two questions: whether the spatial distribution of migrant offenders' crime location choices is different from those of native robbers, and what are the main contributing factors?""
  - ""However, little is known about spatial differences between migrant offenders and native offenders in committing street robberies in Chinese society.""
  - ""The rapidly growing urban population, especially the immigrant population in cities, is the primary social concern on public safety that China is facing in recent decades.""
  - ""Notably, one of the negative consequences of the influx of massive internal migration into cities is the increase in urban crime""",,13
"(Long & Liu, 2022)",Neighborhood,Robbery,1.62,China,"- ""Based on the perspective of offender spatial decision-making, this study explores the variation in crime location choices committed by street robbers in different age groups, and examines how age-related activity nodes, journey to crime, and social disorganization influence street robbers' location choices in a large Chinese city.""
  - ""The results demonstrate that street robbers favor areas frequented by their age group, close to their residence, and low in social cohesion.""
  - ""Crime pattern theory can predict that offenders commit crimes in their routine activity spaces (Menting et al., 2020), and it provides an analytical framework to understand how street robbers' location choices would be influenced by routine activity nodes""
  - ""the research question of this paper is whether street robbers' crime location choices vary by age? Secondly, how do routine activity nodes, journey to crime, and social disorganization affect juvenile, young adult, and adult robbers' target place selection?""
  - ""this study is deeply rooted in the extensive literature on social disorganization theory and crime pattern theory.""
  - ""Most of the previous research has concentrated on offenders' crime location choices, and little is known of the difference across age.""
  - ""This study demonstrates that street robbers favor areas that are activity nodes frequented by their age group and closer to their residence and low in social cohesion.""
  - ""The findings highlight that categorizing street robbers by age can uncover hidden spatial preferences that have been overlooked in the previous research.""",,10
"(Long et al., 2018)",Community,Robbery,1.62,China,"- ""Understanding how offenders choose a crime location is a classic criminological problem [1].""
  - ""The previous studies on the crime location choice of street robbers mainly follow two perspectives. One aims to explain the spatial pattern by various influencing factors [2][3][4][5][6][7][8][9]. The other studies are based on a recency perspective to examine the influence of the prior on subsequent crime location choices [10,11], and suggest that offenders are more likely to return to the same area if prior offenses occurred more recently.""
  - ""This paper aims to further explore the issue of repeated crime location choices, with a focus on an offender's prior experience of arrest.""
  - ""This paper first discusses the effects of time of prior offending.""
  - ""this paper tests if a street robber not arrested in the act of a former crime is more likely to return to the same area for future robbery.""
  - ""Based on the aforementioned theories and literature, this current study aims to analyze the preference of offenders' crime location choices from the perspective of repeated crimes.""
  - ""Theories of social disorganization explain the occurrence mechanism of crime from three aspects.""
  - ""Crime pattern theory provides some theoretical explanations for why offenders commit several crimes in the same area [10].""
  - ""Rational choice theory argues that an offender's decision-making is rational, but it is bounded or limited by the differences in individual characteristics, financial needs, crime opportunities, social factors, and so on [29].""
  - ""Social disorganization theory focuses on how the neighborhood's social composition may make it resist or promote criminal activity [35, 36].""
  - ""this study tests the following three hypotheses: Hypothesis 1. Following a previous robbery, a robber is more likely to commit a subsequent robbery in the same area if the time interval between the prior and subsequent offense is shorter.""
  - ""Hypothesis 2. Following a previous robbery, a robber is more likely to commit a subsequent robbery in the same area if the distance of journey to previous robbery is shorter.""
  - ""Hypothesis 3. An offender not arrested in the act of a prior robbery is more likely to return to the same area for future robbery, compared with those who were arrested in the act.""
  - ""The literature shows that offenders' subsequent crime location choices are affected by their prior crime location choices. However, the published studies have focused on the influence of time and place of a previous crime, without testing the impact of whether the offender was arrested during the act of the prior crime.""
  - ""It is worth pointing out that empirical crime research based on official police data is rare in China, perhaps because the crime data is very difficult or almost impossible to access.""
  - ""this empirical study will add a valuable piece to the scarce literature.""",,17
"(Kuralarasan & Bernasco, 2022)",Wards,Theft,2.18,India,"- ""The key question that crime location choice studies address, is why offenders prefer some places over other places for committing crime.""
  - ""The approach is rooted in rational choice theory, in particular the assumption that offenders use some form of cost-benefit optimization when they decide where to commit crime.""
  - ""The primary purpose of crime location choice studies is to widen and deepen our knowledge of offender decision making.""
  - ""The present study contributes to this line of research by investigating the location choices of snatching offenders in Chennai City, India.""
  - ""Our main contributions to the extant literature in quantitative criminology are threefold.""
  - ""A limitation of the extant literature is that almost all crime location choice studies have been conducted in western countries, in particular the United States, Australia, the United Kingdom, the Netherlands and Belgium.""
  - ""the present study pioneers the theory and methodology of crime location choice in the Indian context.""
  - ""The results confirm that snatching offenders prefer to target locations closerto their residence and that they prefer to re-offend at or near their prior offendinglocations.""
  - ""The findings also demonstrate that some but not all crime attractors andgenerators influence the location choice of snatching offenders.""
  - ""By replicating in an Indian context previously published crime locationchoice findings, our findings support the generality of crime pattern theory.""",,12
"(S. van Sleeuwen et al., 2021)",Neighborhood,Multiple Types,2.63,Netherlands,"- ""Building on previous geography of crime research, we extend crime pattern theory and propose that an offender's spatial knowledge acquired during daily routine activities is not equally applicable to all times of day.""
  - ""We argue that Fig. 2 only tells half of the story. Building on previous geography of crime research, the aim of this article is twofold. First, expanding upon previous theoretical arguments made by others (see e.g., Curtis-Ham et al. 2020;Johnson et al. 2007;Van Sleeuwen et al. 2018), we argue how crime pattern theory needs to be extended to better understand both where and when crimes are committed.""
  - ""Our first contribution is thus theoretical: the applicability of the spatial knowledge offenders acquire during their daily routine activities needs to be conceptualized as time-varying in crime pattern theory.""
  - ""Hypothesis 1 Offenders are more likely to commit crime in areas they have regularly visited at the same time of day than in areas they have regularly visited at different times of day.""
  - ""Hypothesis 2 Offenders are more likely to commit crime in areas they have regularly visited at different times of day than in areas that are outside their activity space.""
  - ""Although the core of crime pattern theory explains spatial patterns in crime, it also addresses temporal crime patterns by acknowledging that target attractiveness can be time-varying.""
  - ""we argue that the theory needs to include time-varying applicability of spatial knowledge.""
  - ""Our extension of crime pattern theory is only tentatively supported.""
  - ""Notwithstanding these shortcomings, this study has presented an extended crime pattern theory to better explain not just where but also when crimes are committed.""",,12
"(Menting et al., 2020)",Neighborhood,Theft,2.63,Netherlands,"- ""Crime pattern theory predicts that offenders commit offences in their activity spaces.""
  - ""According to the geometry of crime in crime pattern theory (Brantingham and Brantingham 1981;Brantingham et al. 2017), offenders are more likely to commit offences within their awareness spaces because they know these areas.""
  - ""Crime pattern theory's geometry of crime (Brantingham and Brantingham 1981;1993;Brantingham et al. 2017) provides a framework for understanding where offences occur.""
  - ""We test the following hypotheses:

Hypothesis 1: Offenders are more likely to commit offences in areas that include any regularly visited activity node than in otherwise comparable areas without any activity node.

Hypothesis 2: Offenders are more likely to commit offences in areas closer to any regularly visited activity node compared to otherwise comparable areas further away.""
  - ""Consequently, these studies included a very limited number of activity nodes, and they did not have information on whether and how frequently offenders actually visited these. These limitations have hampered our understanding of how and to what extent activity spaces affect where offenders commit offences, and crime pattern theory has only been partially tested.""
  - ""In order to provide a more rigorous test of crime pattern theory and better explain offenders' crime location choices, regularly visited activity nodes of individual offenders and their offending patterns should be mapped more completely.""
  - ""This study not only provides a unique test of a central theory in environmental criminology, it is also methodologically innovative by using an online self-report survey among offenders to assess their activity spaces and crime location choices.""",,10
"(Xiao et al., 2021)",Community,Burglary,2.74,China,"- ""Based on an offender spatial decision-making perspective, this burglary target location choice study aims to understand how physical and social barriers affect why residential burglars commit their crimes at particular locations in a major Chinese city.""
  - ""Crime pattern theory provides a framework for understanding why target choices of residential burglars would be affected by physical and social barriers.""
  - ""This study conceptualizes social barriers for the Chinese context, without a link to racial/ethnic differences, but specific to how local residents and domestic migrants from other parts of China live segregated lives.""
  - ""Several crime location choice studies indeed found that offenders are less likely to target areas on the other side of such physical barriers""
  - ""This study combines both physical and social barriers in a single model and test their effects on burglary location choices simultaneously.""
  - ""The same should hold for Chinese cities, as the rapid urbanization has led to the construction of many highways and urban expressways, which cut across cities and divide them into distinct functional regions""
  - ""Residential burglars who are local to the city are more likely to offend in areas with a majority local resident population (Hypothesis 3a).""
  - ""Residential burglars from a domestic migrant background are more likely to offend in areas with a majority domestic migrant population (Hypothesis 3b).""",,9
"(Yue et al., 2023)",Community,Theft,2.81,China,"- ""this study makes a contribution to the extant crime location choice literature.""
  - ""Intuitively, the opportunities for street theft crime should be affected by the on-street population and the streetscape physical environment, which in turn influences offenders' location choice strategies. However, the literature has not examined the association between visual streetscape context and offenders' preferences of crime location, possibly due to the lack of detailed data sources.""
  - ""The main aim of this study is to investigate how the presence of people on the street and the streetscape's physical environment affect criminals' crime location choices.""
  - ""The crime location choice studies are typically built on the rational choice theory, first proposed by Cornish and Clarke to help explain crime target selection (Cornish & Clarke, 1987).""",,5
"(Lammers et al., 2015)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""A central claim of crime pattern theory (Brantingham and Brantingham, 2008) is that offenders' knowledge of an area shapes their criminal activities.""
  - ""Crime pattern theory thus offers several theoretical explanations for why offenders would offend multiple times in the same area.""
  - ""The main hypothesis being tested is that offenders are more likely to commit crimes in areas where they offended before than in areas not previously targeted.""
  - ""Although the research on repeat offending is widespread, systematic research on repeated crime location choices is nonexistent.""
  - ""This article examines repeated crime location choices, testing the hypothesis that offenders are more likely to commit a crime in an area they previously targeted than in areas they did not target before.""
  - ""The current study's findings indicate that offenders do return to prior crime locations even though they had been arrested for these crimes.""
  - ""The key advantage of the current study is that we assess whether and how offenders, as a result of their own experiences, learn about attractive and unattractive places to offend.""",,7
"(Lammers, 2017)",Postal_code_area,Burglary,2.96,Netherlands,"- ""According to crime pattern theory, crimes take place where attractive criminal opportunities overlap with the awareness space of offenders (Brantingham and Brantingham 2008).""
  - ""The current study will take a next step in gaining insight into the relationship between co-offending and crime location choice, by using one model to analyse previous and current home locations of all offenders involved, as well as previous crime locations and measures of attractiveness of targets.""
  - ""The first research question addressed in this study is: What is the percentage of shared awareness space between co-offenders?""
  - ""The second research question of this study is: Are co-offended crimes more likely to be committed in the shared awareness space of co-offenders or in other, comparable areas?""
  - ""Ten years after the study of Kleemans (1996), Bernasco (2006) was the first to study the influence of co-offending on crime location choice in burglaries. To date, no other studies have directly evaluated the role of co-offending in crime location choice,""
  - ""Still unexplored, however, is how cooffending influences offender's decisions (McGloin and Piquero 2009), including the decision on where to commit a crime.""
  - ""The findings of this study are in line with crime pattern theory: the locations where offender groups commit their crimes are more probably locations known to multiple offenders in that group, or in other words locations that are part of the shared awareness space of the group.""",,12
"(Menting et al., 2016)",Postal_code_area,Not Specified,2.96,Netherlands,"- ""According to crime pattern theory, offenders are likely to select crime locations within their awareness space.""
  - ""This study examines the importance of the residential areas of offenders' family members.""
  - ""The importance of family in the etiology of crime is undisputed. However, family may not only influence whether people commit crime but also where they do.""
  - ""This study is the first to examine how the residential areas of their family members affect the crime location choices of offenders.""
  - ""Although these areas have not been emphasized as an activity node in original accounts of crime pattern theory, they are probably part of (many) offenders' awareness spaces if offenders visit their families.""
  - ""The impact of the residential areas of offenders' family members on their crime location choices has not been examined before.""
  - ""According to crime pattern theory, offenders are more likely to target areas within their awareness space because they are familiar with these areas and consequently have some knowledge about the potential risks and rewards involved.""
  - ""our main hypothesis reads as follows:

Hypothesis 1: Offenders are more likely to commit a crime in an area in which any of their close family members-parents, siblings, or children-currently live or formerly lived when compared with otherwise comparable areas in which no family members ever lived.""
  - ""This study combines police data on 7,910 offenders in the greater The Hague area in the Netherlands and the 19,420 offenses they committed with unique and detailed data to reconstruct the residential histories of their parents, siblings, and children.""",,12
"(S. E. M. van Sleeuwen et al., 2018)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""Extending crime pattern theory, we argue that offenders acquire time-specific rather than general knowledge of their environment.""
  - ""We hypothesize that offenders are more likely to offend in previously targeted areas at similar than at different days and times.""
  - ""Importantly, both crime pattern theory and related empirical research are mainly concerned with offenders' spatial choices of where to commit crime but barely address the timing of those choices.""
  - ""In the present study, we argue that offenders' knowledge about the attractiveness of potential target areas applies to specific times and so differs over the seven days of the week and the 24 hours of the day.""
  - ""This study contributes to the geography of crime research in three ways.""
  - ""First, we extend Brantingham and Brantingham's (1981;2008) crime pattern theory by arguing that offender awareness spaces are not static over the week or day but rather time-specific.""
  - ""Second, in contrast to repeat victimization studies, the present study addresses temporal aspects of criminal target selection within the week and day from an offender's perspective,""
  - ""Third, by comparing the crime types of previous and subsequent offenses, we also provide more insight into the influence of more general versus crime type-specific knowledge on the decision to target a particular area at a certain day and time.""
  - ""Answering the question to what extent repeat offenders' crime location choices are time-specific requires research aimed at understanding offenders' spatial criminal decision-making.""",,12
"(Bernasco, 2010a)",Postal_code_area,Multiple Types,2.96,Netherlands,"- ""Building on crime pattern theory and combining information from police records and other sources, this study confirms that offenders who commit robberies, residential burglaries, thefts from vehicles, and assaults are more likely to target their current and former residential areas than similar areas they never lived in.""
  - ""Crime pattern theory (Brantingham and Brantingham, 2008) is a perspective well equipped to shed light on the issue of whether and why offenders choose the proximity of past residential addresses to commit crimes.""
  - ""The issues resolved in this article are of theoretical, empirical, and practical relevance. Theoretically, the key innovation is that the article introduces a temporal dimension in the concept of awareness space.""
  - ""Empirically, this study is the only one that has analyzed the effect of past residence on current crime-location choice.""
  - ""This study has examined a different issue. It has addressed the question of how an offender's individual residential history influences where he or she commits crimes.""
  - ""The hypothesized proclivity of offenders to offend within areas encompassing prior residences is illustrated in greater detail by Curman's (2004: 111-34) analysis of the locations of the targets of a female arsonist in the Greater Vancouver region,""
  - ""the sparse literature on the issue is anecdotal and cannot be used to assess whether committing crimes in the proximity of past residences is a general and significant pattern in the offender population at large.""
  - ""The research presented here has addressed an issue that has never been studied systematically-the relative roles of current and former residence in crime-location choice.""",,10
"(Bernasco, 2010b)",Postal_code_area,Burglary,2.96,Netherlands,"- ""The discrete choice framework was originally developed in economics as a model of individual choice behavior based on the principle of random utility maximization.""
  - ""The application of the discrete choice framework to crime location choice-the offender's choice of where to commit an offense-is relatively new.""
  - ""The focus on small spatial units requires consideration of the aspatial nature of the multinomial logit model, and the utilization of the spatial competition model.""
  - ""The spatial competition model is not saddled with the independence of irrelevant alternatives (IIA) property, a property that has been viewed as the Achilles heel of the multinomial logit model because its implications can be counterintuitive.""
  - ""the main criterion for choosing a particular unit of analysis is the theory to be tested.""
  - ""Many theoretical notions that relate to spatial crime patterns, including propositions about offender behavior, informal social control and the nature of crime settings, apply to units of analysis that are arguably much smaller than neighborhoods, census tracts or block groups.""
  - ""The ecological fallacy (Robinson 1950) is the reasoning error by which conclusions about small units are made on the basis of empirical findings at higher levels of aggregation.""
  - ""The best way to prevent this fallacy is to measure and analyze the data at units of analysis that match the theory.""
  - ""The discrete choice framework is a set of assumptions and methods to model a decisionmaker's choice among a set of alternatives that are mutually exclusive and collectively exhaustive.""
  - ""The spatial competition model (also see Fotheringham et al. 2000;Pellegrini and Fotheringham 2002) allows for spatial decision-making to be spatially hierarchical, and is not saddled with the IIA property nor with the disadvantages of the nested logit model.""
  - ""Observing that prior studies of offender mobility and crime location choice have used relatively large spatial units of analysis, and recognizing that the choice processes involved in crime target selection also operate at considerably smaller geographic scales, this paper demonstrates how the conceptual and analytical tools of the discrete choice framework (notably the multinomial logit model, the spatial competition model and the sampling from alternatives procedure) can be used in situations where the spatial units of analysis are very small (roughly the size of a football field).""
  - ""The analysis of burglary location choices in the Greater The Hague area, in which small spatial entities with an average of 18 properties and 40 residents are distinguished, illustrates these points.""
  - ""The remainder of this discussion will first highlight the advantage of the discrete choice framework compared to other methods of studying the geography of burglary, and elaborate its theoretical basis.""
  - ""A major innovation of the discrete choice model for research on burglary is that it integrates offender variability into an analytical strategy that is exclusively target-based.""
  - ""The discrete choice framework does. It makes explicit that characteristics of potential targets do not attract burglaries in some mysterious way, but through the decision-making of burglars.""
  - ""According to the discrete choice perspective, burglars searching and targeting properties behave like optimal foragers (Bernasco 2009b; Felson 2006;Johnson et al. 2009).""",,18
"(Bernasco & Kooistra, 2010)",Postal_code_area,Robbery,2.96,Netherlands,"- ""Extending crime pattern theory, and combining data on police recorded robberies with data on the residential histories of the robbers and with a database of postal code areas, we demonstrate that offenders are more likely to commit commercial robberies in their former residential areas than in otherwise similar areas they have never lived in.""
  - ""Crime pattern theory (Brantingham and Brantingham 2008) assumes that offending usually takes place within the awareness space of the offender.""
  - ""the present paper articulates such a theory, derives new hypotheses from it and tests them using data on the spatial target choices of commercial robbers.""
  - ""The first hypothesis modifies distance decay with respect to the duration of residence.""
  - ""The second hypothesis asserts that, because areas of past residence will remain in an offender's awareness space, they are more likely to be targeted than areas that have never been the offender's area of residence.""
  - ""The present study examines a different issue. It addresses the question of whether and how an offender's previous residential areas have an influence on where he or she commits crimes.""
  - ""Although a very comprehensive literature documents the tendency of offenders to offend near their residence (e.g. Van Koppen and Jansen 1998;Wiles and Costello 2000), the investigation of the role of past residence leads into barely explored territory.""
  - ""The present paper replicates and extends Bernasco's work by focusing on commercial robberies and by using data that cover a much larger geographical area.""
  - ""the findings might be useful in criminal investigations by providing guidance in the construction of a geographical offender profile (Canter et al. 2000;Rossmo 2000).""
  - ""The results of this research show that, when offenders move away from their neighbourhoods to commit crime, they often travel to areas of previous residence.""",,10
"(Clare et al., 2009)",Residential_suburb,Burglary,6.7,Australia,"- ""Consequently, this article utilises the discrete spatial choice approach to formally evaluate the impact of barriers and connectors on residential burglars' macro-level offending location choices.""
  - ""Based on the framework provided by opportunity theories discussed above for understanding the role of the environment in the interaction between offenders and targets, the aim of this research is to build on Bernasco and Nieuwbeerta's (2005) findings and utilise a discrete spatial choice approach to formally evaluate the influence of barriers and connectors on target selection at a macro level.""
  - ""the aim of this research is to build on Bernasco and Nieuwbeerta's (2005) findings and utilise a discrete spatial choice approach to formally evaluate the influence of barriers and connectors on target selection at a macro level.""
  - ""First, it was anticipated that effective barriers should reduce the perceived utility of separated areas. Second, it was predicted that connectors should increase the utility of linked areas. Third, it was expected that distance would have an impact on offender movement and target area selection, in addition to the impact of barriers and connectors. Finally, it was hypothesised that the perceived likelihood of successfully completing a burglary (as a consequence of sociological, area factors) would influence offender decision-making.""
  - ""Despite good reason to believe impermeable barriers will contribute to these movement patterns, the impact of this factor lacks conclusive formal evaluation.""
  - ""The lack of uniformity in prior research on the crime redistribution impact of new transit routes is underlined by Smith and Clarke (2000, p. 219) who note that public fear of attracting crime can delay the introduction of new services.""
  - ""Future research into the influence of barriers must analyse types of barriers separately, and consider their varying impact over different distances (variations in choice set).""
  - ""The significance of the connector examined here was also consistent with crime pattern theory and the expectations of previous research (e.g., Brantingham et al., 1991) as the facilitative influence of a train link on suburb target selection was pronounced.""",,9
"(Townsley et al., 2016)",Statistical_local_areas,Burglary,8.48,Australia,"- ""Applying a model of offender target selection that is grounded in assertions of the routine activity approach, rational choice perspective, crime pattern and social disorganization theories, it seeks to address the as yet untested assumption that crime location choice preferences are the same for all offenders.""
  - ""The discrete spatial choice framework (Bernasco and Nieuwbeerta 2005) attempts to model location choice by comparing the characteristics of neighborhoods where offenders have committed crimes with those neighborhoods where they have chosen not to commit crimes.""
  - ""This research highlights that current understanding of choice outcomes is relatively poor and that existing applications of the discrete spatial choice approach may underestimate preference variation between offenders.""
  - ""The most substantive of these is that the conditional logit can estimate aggregate preference relationships. When choices are nested within decision makers, it is highly unlikely that aggregate relationships will provide adequate depictions of crime location choice at the individual level.""
  - ""The first sees offenders as optimal foragers (Johnson and Bowers 2004), who seek to satisfy their needs but expend minimal effort in doing so. This is consistent with the rational choice approach (Cornish and Clarke 1986, 2008) that depicts offenders assessing the relative ''rewards'', ''risks'' and ''effort'' associated with exploiting particular criminal opportunities.""
  - ""The second depicts crime location choice as a hierarchical, spatially structured decision process (Bennett and Wright 1984), such that offenders complete a sequence of nested decisions to determine a suitable location for crime.""",,6
