Title,Variable,Source_Column,Study_Index
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Proportion of single-person households | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Proportion of residents with a non-western background | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Age of offenders | Number,DEMOGRAPHIC & SOCIAL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Gender of offenders | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Number_of_Employees | Number,ECONOMIC VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Number of bars/restaurants/hotels | Rate,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Collective efficacy | Index,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Euclidean Distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Average Distance Replacement | Distance,DISTANCE & ACCESSIBILITY VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Postal Code Areas | Number,DISTANCE & ACCESSIBILITY VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Travel Restrictions | Number,DISTANCE & ACCESSIBILITY VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Distance between the offender's residential area and the crime location | Distance,TEMPORAL & CONTROL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Previous crime location | Binary,TEMPORAL & CONTROL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,"Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities | Number",TEMPORAL & CONTROL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Number of employees | Number,TEMPORAL & CONTROL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Neighbourhood disorder | Index,TEMPORAL & CONTROL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Proportion of single-person households | Percentage,TEMPORAL & CONTROL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,Proportion of residents with a non-western background | Percentage,TEMPORAL & CONTROL VARIABLES,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,"25, 0.30 | Number",MODEL FIT & PERFORMANCE METRICS,8
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,25. | Number,MAJOR FINDINGS & RESULTS,8
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Proportion of Single-Person Households | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Proportion of Residents with a Non-Western Ethnic Background | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Proportion of single-person households | Percentage,ECONOMIC VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Proportion of residents with a non-Western ethnic background | Percentage,ECONOMIC VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Number of retail stores | Number,ECONOMIC VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *","Number of hotels, restaurants, and bars | Number",ECONOMIC VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Number of people working | Number,ECONOMIC VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Retail stores | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *","Hotels, restaurants, and bars | Number",ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Schools | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Culture | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Health care | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Sports and leisure facilities | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Number of people working | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Distance to Prior Crime Location | Distance,DISTANCE & ACCESSIBILITY VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Distance from Residential Area to Target Areas | Distance,DISTANCE & ACCESSIBILITY VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Recency Variables | Binary,TEMPORAL & CONTROL VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Residential Area Variables | Percentage,TEMPORAL & CONTROL VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Population Density | Distance,TEMPORAL & CONTROL VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Proportion of Single-Person Households | Percentage,TEMPORAL & CONTROL VARIABLES,9
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",Proportion of Non-Western Residents | Percentage,TEMPORAL & CONTROL VARIABLES,9
Burglar Target Selection: A Crossnational Comparison,Residential Mobility | Number,DEMOGRAPHIC & SOCIAL VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Social Cohesion | Number,DEMOGRAPHIC & SOCIAL VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Residential Real Estate Value | Number,ECONOMIC VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Number of households | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Proportion of single-family dwellings | Percentage,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Residential mobility | Percentage,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Availability of potential targets | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Proximity | Distance,DISTANCE & ACCESSIBILITY VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Proximity to City Center | Distance,DISTANCE & ACCESSIBILITY VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Proportion of Single-Family Dwellings | Percentage,DISTANCE & ACCESSIBILITY VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Number of Households | Number,DISTANCE & ACCESSIBILITY VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Jurisdictional Dummies | Binary,TEMPORAL & CONTROL VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Robust Standard Errors | Number,TEMPORAL & CONTROL VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,Wald Tests | Number,TEMPORAL & CONTROL VARIABLES,10
Burglar Target Selection: A Crossnational Comparison,"67 (The Hague), 1.90 (Birmingham), 1.21 (Brisbane); for single-family dwellings: 1.19 (The Hague), 1.12 (Birmingham), 1.13 (Brisbane); for number of households: 1.34 (The Hague), 1.76 (Birmingham), 1.47 (Brisbane). | Number",MAJOR FINDINGS & RESULTS,10
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Proportion of local residents with ZG city Hukou status | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,"Community categorization by majority population type (local, domestic migrant, mixed) | Binary",DEMOGRAPHIC & SOCIAL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Social barriers based on Hukou status | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Limited social network overlap | Number,DEMOGRAPHIC & SOCIAL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Number of households in a community | Number,DEMOGRAPHIC & SOCIAL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Proportion of houses built after 2000 | Percentage,ECONOMIC VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Average rent price | Number,ECONOMIC VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,"Rent categories (no rent, low, medium, high) | Binary",ECONOMIC VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Number of households | Number,ECONOMIC VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Proportion of high-rise buildings | Percentage,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Proportion of houses built after 2000 | Percentage,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Natural log of the number of households | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Average rent price | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Physical Barriers | Number,DISTANCE & ACCESSIBILITY VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Distance Measure | Distance,DISTANCE & ACCESSIBILITY VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Accessibility Measure | Distance,DISTANCE & ACCESSIBILITY VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Distance | Distance,TEMPORAL & CONTROL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Affluence Measures | Percentage,TEMPORAL & CONTROL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Affluence Measures | Number,TEMPORAL & CONTROL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Building Type | Percentage,TEMPORAL & CONTROL VARIABLES,11
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,Household Count | Number,TEMPORAL & CONTROL VARIABLES,11
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Total number of residents | Number,DEMOGRAPHIC & SOCIAL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Number of residents with a non-Western ethnic background | Number,DEMOGRAPHIC & SOCIAL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Number of single-person households | Number,DEMOGRAPHIC & SOCIAL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Population density | Number,DEMOGRAPHIC & SOCIAL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Total number of residents | Number,ECONOMIC VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Number of residents with a non-Western ethnic background | Number,ECONOMIC VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Number of single-person households | Number,ECONOMIC VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Number of retail stores | Number,ECONOMIC VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,"Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities | Number",ECONOMIC VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Retail stores | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Hotels | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Restaurants | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Bars | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Schools | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Cultural facilities | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Health care institutions | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Sport and leisure facilities | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Home Location | Percentage,DISTANCE & ACCESSIBILITY VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Previous Home Location | Percentage,DISTANCE & ACCESSIBILITY VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Previous Crime Location | Number,DISTANCE & ACCESSIBILITY VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Area Characteristics | Number,TEMPORAL & CONTROL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Home Location | Percentage,TEMPORAL & CONTROL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Previous Home Location | Percentage,TEMPORAL & CONTROL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Previous Crime Location | Binary,TEMPORAL & CONTROL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,Shared Awareness Space | Percentage,TEMPORAL & CONTROL VARIABLES,12
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,"7 for one offender's current home, 44.05 for two/three offenders' current home, 3.01 for one offender's previous home, 4.8 for one offender's previous crime location. | Number",MAJOR FINDINGS & RESULTS,12
Co-offending and the Choice of Target Areas in Burglary,Residential Mobility | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Ethnic Heterogeneity | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Number of Properties | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Number of Residents | Number,DEMOGRAPHIC & SOCIAL VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Average Value of Residential Properties | Percentage,ECONOMIC VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Percentage of Owner-Occupied Properties | Percentage,ECONOMIC VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Mean Income per Resident | Number,ECONOMIC VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,[Architectural_Features | Percentage,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,[Public_Facilities | Percentage,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,[Residential_Units | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,[Physical_Accessibility | Percentage,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,[Social_Accessibility | Distance,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Home-to-crime distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Distance to city centre | Distance,DISTANCE & ACCESSIBILITY VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Physical accessibility | Percentage,DISTANCE & ACCESSIBILITY VARIABLES,13
Co-offending and the Choice of Target Areas in Burglary,Number of properties in a neighbourhood | Number,TEMPORAL & CONTROL VARIABLES,13
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Population size | Number,DEMOGRAPHIC & SOCIAL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Proportion of non-locals | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Hukou status | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Primary schools | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Middle schools | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Hospitals | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Basic stores | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Markets | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Supermarkets | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Restaurants | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Cinemas | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Bars | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Banks | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Subway stations | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Bus stops | Number,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Median Distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Average Crime Trip Distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Euclidean Distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Relative Mobility | Percentage,DISTANCE & ACCESSIBILITY VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Exclusion of February | Number,TEMPORAL & CONTROL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Selection of weekdays | Number,TEMPORAL & CONTROL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Clearance rate of theft from the person | Percentage,TEMPORAL & CONTROL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Geographical location of study area | Number,TEMPORAL & CONTROL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Mean population | Number,TEMPORAL & CONTROL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Exclusion of census units due to limited mobility data | Number,TEMPORAL & CONTROL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,Euclidean distances between census units | Distance,TEMPORAL & CONTROL VARIABLES,14
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,"4%, hospitals by 13.5%, non-locals by 19.8%. | Percentage",MAJOR FINDINGS & RESULTS,14
Discrete choice analysis of spatial attack sites,Demographic Profile Variables | Number,DEMOGRAPHIC & SOCIAL VARIABLES,15
Discrete choice analysis of spatial attack sites,u30 | Distance,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,15
Discrete choice analysis of spatial attack sites,u66 | Density,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,15
Discrete choice analysis of spatial attack sites,u 26 | Distance,DISTANCE & ACCESSIBILITY VARIABLES,15
Discrete choice analysis of spatial attack sites,u 27 | Distance,DISTANCE & ACCESSIBILITY VARIABLES,15
Discrete choice analysis of spatial attack sites,u 30 | Distance,DISTANCE & ACCESSIBILITY VARIABLES,15
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,Population (log) | Number,DEMOGRAPHIC & SOCIAL VARIABLES,16
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,Proportion of high-rise residential buildings | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,16
