Variable,Frequency,Studies,Source_Columns
Schools | Number,13,11,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
"Connectors (e.g., transit lines) | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Construction Type | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Contagion | Number,1,1,TEMPORAL & CONTROL VARIABLES
Contagion measure | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Contiguity Order | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Crime attractors | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Crime attractors | Number,1,1,TEMPORAL & CONTROL VARIABLES
Crime Attractors | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Crime committed in neighbourhood | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Crime detractors | Number,1,1,TEMPORAL & CONTROL VARIABLES
Crime generators | Rate,1,1,TEMPORAL & CONTROL VARIABLES
Crime generators and attractors | Number,1,1,TEMPORAL & CONTROL VARIABLES
Crime prevention | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
"Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities | Number",1,1,TEMPORAL & CONTROL VARIABLES
Cross-Validation | Number,1,1,TEMPORAL & CONTROL VARIABLES
Cultural facilities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Culture | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Culture, health-care, and sports/leisure facilities | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Culture, Health-Care, and Sports/Leisure Facilities | Number",1,1,TEMPORAL & CONTROL VARIABLES
Cybercafés | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Cybercafés and sports stadiums | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
D ij | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Daily human mobility | Index,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Daily human mobility | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Daily Human Mobility | Number,1,1,TEMPORAL & CONTROL VARIABLES
Date of Belgian Land Registry data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Day-of-week effects | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Day-of-week weighting | Number,1,1,TEMPORAL & CONTROL VARIABLES
Death | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Demographic Characteristics of Offenders | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Demographic Profile Variables | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Density of road network | Density,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Density of road network | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Density of Road Network | Percentage,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Deprivation | Index,1,1,TEMPORAL & CONTROL VARIABLES
Deprived areas/cash economies | Number,1,1,ECONOMIC VARIABLES
Discrete Choice Approach | Number,1,1,TEMPORAL & CONTROL VARIABLES
Discrete Choice Modeling Framework | Number,1,1,TEMPORAL & CONTROL VARIABLES
Distance Bands | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance between burglar's home and target address | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance between current residence and crime location | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance Between Neighbourhoods | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance between offender homes and robbery locations within census block | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance between the offender's residential area and the crime location | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance decay | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Distance decay pattern | Rate,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from Activity Space | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from city center | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from current residential area to the target area | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance from home | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance from Home | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance from home to crime location | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from offender's home | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance from offender's residence | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from Prior Crime | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from Residential Area to Target Areas | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from the city centre | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance from the offender's home | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance Measure | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance squared | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance to city centre | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance to crime | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance to nearest main road | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance to nearest street corner | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance to Offender's Residence | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance to Prior Crime Location | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance to Residence | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance to ward centroids | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Distance Values | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Distance within same postal code area | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Divorce | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Dominant land use function | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Drug markets | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
DST were removed due to uniform distribution. | Number,1,1,DATA PREPARATION & PROCESSING
Duration Hypothesis | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Duration of residence | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Duration of Residence | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Ease of Escape | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Economic Inequality | Number,1,1,ECONOMIC VARIABLES
Education level | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Education Level | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
"Educational institutions (schools, colleges) | Percentage",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Educational level | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Educational Qualifications | Percentage,1,1,ECONOMIC VARIABLES
Employee density | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Entertainment venues | Number,1,1,TEMPORAL & CONTROL VARIABLES
Entertainment Venues | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Estimated Travel Time | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Ethnic-heterogeneity | Index,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Ethnic background | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Ethnic Composition | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Ethnic composition of population in postal code areas | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Ethnic Diversity | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Ethnic Heterogeneity | Number,1,1,TEMPORAL & CONTROL VARIABLES
Ethnic Origin of Burglar | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Ethnic Origin of Burglar | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Ethnicity | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Ethnicity/race | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Euclidean distances between census units | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Euclidean distances between offender homes and census block midpoints | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Exclusion of census units due to limited mobility data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Exclusion of February | Number,1,1,TEMPORAL & CONTROL VARIABLES
F ij | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Facilities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Fences | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Fixed effects analysis | Number,1,1,TEMPORAL & CONTROL VARIABLES
Foreign-born residents | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Gang territorial dissimilarity | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Gas stations | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Gender of burglars | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Gender ratio of offenders | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
General activity level | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
General activity level of the location | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
General merchandise shops | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Geocoded Neighbourhoods | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Geographical location of study area | Number,1,1,TEMPORAL & CONTROL VARIABLES
Ghosh distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Going out | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Grass | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Grocers | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Grocers and terminal markets | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Guardianship | Index,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Hangouts and loitering hotspots | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Health care | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Health care institutions | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
High Schools | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Higher altitude | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Higher population turnover rates | Rate,1,1,ECONOMIC VARIABLES
Higher real estate values | Number,1,1,ECONOMIC VARIABLES
History Hypothesis | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Home-crime distance distribution | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Home-to-Target Distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Home Hypothesis | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Home occupancy in residential neighbourhoods | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Home ownership | Percentage,1,1,ECONOMIC VARIABLES
Home Ownership | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Hotels Restaurants Bars | Number,1,1,TEMPORAL & CONTROL VARIABLES
"Hotels, restaurants, and bars | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
House type | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Household Composition | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Household Count | Number,1,1,TEMPORAL & CONTROL VARIABLES
Household Size | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Household size/composition | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Household Size/Composition | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Housing Characteristics | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Hukou status | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Hukou status | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Hukou Status | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Idiosyncratic Farness | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Index of Multiple Deprivation (IMD) | Index,1,1,ECONOMIC VARIABLES
Indigenous Status | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Informal Social Control | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Interaction Terms | Number,1,1,TEMPORAL & CONTROL VARIABLES
Intersections | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Jewelry shops | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Jobs | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Journey-to-crime | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Journey-to-crime distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Journey-to-Crime Distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Journey to crime | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Jurisdictional Dummies | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Labor-intensive industrial cluster | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Land Use - Population Density | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Land Use - Suburb Size | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Land use and activities | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Laundromats | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Lawns | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Level of Urbanization | Number,1,1,TEMPORAL & CONTROL VARIABLES
Likelihood of successful completion | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Limited social network overlap | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Liquor stores | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Location | Number,1,1,TEMPORAL & CONTROL VARIABLES
Logged distance of journey to crime | Distance,1,1,TEMPORAL & CONTROL VARIABLES
Low educational attainment | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Major Road | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Major Roads | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Major thoroughfares | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Malls and Supermarkets | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Marital Status | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Markets | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Marriage | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Marriage halls | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Mean housing repayment | Number,1,1,ECONOMIC VARIABLES
Mean Income per Resident | Number,1,1,ECONOMIC VARIABLES
Mean population | Number,1,1,TEMPORAL & CONTROL VARIABLES
Median Distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Median Home Value | Number,1,1,ECONOMIC VARIABLES
Median income | Number,1,1,ECONOMIC VARIABLES
Median Income | Number,1,1,ECONOMIC VARIABLES
Median Nearest Neighbor Distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Median Residential Population | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Median Weekly Income Bracket | Number,1,1,ECONOMIC VARIABLES
"Medical facilities (hospitals, medical services) | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Middle schools | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Migration status | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Military Base | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Mixed land-use | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Mobile phone data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Mobility of burglars | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Moran's I Statistic | Number,1,1,TEMPORAL & CONTROL VARIABLES
Movement Potential | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Nationality | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Natural log of the number of households | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Negative log of distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Neighbourhood Boundaries | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Neighbourhood disorder | Index,1,1,TEMPORAL & CONTROL VARIABLES
Neighbourhood Proximity | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Neighbourhood routinely visited at different time of day as crime event | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Neighbourhood routinely visited at same time of day as crime event | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Neighbourhoods of offenders' activity nodes | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Network Distance | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Newer Buildings | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Newer buildings | Number,1,1,TEMPORAL & CONTROL VARIABLES
Night Shops | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Nightclubs | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Non-residential census blocks | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Non-Western Background | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Normalization of Data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Not Arrested in the Act of Prior Robbery | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Number of bars/restaurants/hotels | Rate,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of boundaries shared with public areas | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Number of business units for industries targeted in commercial robbery | Number,1,1,ECONOMIC VARIABLES
Number of business units for targeted industries | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of business units in commercial industries | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of cars parked on a parking lot | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Number of Culture, Health-Care, and Sports/Leisure Facilities | Number",1,1,ECONOMIC VARIABLES
Number of escape routes | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Number of Floors | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of Hotels Restaurants Bars | Number,1,1,ECONOMIC VARIABLES
"Number of hotels, restaurants, and bars | Number",1,1,ECONOMIC VARIABLES
"Number of hotels, restaurants, bars, schools, cultural facilities, health care institutions, and sport and leisure facilities | Number",1,1,ECONOMIC VARIABLES
Number of Households | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Number of households in a community | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Number of households in SA2 | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of households in the SA2 | Number,1,1,ECONOMIC VARIABLES
Number of past residential burglaries | Number,1,1,TEMPORAL & CONTROL VARIABLES
Number of People Working | Number,1,1,ECONOMIC VARIABLES
Number of PIRA members | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Number of premises per SA2 | Number,1,1,ECONOMIC VARIABLES
Number of Properties | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Number of properties in a neighbourhood | Number,1,1,TEMPORAL & CONTROL VARIABLES
Number of Residential Properties | Number,1,1,ECONOMIC VARIABLES
Number of residential units in postal code areas | Number,1,1,TEMPORAL & CONTROL VARIABLES
Number of Retail Stores | Number,1,1,ECONOMIC VARIABLES
Number_of_Employees | Number,1,1,ECONOMIC VARIABLES
Offender's current or former residence | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Offender Residence-Crime Proximity | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Old urban areas and urban villages | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Opportunity | Number,1,1,TEMPORAL & CONTROL VARIABLES
Opportunity measures | Number,1,1,TEMPORAL & CONTROL VARIABLES
Opportunity Variables | Number,1,1,TEMPORAL & CONTROL VARIABLES
Parks | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Parks | Number,1,1,TEMPORAL & CONTROL VARIABLES
Past residential burglary rate | Rate,1,1,TEMPORAL & CONTROL VARIABLES
Pawn shops | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
"Pawnshops, currency exchange, and check-cashing services | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Pedestrian-oriented street density | Distance,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Pedestrian-Oriented Street Density | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Pedestrian Travel Time | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
People Working | Number,1,1,TEMPORAL & CONTROL VARIABLES
Percent Black Residents | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Percent Latino Residents | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Percentage of Black Residents | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Percentage of Latino Residents | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Percentage of Occupied Units | Percentage,1,1,ECONOMIC VARIABLES
Percentage of owner-occupied dwellings | Percentage,1,1,ECONOMIC VARIABLES
Percentage of Owner-Occupied Properties | Percentage,1,1,ECONOMIC VARIABLES
Percentage of Residents Below Poverty | Percentage,1,1,ECONOMIC VARIABLES
Percentage of single-family dwellings | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Percentage of single-person households | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Percentage of Single-Person Households | Percentage,1,1,TEMPORAL & CONTROL VARIABLES
Percentage of Unemployed | Percentage,1,1,ECONOMIC VARIABLES
"Personal care facilities (barbershops, beauty parlors) | Number",1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Physical accessibility | Percentage,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Physical Barriers - Major Roads | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Physical Barriers - Swan River | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Physical disorder | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Physical Disorder | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Plants | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
POI data | Number,1,1,TEMPORAL & CONTROL VARIABLES
Points of Interest | Number,1,1,ECONOMIC VARIABLES
Police Station | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Population (log) | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Population | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Population Distribution | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Population percentages of 15-25-year-old | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
"Population percentages of 15-25-year-old, foreign-born, and single residents | Percentage",1,1,TEMPORAL & CONTROL VARIABLES
Population Turnover | Number,1,1,ECONOMIC VARIABLES
Population turnover | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Population Turnover | Rate,1,1,TEMPORAL & CONTROL VARIABLES
Postal code area characteristics | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Postal Code Areas | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Potential Customer Density | Distance,1,1,ECONOMIC VARIABLES
Poverty level | Number,1,1,ECONOMIC VARIABLES
Poverty Level | Number,1,1,TEMPORAL & CONTROL VARIABLES
Presence of activity nodes in SA2 | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of Bars | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Presence of Bus Stations | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Presence of business | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Presence of catering businesses | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of El stations | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of High Schools | Binary,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Presence of high schools | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of illegal cash economies | Binary,1,1,ECONOMIC VARIABLES
Presence of legal cash economies | Binary,1,1,ECONOMIC VARIABLES
Presence of locks and escape routes | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of Night Shops | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Presence of Nightclubs | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Presence of Restaurants | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Presence of retail and entertainment businesses | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of Retail and Entertainment Businesses | Number,1,1,ECONOMIC VARIABLES
Presence of retail businesses | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of Rooftop Living Floor | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of schools | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Presence of Schools | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Presence of Schools | Number,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Presence of Train Stations | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Presence of Trees | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Presence of underground station | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Previous crime location | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Previous Crime Location | Number,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Previous crime location on different week part | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Previous crime location on different weekday | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Previous crime location on different weekend day | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Previous crime location on same weekday | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Previous crime location on same weekend day | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Previous crime location with a . . . hour difference | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Primary schools | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Prior burglary in neighborhood | Binary,1,1,TEMPORAL & CONTROL VARIABLES
Prior crime locations | Binary,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Prior crimes | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Prior Offenses | Number,1,1,TEMPORAL & CONTROL VARIABLES
Property at end of row | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Property setback from street | Binary,1,1,DISTANCE & ACCESSIBILITY VARIABLES
Proportion of buildings built after 2000 | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of foreigners | Percentage,1,1,DEMOGRAPHIC & SOCIAL VARIABLES
